Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Ala. Admin. Code r. 220-2-.109","http://www.alabamaadministrativecode.state.al.us/docs/con_/220-2.pdf","Revoke physically disabled hunting permit","1","(3)","See also:
Code of Ala. § 9-2-9 (4)","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Discretionary","Indefinite"
"Ala. Admin. Code r. 265-X-2-.02","http://www.alabamaadministrativecode.state.al.us/docs/crij/265-X-2.pdf","Limit access to/use of criminal history records (relief)","0","(1)(a),(b)
(2)(a),(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Ala. Admin. Code r. 265-X-2-.03","http://www.alabamaadministrativecode.state.al.us/docs/crij/265-X-2.pdf","Challenge criminal history record (relief)","0","(1)","See also:
Ala. Admin. Code r. 265-X-2, Appendix A","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Ala. Admin. Code r. 660-1-6-.08","http://www.alabamaadministrativecode.state.al.us/docs/hres/660-1-6.pdf","Notify consumer reporting agency of child support arrearages","1","(a)(1),(2),(3)
(b)","Additional offense details:
Code of Ala. § 13A-13-4 (a),(b),(c )","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Credit, debt services, bankruptcy & repossession","Child Support offenses","Mandatory/Automatic","Indefinite"
"Ala. Admin. Code r. 660-1-6-.09","http://www.alabamaadministrativecode.state.al.us/docs/hres/660-1-6.pdf","Notify consumer reporting agency of child support arrearages","1","(a)(1),(2),(3)
(b)","Additional offense details:
Code of Ala. § 13A-13-4 (a),(b),(c )","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Credit, debt services, bankruptcy & repossession","Child Support offenses","Mandatory/Automatic","Indefinite"
"Ala. Admin. Code r. 660-2-2-.03","http://www.alabamaadministrativecode.state.al.us/docs/hres/660-2-2.pdf","Ineligible to receive family assistance for dependent children","2","(e)","See also:
Ala. Admin. Code r. 660-2-2-.03, Appendix A","","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"Ala. Admin. Code r. 660-3-16-.02","http://www.alabamaadministrativecode.state.al.us/docs/hres/660-3-16.pdf","Impose income withholding increase (child support arrearages)","1","(1)
(2)","Additional offense details:
Code of Ala. § 13A-13-4 (a),(b),(c ) 

See also:
Ala. Admin. Code r. 660-3-16-.08 (1),(2),(4)","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Civil litigation & administrative proceedings","Child Support offenses","Discretionary","Conditional"
"Ala. Admin. Code r. 660-3-16-.06","http://www.alabamaadministrativecode.state.al.us/docs/hres/660-3-16.pdf","Impose monthly support payment amount increase (child support arrearages)","1","(1)
(2)
(3)","Additional offense details:
Code of Ala. § 13A-13-4 (a),(b),(c )","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Civil litigation & administrative proceedings","Child Support offenses","Discretionary","Indefinite"
"Ala. Admin. Code r. 660-3-6-.02","http://www.alabamaadministrativecode.state.al.us/docs/hres/660-3-6.pdf","Withhold child support arrearages from federal income tax refund","1","All","See also:
Ala. Admin. Code r. 660-3-6-.01 (2)
Ala. Admin. Code r. 660-3-6, Attachment (2) (b),(c )","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Tax penalties & benefits","Child Support offenses","Mandatory/Automatic","Indefinite"
"Ala. Admin. Code r. 660-3-6-.03","http://www.alabamaadministrativecode.state.al.us/docs/hres/660-3-6.pdf","Withhold child support arrearages from state tax refund (discretionary_","1","(1)
(2)","See also:
Ala. Admin. Code r. 660-3-6-.01 (2)
Ala. Admin. Code r. 660-3-6, Attachment (2) (b),(c )","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Tax penalties & benefits","Child Support offenses","Discretionary","Indefinite"
