Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Alaska Stat. § 47.12.300","http://www.legis.state.ak.us/basis/statutes.asp#47.12.300","Seal juvenile conviction records (relief)","0","(f), (g)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Alaska Stat. § 47.10.090","http://www.legis.state.ak.us/basis/statutes.asp#47.10.090","Seal juvenile court records (relief)","0","(c)-(e)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Alaska Stat. § 43.23.035","http://www.legis.state.ak.us/basis/statutes.asp#43.23.035","Ineligible to receive permanent fund dividend (false statements)","1","(a)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Banking, lending, securities & finance","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Alaska Stat. § 34.40.110","http://www.legis.state.ak.us/basis/statutes.asp#34.40.110","Ineligible to implement transfer restriction of trust interest to creditor","1","(a)
(b)(4)","Additional offense details:
AS 11.51.120","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Trusts, estates & guardianship","Child Support offenses","Mandatory/Automatic","Conditional"
"Alaska Stat. § 28.35.110","http://www.legis.state.ak.us/basis/statutes.asp#28.35.110","Suspend driver's license (failing to report an accident)","1","(b)","Additional offense details:
AS 28.35.080 (a), (b), (f)","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Conditional"
"Alaska Stat. § 28.20.250","http://www.legis.state.ak.us/basis/statutes.asp#28.20.250","Suspend/revoke nonresident's driving privilege","1","(b)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Conditional"
"Alaska Stat. § 28.20.250","http://www.legis.state.ak.us/basis/statutes.asp#28.20.250","Deny driver's license (conviction requiring license suspension/revocation by individual without license)","1","(a)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Conditional"
"Alaska Stat. § 28.15.057","http://www.legis.state.ak.us/basis/statutes.asp#28.15.057","Ineligible for driver's license (person under 18)","1","(a)(3)","Additional offense details:
AS 28.15.261","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"Alaska Stat. § 28.15.055","http://www.legis.state.ak.us/basis/statutes.asp#28.15.055","Ineligible for provisional driver's license (person under 18)","1","(3)","Additional offense details:
AS 28.15.261","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"Alaska Stat. § 18.65.705","http://www.legis.state.ak.us/basis/statutes.asp#18.65.705","Ineligible for concealed handgun permit (2 or more Class A misdemeanor convictions)","1","(4)","Background check:
AS 18.65.700","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Any misdemeanor","Mandatory/Automatic","Time-limited"
"Alaska Stat. § 17.30.112","http://www.legis.state.ak.us/basis/statutes.asp#17.30.112","Forfeit certain property used to violate controlled substances laws","1","(a)","Additional offense details:
AS 11.71

See also:
AS 17.30.110","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights|Civil fines, liability, forfeiture & property rights","","Controlled substances offenses","Discretionary","Indefinite"
"Alaska Stat. § 16.10.250","http://www.legis.state.ak.us/basis/statutes.asp#16.10.250","Suspend fishing license/permit","1","All","Additional offense details:
AS 16.10.240","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Discretionary","Indefinite"
"Alaska Stat. § 08.88.071","http://www.legis.state.ak.us/basis/statutes.asp#08.88.071","Revoke real estate broker/salesperson license (7 years for crimes affecting fitness to practice/fraud offenses)","1","(a)(11)","See also:
AS 08.88.171","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Real estate & property","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"Alaska R. Civ. Proc. 90.6","http://www.courts.alaska.gov/rules/index.htm","Investigate parents/spouses/household members as part of child custody investigation (background check)","1","(e)(6)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Child custody, visitation & parental rights","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"7 Alaska Admin. Code 78.170","http://www.legis.state.ak.us/basis/aac.asp#7.78.170","Background check for employment at organization receiving Department of Health and Social Services grant (health care)","1","(a)","Authorizing statute:
AS 18.05.040
AS 18.08.010
AS 18.08.080
AS 18.25.100
AS 18.28.010
AS 18.28.050
AS 29.60.600
AS 44.29.020
AS 47.05.010
AS 47.20.075
AS 47.20.110
AS 47.27.005
AS 47.27.050
AS 47.30.477
AS 47.30.530
AS 47.37.030
AS 47.37.045
AS 47.40.041
AS 47.40.120
AS 47.80.130","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Health care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"5 Alaska Admin. Code 93.550","http://www.legis.state.ak.us/basis/aac.asp#5.93.550","Ineligible for appointment as fish/game license vendor","1","(a)","Authorizing statute:
AS 16.05.020
AS 16.05.050
AS 16.05.360
AS 16.05.380
AS 16.05.450","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Wildlife, fish & game","Any felony","Mandatory/Automatic","Time-limited"
"5 Alaska Admin. Code 92.420","http://www.legis.state.ak.us/basis/aac.asp#5.92.420","Ineligible for wild animal control license","1","(a)(3)","Authorizing statute:
AS 16.05.255
AS 16.05.330
AS 16.05.340","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Time-limited"
