Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Cal Rev & Tax Code § 19701","http://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=19701","Assess civil penalty (tax evasion)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Cal Rev & Tax Code § 19720","http://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=RTC&sectionNum=19720","Assess civil penalty (fraudulent state tax refund)","1","(a) - (e)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Cal Veh Code § 38318.5","http://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=VEH&sectionNum=38318.5","Impose civil liability (malicious interference with the use of off-highway vehicle)","1","(a) - (c)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Mandatory/Automatic","Indefinite"
"Cal Pen Code § 1000.7","http://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?lawCode=PEN&sectionNum=1000.7","Young adult deferred entry of judgement (pilot program, slect counties)","1","All","","To be repealed in 2024","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"10 CCR 1423","https://govt.westlaw.com/calregs/Search/Results?transitionType=Default&contextData=(sc.Default)&t_T1=10&t_T2=1423&t_S1=CA%20ADC%20s&Page=1&query=advanced%3A%20CI(%2210%20CA%20ADC%20s%201423%22)&Template=Find","Background check for finance lender/broker additional location license","1","(a)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Banking, lending, securities & finance","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"10 CCR 1805.210","https://govt.westlaw.com/calregs/Search/Results?transitionType=Default&contextData=(sc.Default)&t_T1=10&t_T2=1805.210&t_S1=CA%20ADC%20s&Page=1&query=advanced%3A%20CI(%2210%20CA%20ADC%20s%201805.210%22)&Template=Find","Background check for employment with securities depository","1","(a)(9)","See also: 
Cal Fin Code § 30609","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Banking, lending, securities & finance","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"10 CCR 2183.4","https://govt.westlaw.com/calregs/Search/Results?transitionType=Default&contextData=(sc.Default)&t_T1=10&t_T2=2183.4&t_S1=CA%20ADC%20s&Page=1&query=advanced%3A%20CI(%2210%20CA%20ADC%20s%202183.4%22)&Template=Find","Evidence of rehabilitation in application for insurance license (relief)","0","(a) - (f)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Insurance sales & services","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"10 CCR 2580.4","https://govt.westlaw.com/calregs/Search/Results?transitionType=Default&contextData=(sc.Default)&t_T1=10&t_T2=2580.4&t_S1=CA%20ADC%20s&Page=1&query=advanced%3A%20CI(%2210%20CA%20ADC%20s%202580.4%22)&Template=Find","Ineligible to serve as a qualified actuarial (fraud)","1","(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary (waiver)","Indefinite"
"10 CCR 2680.13","https://govt.westlaw.com/calregs/Search/Results?transitionType=Default&contextData=(sc.Default)&t_T1=10&t_T2=2680.13&t_S1=CA%20ADC%20s&Page=1&query=advanced%3A%20CI(%2210%20CA%20ADC%20s%202680.13%22)&Template=Find","Background check to serve as proxy for domestic insurer","1","(d)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Insurance sales & services","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"10 CCR 3576","https://govt.westlaw.com/calregs/Search/Results?transitionType=Default&contextData=(sc.Default)&t_T1=10&t_T2=3576&t_S1=CA%20ADC%20s&Page=1&query=advanced%3A%20CI(%2210%20CA%20ADC%20s%203576%22)&Template=Find","Ineligible to act as controlling person of an appraisal management company","1","(a), (b), (d)","0","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Real estate & property","Any felony","Mandatory/Automatic","Indefinite"
