Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"16 Del. C. § 4764","http://www.delcode.delaware.gov/title16/c047/sc04/index.shtml","Expunge records of conviction (controlled substance offenses) (relief)","0","(i)","0","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","","","",""
"10 Del. C. § 1015","http://delcode.delaware.gov/title10/c009/sc03/","Expunge records of conviction of juvenile (relief)","0","All","See also:
10 Del. C. § 1017 to 1020","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"10 Del. C. § 1009","https://codes.findlaw.com/de/title-10-courts-and-judicial-procedure/de-code-sect-10-1009.html","Suspend/revoke driving privileges/license (juvenile reckless driving/driving while intoxicated) (DUI)","1","(f)","Additional offense details:
21 Del. C. § 4177B","Links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"10 Del. C. § 1009","https://codes.findlaw.com/de/title-10-courts-and-judicial-procedure/de-code-sect-10-1009.html","Suspend/revoke conditional/restricted motor vehicle license (juvenile violations of restricted license conditions)","1","(f)","","Links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"10 Del. C. § 1011","https://codes.findlaw.com/de/title-10-courts-and-judicial-procedure/de-code-sect-10-1011.html","Ineligible for transfer of juvenile criminal proceedings to family court","1","(e)","","Links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Judicial Rights","Law enforcement, corrections & public safety","Any felony","Mandatory/Automatic","Indefinite"
"10 Del. C. § 1017","https://codes.findlaw.com/de/title-10-courts-and-judicial-procedure/de-code-sect-10-1017.html","Expungement of juvenile arrest/adjudication record (mandatory) (relief)","0","(a)","See also:
10 Del. C. § 1014","Links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"10 Del. C. § 1018","https://codes.findlaw.com/de/title-10-courts-and-judicial-procedure/de-code-sect-10-1018.html","Expungement of juvenile arrest/adjudication record (discretionary) (relief)","0","(a)","See also:
10 Del. C. § 1014","Links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"10 Del. C. § 1024","https://codes.findlaw.com/de/title-10-courts-and-judicial-procedure/de-code-sect-10-1024.html","First offenders domestic violence diversion program (relief)","0","(a)","","Links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Deferred adjudication & diversion","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"10 Del. C. § 1025","https://codes.findlaw.com/de/title-10-courts-and-judicial-procedure/de-code-sect-10-1025.html","Expungement of adult police/court records (relief)","0","All","","Links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"10 Del. C. § 4509","https://codes.findlaw.com/de/title-10-courts-and-judicial-procedure/de-code-sect-10-4509.html","Ineligible for jury service","1","(b)","","Links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Political & civic participation","Jury service","Any felony","Mandatory/Automatic","Indefinite"
