Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Ariz. R. Crim. P. Form 4(b)","http://azrules.westgroup.com/","Background check for release","1","(4b)(4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Deferred adjudication & diversion","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Ariz. R. Civ. P. ER 4C/1","http://azrules.westgroup.com/","Background check convictions on general interrogatories","1","(4)(A)-(e)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Civil litigation & administrative proceedings","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"A.R.S. § 8-341","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/8/00341.htm","Ineligible to be adjudicated as a juvenile (repeat felony juvenile offender)","1","(e)-(F)
(V)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Deferred adjudication & diversion","Any felony","Mandatory/Automatic","Indefinite"
"A.R.S. § 28-910","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/28/00910.htm","Impose liability for emergency response expenses due to reckless driving into flood areas","1","(B)","See also:
A.R.S. § 28-693","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Indefinite"
"A.R.S. § 28-3473","","Issue restricted driver license (relief)","0","(A)-(B); (C) - no longer relevant","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Driving & noncommercial motor vehicles","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"A.A.C. § R18-8-270","","Ineligible for a hazardous waste permit (applicant/officer/partner/key employee/ten-percent owner)","1","(A) - NOT RELEVANT; (J)(24), (T)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Hazardous materials, pesticides, chemicals & waste","Any felony","Mandatory/Automatic","Time-limited"
"A.R.S. § 4-244.05","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/4/00244-05.htm","Impose civil penalty for allowing unlawful consumption of spirituous liquor","1","(A), (c)","See also:
A.R.S. § 4-246","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Alcohol permits, licenses & sales","Controlled substances offenses","Discretionary","Indefinite"
"A.R.S. § 38-715","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/38/00715.htm","Background check for employment with Arizona state retirement system","1","(e)(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"A.R.S. § 27-527","","Impose civil penalty for production/conservation convictions","1","(A)-(D)","Other triggering offenses:
Violations of production and conservation laws","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Conservation, environmental sciences & water","Other","Discretionary","Indefinite"
"A.R.S. § 27-1205","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/27/01205.htm","Notify division of mined land reclamation of convictions (aggregate mining)","1","(A)-(F)","Other triggering offenses:
Felonies related to Aggregate Mined Land Reclamation","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Mining, drilling, oil, fuel, energy & resource extraction","Other","Mandatory/Automatic","Time-limited"
"A.R.S. § 25-516","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/25/00516.htm","Impose property lien (child support arrearages)","1","(A)-(G)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Real estate & property","Child Support offenses","Discretionary","Indefinite"
"A.R.S. § 25-512","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/25/00512.htm","Notify consumer credit reporting agency of child support arrearages","1","(A)-(e)","See also:
A.R.S. § 25-511","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Credit, debt services, bankruptcy & repossession","Child Support offenses","Mandatory/Automatic","Indefinite"
"A.R.S. § 20-2508","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/20/02508.htm","Ineligible to serve as employee for a utilization review agent","1","(B)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Insurance sales & services","Any felony","Mandatory/Automatic","Indefinite"
"A.R.S. § 16-165","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/16/00165.htm","Revoke voter registration","1","(A)(4)
(B)-(c)","","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Civil rights & voting","Any felony","Mandatory/Automatic","Indefinite"
"A.R.S. § 16-101","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/16/00101.htm","Ineligible to vote","1","(A)(5)","Relief:_x000D_
A.R.S. § 13-907_x000D_
A.R.S. § 13-905_x000D_
A.R.S. § 13-906_x000D_
A.R.S. § 13-907_x000D_
A.R.S. § 13-909_x000D_
A.R.S. § 13-910_x000D_
A.R.S. § 13-912_x000D_
Ariz. R. Crim. P. 29.1_x000D_
_x000D_
See also:_x000D_
A.R.S. Const. Art. VII, § 2_x000D_
A.R.S. § 13-904_x000D_
A.R.S. § 16-1011","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Civil rights & voting","Any felony","Mandatory/Automatic","Indefinite"
"A.R.S. § 14-5308","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/14/05308.htm","Background check to be a court-appointed investigator","1","(A), (e)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Court personnel, general legal services & bail bonds","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"A.R.S. § 14-5304","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/14/05304.htm","Background check for appointment as a guardian of incapacitated person","1","(A)-(B)
(e)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Trusts, estates & guardianship","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"A.R.S. § 13-4413","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/13/04413.htm","Notify crime victim of convicted offender's death/pending release from incarceration","1","(A)-(B)","","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
"A.R.S. § 13-4412","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/13/04412.htm","Notify prosecutor/crime victim of convicted offender's escape from incarceration","1","(B)","","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
"A.R.S. § 13-2907","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/13/02907.htm","Impose liability for emergency response/investigation expenses incurred incident to false reporting","1","(A)-(D)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Emergency services, management & fire","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"A.R.S. § 13-1810","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/13/01810.htm","Deferred adjudication for bad checks (relief)","0","(A)-(F)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Deferred adjudication & diversion","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"A.R.S. § 11-1051","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/11/01051.htm","Notify federal authorities of illegal presence in the United States","1","(c)-(D)","","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
"Ariz. R. Crim. P. 11.2","http://azrules.westgroup.com/","Background check criminal history upon motion for medical examination","1","(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Sensitive information access","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Ariz. R. Civ. P. ER 4B/1","http://azrules.westgroup.com/","Background check convictions on investigation interrogatories","1","(5)(A)-(c)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Civil litigation & administrative proceedings","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"A.R.S. § 8-348","","Set aside juvenile adjudication (relief)","0","(A), (C)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"A.R.S. § 44-6703","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/44/06703.htm","Terminate agreement with equipment dealer for cause","1","(A)
(B)(6)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Banking, lending, securities & finance","Any felony","Discretionary","Indefinite"
"A.R.S. § 44-1813","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/44/01813.htm","Background check to serve as administrative personnel of securities division of the Arizona Corporation Commission","1","(A)-(c)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"A.R.S. § 44-1556","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/44/01556.htm","Terminate/cancel petroleum products franchise","1","(A)(1)-(4)","Other triggering offenses:
Crime related to the franchise business","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Mining, drilling, oil, fuel, energy & resource extraction","Other","Mandatory/Automatic","Indefinite"
"A.R.S. § 41-865","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/41/00865.htm","Forfeit human remains/funerary objects/artifacts","1","(A)-(B)_x000D_
(G)-(H)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Funeral services","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"A.R.S. § 28-1464","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/28/01464.htm","Impose time extension on restriction to operate only interlock equipped motor vehicles","1","(B)-(c)
(e)
(G), (K)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"A.R.S. § 28-1401","","Special ignition interlock restricted driver license (relief)","0","(A)-(D)","See also:
A.R.S. § 28-1402","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Driving & noncommercial motor vehicles","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"A.R.S. § 27-905","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/27/00905.htm","Notify division of mined land reclamation of convictions  (mineral mining)","1","(A)(1)
(B)(2)
(c)-(F)","Other triggering offenses:
Violations of mined land regulations","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Mining, drilling, oil, fuel, energy & resource extraction","Other","Mandatory/Automatic","Time-limited"
"A.R.S. § 25-505.01","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/25/00505-01.htm","Impose income withholding (child support arrearages)","1","(A)-(c)
(I)-(P)","See also:
A.R.S. § 25-511","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Credit, debt services, bankruptcy & repossession","Child Support offenses","Mandatory/Automatic","Indefinite"
"A.R.S. § 20-448","","Deny life/disability/property/liability insurance for domestic violence conviction","1","(H)(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Insurance sales & services","Crimes of violence, including 'person offenses'","Discretionary","Indefinite"
"A.R.S. § 16-531","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/16/00531.htm","Ineligible for appointment to election board/tally board","1","(A)","See also:
A.R.S. Const. Art. VII, § 2
A.R.S. § 16-101","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Civil rights & voting","Any felony","Mandatory/Automatic","Indefinite"
"A.R.S. § 13-921","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/13/00921.htm","Set aside all penalties/disabilities imposed upon juvenile felon sentenced to probation (relief)","0","(A)-(B)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"A.R.S. § 13-4503","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/13/04503.htm","Background check for competency examination","1","(A)-(B), (D)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Sensitive information access","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"A.R.S. § 13-1805","https://www.azleg.gov/viewdocument/?docName=https://www.azleg.gov/ars/13/01805.htm","Impose civil liability against shoplifter for injuries to merchant/agent/employee","1","(A), (c), (F)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Civil litigation & administrative proceedings","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"A.A.C. § R5-4-201","https://apps.azsos.gov/public_services/Title_05/5-04.pdf","Pardon for felony conviction (relief)","0","(A)-(e)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"A.A.C. § R17-4-404","https://apps.azsos.gov/public_services/Title_17/17-04.pdf","Impose driver point assessment","1","(A)","See also:
A.A.C. Title 17, Ch. 4, Art. 4","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"A.A.C. § R12-4-208","","Deny/suspend/revoke fish and game guide's license","6","DELETE --> (B)(1)-(4)
(M)(5)(b)-(c)
(N); ADD - (D), (E)","See also:
A.R.S. § 17-362","See Ariz. Rev. Stat. § 13-1093.04 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Wildlife, fish & game","Recreational license offenses","Varies","Varies"
"A.A.C. § R10-4-106","https://apps.azsos.gov/public_services/Title_10/10-04.pdf","Ineligible for Crime Victim Compensation Program award","1","(A)(3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation","","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
