Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"A.C.A. § 9-14-218","https://codes.findlaw.com/ar/title-9-family-law/ar-code-sect-9-14-218.html","Impose income withholding for child support arrears","1","(a), (b), (f)","Additional offense details:
A.C.A. § 5-26-401 (a), (b), (f), (g)","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Child Support offenses","Discretionary","Indefinite"
"A.C.A. § 11-3-201","https://codes.findlaw.com/ar/title-11-labor-and-industrial-relations/ar-code-sect-11-3-201.html","Impose civil liability (conviction for enticing away laborer)","1","All","Other triggering offenses:
Offenses related to enticing away laborer","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Mandatory/Automatic","Indefinite"
"A.C.A. § 9-9-702","https://codes.findlaw.com/ar/title-9-family-law/ar-code-sect-9-9-702.html","Background check for fast-tracked adoption of Garrett's Law babies","1","(a), (d), (e)","Implementing regulations:
016 22 CARR 013
016 22 CARR 014

See also:
A.C.A. § 9-9-212","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"A.C.A. § 9-9-701","https://codes.findlaw.com/ar/title-9-family-law/ar-code-sect-9-9-701.html","Background check for streamlined adoption from Department of Human Services","1","(a)(1)
(c), (e)","Implementing regulations:
016 22 CARR 013
016 22 CARR 014

See also:
A.C.A. § 9-9-212 (b), (c)","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"A.C.A. § 9-14-208","https://codes.findlaw.com/ar/title-9-family-law/ar-code-sect-9-14-208.html","Impose lien/seize assets to satisfy child support arrears","1","(e)-(h)","Additional offense details:
A.C.A. § 5-26-401 (a), (b), (f), (g)","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Real estate & property","Child Support offenses","Discretionary","Indefinite"
"A.C.A. § 9-13-105","https://codes.findlaw.com/ar/title-9-family-law/ar-code-sect-9-13-105.html","Background check to obtain child custody/visitation privileges","1","All","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Child custody, visitation & parental rights","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"A.C.A. § 5-62-124","https://codes.findlaw.com/ar/title-5-criminal-offenses/ar-code-sect-5-62-124.html","Forfeit bear used in commission of unlawful bear exploitation","1","All","Other triggering offenses:
Offenses related to unlawful bear exploitation","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Wildlife, fish & game","Other","Discretionary","Indefinite"
"A.C.A. § 5-42-204","https://codes.findlaw.com/ar/title-5-criminal-offenses/ar-code-sect-5-42-204.html","Impose civil liability (conviction for criminal use of property/laundering criminal proceeds)","1","All","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Real estate & property","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"A.C.A. § 5-40-103","https://codes.findlaw.com/ar/title-5-criminal-offenses/ar-code-sect-5-40-103.html","Impose civil liability for treble damages (removal of improvements to land forfeited to the state)","1","All","Other triggering offenses:
Offenses related to removal of improvements to land forfeited to the state","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Real estate & property","Other","Mandatory/Automatic","Indefinite"
"A.C.A. § 5-38-214","https://codes.findlaw.com/ar/title-5-criminal-offenses/ar-code-sect-5-38-214.html","Impose civil liability for treble damages (conviction of willful removal/destruction of landmarks)","1","All","Other triggering offenses:
Offenses related to willful removal/destruction of landmarks","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Real estate & property","Other","Discretionary","Indefinite"
"A.C.A. § 4-18-330","https://codes.findlaw.com/ar/title-4-business-and-commercial-law/ar-code-sect-4-18-330.html","Impose civil penalty (selling/pledging commodity with fraudulent intent)","1","All","See also:
A.C.A. § 4-18-323","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Agriculture, livestock & food","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"A.C.A. § 3-3-103","https://codes.findlaw.com/ar/title-3-alcoholic-beverages/ar-code-sect-3-3-103.html","Impose bond requirement (violation of alcoholic beverage control laws)","1","All","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Alcohol permits, licenses & sales","Controlled substances offenses","Mandatory/Automatic","Indefinite"
