Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"C.R.S. 11-53-105","https://codes.findlaw.com/co/title-11-financial-institutions/co-rev-st-sect-11-53-105.html","Deny/suspend/revoke qualified commodity seller regulation exemption","1","(4)(c)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Banking, lending, securities & finance","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Time-limited"
"9 CCR 2504-1","http://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2813&deptID=9&agencyID=18&deptName=500&agencyName=2504%20Child%20Support%20Enforcement%20(Volume%206)&seriesNum=9%20CCR%202504-1","Background check to work in the state Child Support Enforcement Unit accessing Automated Child Support Enforcement System","1","(6.000)
(6.210)
(6.210.6)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Child custody, visitation & parental rights","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"8 CCR 1505-1","https://www.sos.state.co.us/pubs/rule_making/CurrentRules/8CCR1505-1Elections.html","Ineligible for access to a code/combination/password/encryption key for voting equipment","1","(Rule 20)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Civil rights & voting","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"6 CCR 1010-23","https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=3254&deptID=16&agencyID=143&deptName=Department%20of%20Public%20Health%20and%20Environment&agencyName=Division%20of%20Environmental%20Health%20and%20Sustainability&seriesNum=6%20CCR%201010-23","Ineligible for position with access to household medication (agent/employee)","1","(23.15.1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Pharmacy & drugs","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"3 CCR 701-7","http://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2193&deptID=18&agencyID=13&deptName=..&agencyName=701%20Division%20of%20Banking&seriesNum=3%20CCR%20701-7","Background check for money transmitters license","1","(MO4) (B)(1)(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Money services & check cashing","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"C.R.S. 33-4-101.3","https://codes.findlaw.com/co/title-33-parks-and-wildlife/co-rev-st-sect-33-4-101-3.html","Revoke wildlife license privileges for black bear hunting violations","1","(6)","Other trigging offense:
Hunting black bears","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Other","Mandatory/Automatic","Time-limited"
"C.R.S. 33-32-107","https://codes.findlaw.com/co/title-33-parks-and-wildlife/co-rev-st-sect-33-32-107.html","Assess fine for operating river-outfitting business without license or insurance","1","(1)(a),(b)","Other triggering offense:
Operating business with out license/insurance","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Wildlife, fish & game","Other","Mandatory/Automatic","Indefinite"
"C.R.S. 24-35-119","https://codes.findlaw.com/co/title-24-government-state/co-rev-st-sect-24-35-119.html","Background check for retired peace officer identification card issued by Department of Revenue","1","(3)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Law enforcement, corrections & public safety","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"C.R.S. 24-21-624","https://law.justia.com/codes/colorado/2017/title-24/state-officers/article-21/part-6/section-24-21-624/","Forfeit gaming license","1","All","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Gaming, lottery & racing","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"C.R.S. 19-1-115","https://codes.findlaw.com/co/title-19-childrens-code/co-rev-st-sect-19-1-115.html","Remove child from home (","1","(7)(c)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Child custody, visitation & parental rights","Crimes of violence, including 'person offenses'","Discretionary","Indefinite"
"C.R.S. 17-34-102","https://codes.findlaw.com/co/title-17-corrections/co-rev-st-sect-17-34-102.html","Specialized program for juveniles sentenced as adults (relief)","0","(1)","See also:
C.R.S. 19-2-517
C.R.S. 19-2-518","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"C.R.S. 17-34-101","https://codes.findlaw.com/co/title-17-corrections/co-rev-st-sect-17-34-101.html","Juveniles eligible for specialized program placement (by petition) (relief)","0","All","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"C.R.S. 17-1-109.5","https://codes.findlaw.com/co/title-17-corrections/co-rev-st-sect-17-1-109-5.html","Ineligible to be hired as a correctional facility employee (registered sex offender)","1","All","See also:
C.R.S. 16-22, Colorado Sex Offender Registration Act","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Law enforcement, corrections & public safety","Sex offenses","Mandatory/Automatic","Indefinite"
"C.R.S. 15-11-803","https://codes.findlaw.com/co/title-15-probate-trusts-and-fiduciaries/co-rev-st-sect-15-11-803.html","Revoke benefits under intestate succession, wills, trusts, joint assets, life insurance, & beneficiary designations","1","(3)(a),(b)","Relief:
C.R.S. 15-11-803(7)

Additional offense details:
C.R.S. 18-3-102 - 18-3-104","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Trusts, estates & guardianship","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
"C.R.S. 13-93-101","https://codes.findlaw.com/co/title-13-courts-and-court-procedure/co-rev-st-sect-13-93-101.html","Background check for attorney license","1","All","","Links may direct to unofficial sources where official sources cannot be directly linked.

See Colo. Rev. Stat. § 24-5-101 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Lawyers, judges & advocates","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"C.R.S. 13-90-101","https://codes.findlaw.com/co/title-13-courts-and-court-procedure/co-rev-st-sect-13-90-101.html","Witness credibility may be questioned (felony; 5 years)","1","All","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Judicial evidence & witnesses","Any felony","Mandatory/Automatic","Time-limited"
"C.R.S. 13-71-105","https://codes.findlaw.com/co/title-13-courts-and-court-procedure/co-rev-st-sect-13-71-105.html","Ineligible to serve as grand juror","2","(3)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Jury service","Any felony","Mandatory/Automatic","Indefinite"
"C.R.S. 13-21-810","https://codes.findlaw.com/co/title-13-courts-and-court-procedure/co-rev-st-sect-13-21-810.html","Extended period of statute of limitation (drug dealer liability act)","1","(2)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Pharmacy & drugs","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"C.R.S. 9-4-108","https://codes.findlaw.com/co/title-9-safety-industrial-and-commercial/co-rev-st-sect-9-4-108.html","Cease operation of boiler","1","All","Additional offense details:
C.R.S. 9-4-100
Other triggering offenses:
Violations of Boiler Inspection laws","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Construction, improvement & repair, engineering, plumbing, HVAC, surveying, design & architecture","Other","Discretionary","Conditional"
"C.R.S. 8-81-101","https://codes.findlaw.com/co/title-8-labor-and-industry/co-rev-st-sect-8-81-101.html","Deny unemployment benefits (false representation)","1","(1)(a)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Social Security, SSI, unemployment & disability benefits","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"C.R.S. 42-4-110.5","https://codes.findlaw.com/co/title-42-vehicles-and-traffic/co-rev-st-sect-42-4-110-5.html","Limit on use of conviction obtained through automated vehicle identification system (relief)","0","(3)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"C.R.S. 42-2-302","https://codes.findlaw.com/co/title-42-vehicles-and-traffic/co-rev-st-sect-42-2-302.html","Deny/revoke identification card for misuse","1","(3)(a)","Relief:
C.R.S. 24-4-105

Other triggering offense:
Offenses related to misuse of an identification card","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Other","Discretionary","Indefinite"
"C.R.S. 42-2-132.5","https://codes.findlaw.com/co/title-42-vehicles-and-traffic/co-rev-st-sect-42-2-132-5.html","Revoke license for tampering with ignition interlock device","1","(7)(a)
(10)(a)","Other triggering offenses:
Offenses related to bypassing/circumventing an interlock device","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Other","Mandatory/Automatic","Time-limited"
"C.R.S. 35-41.5-113","https://codes.findlaw.com/co/title-35-agriculture/co-rev-st-sect-35-41-5-113.html","Deny/suspend/revoke alternative livestock license","1","(1)(a),(e)","Additional offense details:
C.R.S. 35-41.5-115

Other triggering offenses:
Offenses related to alternative livestock licenses/stealing big game wildlife","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Agriculture, livestock & food","Other","Discretionary","Indefinite"
"C.R.S. 11-51-310","https://codes.findlaw.com/co/title-11-financial-institutions/co-rev-st-sect-11-51-310.html","Revoke/deny securities exemption","1","(2)","Additional offense details:
C.R.S. 11-51-308 (1)
Other triggering offense:
Unlawful purchase of security","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Banking, lending, securities & finance","Other","Discretionary","Time-limited"
"C.R.S. 1-13-202","https://codes.findlaw.com/co/title-1-elections/co-rev-st-sect-1-13-202.html","Forfeit benefits derived from unlawful qualification as taxpaying elector","1","All","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Civil rights & voting","Election-related offenses","Mandatory/Automatic","Indefinite"
"C.R.S. 10-6-108","https://codes.findlaw.com/co/title-10-insurance/co-rev-st-sect-10-6-108.html","Ineligible to serve as director or officer of a captive insurance company","1","All","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Insurance sales & services","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"8 CCR 1504-7","https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2769&deptID=8&agencyID=50&deptName=1504%20Higher%20Education&agencyName=1504%20Historical%20Society&seriesNum=8%20CCR%201504-7","Deny archaeology/paleontology permit","1","(Section 6)","Other triggering offenses:
Violations of archaeology/paleontology laws
(See CRS 24-80-401 to 411
C.R.S. 24-80-1301 to 1305)","See Colo. Rev. Stat. § 24-5-101 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Conservation, environmental sciences & water","Other","Discretionary","Indefinite"
"8 CCR 1202-15","https://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=3255&deptID=1&agencyID=56&deptName=Department%20of%20Agriculture&agencyName=Inspection%20and%20Consumer%20Services%20Division&seriesNum=8%20CCR%201202-15","Deny/suspend/revoke pet animal facility license","1","(9.2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Domestic animals","Other","Discretionary","Indefinite"
"4 CCR 723-7","http://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=2263&deptID=18&agencyID=96&deptName=..&agencyName=723%20Public%20Utilities%20Commission&seriesNum=4%20CCR%20723-7","Background check for employment as a railroad peace officer","1","(7402)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Law enforcement, corrections & public safety","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"1 CCR 204-16","http://www.sos.state.co.us/CCR/DisplayRule.do?action=ruleinfo&ruleId=1960&deptID=19&agencyID=76&deptName=200%20Department%20of%20Revenue&agencyName=204%20Div&seriesNum=1%20CCR%20204-16","Ineligible for Colorado driver's license (out of state conviction resulting in revocation or suspension) (1-year)","1","(A)(2)","Relief:
1 CCR 204-16(B)","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"C.R.S. 30-10-524","https://codes.findlaw.com/co/title-30-government-county/co-rev-st-sect-30-10-524.html","Background check for retired peace officer identification card provided by county law enforcement","1","(3)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Law enforcement, corrections & public safety","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
