Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Conn. Const. Art. IV., Sec. 13","https://www.cga.ct.gov/asp/Content/constitutions/CTConstitution.htm","Gubernatorial reprieve/pardon (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Conn. Const. Art. IX., Sec. 4","https://www.cga.ct.gov/asp/Content/constitutions/CTConstitution.htm","Prohibit corruption of blood/forfeiture of estate (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Trusts, estates & guardianship","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Conn. Gen. Stat. § 12-3c","http://search.cga.state.ct.us/r/statute/dtsearch.asp?posted=posted&submit1=&name=&number=12-3c&requestopt=phrase&request=&sort=name&sortorder=ascend&stemming=1&db=SURK","Background check for employment with the Department of Revenue Services","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Conn. Gen. Stat. § 13b-329","http://search.cga.state.ct.us/r/statute/dtsearch.asp?posted=posted&submit1=&name=&number=13b-329&requestopt=phrase&request=&sort=name&sortorder=ascend&stemming=1&db=SURK","Ineligible for employment as engineer with railroad operations","1","(a)","Other triggering offenses:_x000D_
Offenses related to railroad operations","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Transportation & commercial motor vehicles","Other","Mandatory/Automatic","Indefinite"
"Conn. Gen. Stat. § 14-111","http://search.cga.state.ct.us/r/statute/dtsearch.asp?posted=posted&submit1=&name=&number=14-111&requestopt=phrase&request=&sort=name&sortorder=ascend&stemming=1&db=SURK","Suspend driver's license (30 days to 1 year for listed motor vehicle offense)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"Conn. Gen. Stat. § 14-111b","http://search.cga.state.ct.us/r/statute/dtsearch.asp?posted=posted&submit1=&name=&number=14-111b&requestopt=phrase&request=&sort=name&sortorder=ascend&stemming=1&db=SURK","Suspend driver's license (speeding)","3","(a)-(c)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"Conn. Gen. Stat. § 14-111g","http://search.cga.state.ct.us/r/statute/dtsearch.asp?posted=posted&submit1=&name=&number=14-111g&requestopt=phrase&request=&sort=name&sortorder=ascend&stemming=1&db=SURK","Suspend driver's license (moving violations)","3","(c)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"Conn. Gen. Stat. § 14-111k","http://search.cga.state.ct.us/r/statute/dtsearch.asp?posted=posted&submit1=&name=&number=14-111k&requestopt=phrase&request=&sort=name&sortorder=ascend&stemming=1&db=SURK","Ineligible for driver's license/identification card (applicants in other member jurisdictions)","1","(a)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"Conn. Gen. Stat. § 14-137a","http://search.cga.state.ct.us/r/statute/dtsearch.asp?posted=posted&submit1=&name=&number=14-137a&requestopt=phrase&request=&sort=name&sortorder=ascend&stemming=1&db=SURK","Assess points to driver's license","1","All","See also:
Conn. Gen. Stat. § 14-100a
Conn. Gen. Stat. § 14-212d","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"Conn. Gen. Stat. § 14-163c","http://search.cga.state.ct.us/r/statute/dtsearch.asp?posted=posted&submit1=&name=&number=14-163c&requestopt=phrase&request=&sort=name&sortorder=ascend&stemming=1&db=SURK","Impose civil penalty for failure to meet safety regulations of motor vehicle","1","(a)
(e)(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Indefinite"
