Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"D.C. Code § 46-353.05","https://code.dccouncil.us/dc/council/code/sections/46-353.05.html","Withhold income/order enforcement of child support order","1","(b)(1), (3)","Additional offense details:
D.C. Code § 46-225.02","","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Child Support offenses","Discretionary","Indefinite"
"D.C. Code § 32-1011","https://code.dccouncil.us/dc/council/code/sections/32-1011.html","Impose administrative penalty (for conviction of minimum wage laws)","1","All","Additional offense details:
D.C. Code § 32-1009
D.C. Code § 32-1010

See also:
D.C. Code § 32-1006

Other triggering offenses:
Offenses related to minimum wage","","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Civil litigation & administrative proceedings","Other","Mandatory/Automatic","Indefinite"
"D.C. Code § 31-5204","https://code.dccouncil.us/dc/council/code/sections/31-5204.html","Revoke insurance business license","1","(b)","Other triggering offenses:
Offenses related to maintenance of insurance corporation records","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Insurance sales & services","Other","Mandatory/Automatic","Indefinite"
"D.C. Code § 25-781","https://code.dccouncil.us/dc/council/code/sections/25-781.html","Suspend/revoke alcohol sales license (sale to minors)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","Controlled substances offenses","Discretionary","Varies"
"D.C. Code § 24-607","https://code.dccouncil.us/dc/council/code/sections/24-607.html","Alcohol treatment diversion program for misdemeanants (relief)","0","(b)(1)(A)","See also:
D.C. Code § 24-711","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Deferred adjudication & diversion","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"D.C. Code § 22-4004","https://code.dccouncil.us/dc/council/code/sections/22-4004.html","Remove from sex offender registration list (relief)","0","(a)(1)","","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Sex offender registration, residency & proximity","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"D.C. Code § 16-804","https://code.dccouncil.us/dc/council/code/sections/16-804.html","Seal record of conviction (relief)","0","(a)
(b)(1)","See also:
D.C. Code § 16-801
D.C. Code § 16-803(h)
D.C. Code § 16-806","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"D.C. Code § 8-2231.03","https://code.dccouncil.us/dc/council/code/sections/8-2231.03.html","Deny/revoke/suspend fishing licensure/licensure endorsements","1","All","See also:
D.C. Code § 8-2231.02","","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Any felony","Discretionary","Indefinite"
"D.C. Code § 8-2208","https://code.dccouncil.us/dc/council/code/sections/8-2208.html","Suspend/revoke wildlife control operator license","1","(b)","Other triggering offenses:
Offenses related to animal cruelty
Offenses related to animal fighting","See D.C. Code §§ 47-2853.17 & 3-1205.03 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Wildlife, fish & game","Other","Mandatory/Automatic","Indefinite"
"D.C. Code § 7-2508.02","https://code.dccouncil.us/dc/council/code/sections/7-2508.02.html","Register as gun offender","1","All","Additional offense details:
D.C. Code § 7-2508.01(2), (3)","","2022 legislative session and all 2022 regulatory rulemaking","","Registration, publication & notification","Firearms, weapons & explosives","Weapons offenses","Mandatory/Automatic","Time-limited"
"D.C. Code § 47-2911","https://code.dccouncil.us/dc/council/code/sections/47-2911.html","Revoke restaurant/eating house/barroom/sample room/ice cream saloon/soda fountain room license","1","All","Additional offense details:
D.C. Code § 47-2908 through 47-2911
Other triggering offenses:
Offenses related to refusal to serve all well-behaved persons
Offenses related to discrimination","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Sales & service (general)","Other","Mandatory/Automatic","Indefinite"
"D.C. Code § 47-104","https://code.dccouncil.us/dc/council/code/sections/47-104.html","Remove district authority from employment (for conviction of unlawful diversion of tax money)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Public employment","Public corruption offenses","Mandatory/Automatic","Indefinite"
"D.C. Code § 4-513","https://code.dccouncil.us/dc/council/code/sections/4-513.html","Forfeit violent crime victim compensation","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Government benefits|Civil fines, liability, forfeiture & property rights","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"D.C. Code § 32-1307","https://code.dccouncil.us/dc/council/code/sections/32-1307.html","Impose administrative penalty (for conviction for violation of payment/collection of wages laws)","1","All","Additional offense details:
D.C. Code § 32-1302
D.C. Code § 32-1304

See also:
D.C. Code §§ 2-501 et seq.

Other triggering offenses:
Offenses related to payment/collection of wages","","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Civil litigation & administrative proceedings","Other","Mandatory/Automatic","Indefinite"
"CDCR 18-310","https://www.dcregs.dc.gov/Common/DCMR/SectionList.aspx?SectionNumber=18-310","Ineligible for occupational license (for conviction of driving on a suspend/revoked license)","1","310.7(c)","0","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"CDCR 18-305","https://www.dcregs.dc.gov/Common/DCMR/SectionList.aspx?SectionNumber=18-305","Suspend/revoke motor vehicle license (for driving a motor vehicle on a suspended/revoked license)","1","All","Relief:
CDCR 18-306
CDCR 18-1008","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Time-limited"
"CDCR 17-3213","https://www.dcregs.dc.gov/Common/DCMR/SectionList.aspx?SectionNumber=17-3213","Background check for interior designer license (self-disclosure)","1","3213.1(b)(8)","","See D.C. Code §§ 47-2853.17 & 3-1205.03 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Construction, improvement & repair, engineering, plumbing, HVAC, surveying, design & architecture","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"CDCR 16-813","https://www.dcregs.dc.gov/Common/DCMR/SectionList.aspx?SectionNumber=16-813","Deny/suspend/revoke home improvement contractor/salesperson license","1","813.1
813.3(c)","Additional offense details:
D.C. Code § 47-2844","See D.C. Code §§ 47-2853.17 & 3-1205.03 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Construction, improvement & repair, engineering, plumbing, HVAC, surveying, design & architecture","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
