Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"8 USCS § 1324c","http://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title8-section1324c&num=0&edition=prelim","Ineligible for employment in immigration document preparation field (immigration fraud)","1","(e)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"12 USCS § 5710","http://uscode.house.gov/view.xhtml?req=granuleid:USC-prelim-title12-section5710&num=0&edition=prelim","Ineligible for employment with recipient of State Small Business Initiative funds","1","(a) - (c)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","","Sex offenses","Mandatory/Automatic","Indefinite"
"27 CFR 22.42","https://www.law.cornell.edu/cfr/text/27/22.42","Background check for permit to use/distribute tax-free industrial alcohol","1","(a)(11)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Hazardous materials, pesticides, chemicals & waste","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"25 CFR 11.902","https://www.law.cornell.edu/cfr/text/25/11.902","Limit use of juvenile adjudication in Indian children's court (relief)","0","All","","Links may direct to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Court personnel, general legal services & bail bonds","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"22 CFR 1006.800","https://www.law.cornell.edu/cfr/text/22/1006.800","Revoke eligibility to contract with Inter-American Foundation","1","(a)","Background check:
22 CFR 1006.335","Links may direct to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Government contracting & program participation","Government procurement contracts & programs","Controlled substances offenses","Discretionary","Indefinite"
"22 CFR 140.10","https://www.law.cornell.edu/cfr/text/22/140.10","Impose recall of loan to individual convicted of drug trafficking offense (State Department/intermediate credit institution)","1","(b)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Government loans & grants","Banking, lending, securities & finance","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"17 CFR 147.3","https://www.law.cornell.edu/cfr/text/17/147.3","Limit access to Commodity Futures Trading Commission meetings (relief)","0","(a); (b)(6)(ii)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Banking, lending, securities & finance","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"15 CFR 30.71","https://www.law.cornell.edu/cfr/text/15/30.71","Forfeit exports/proceeds derived from fraud/misuse of Automated Export System","1","(a), (b)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","International trade & customs","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"15 CFR 30.5","https://www.law.cornell.edu/cfr/text/15/30.5","Deny postdeparture Electronic Export Information filing to exporter","1","(c)(1)(v)","See also:
19 CFR 192.12-3

Other triggering offenses
Felony violations of federal export laws/regulations","Links may direct to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","International trade & customs","Other","Discretionary","Indefinite"
"14 CFR 107.57","https://www.law.cornell.edu/cfr/text/14/107.57","Deny/suspend/revoke remote pilot certificate","1","(a)","","Links may direct to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Aviation & airports","Controlled substances offenses","Discretionary","Indefinite"
