Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"I.C.R. Rule 16","https://www.isc.idaho.gov/icr","Disclose felony convictions of state witness to defendant","1","6","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Judicial evidence & witnesses","Any felony","Mandatory/Automatic","Indefinite"
"I.J.R. Rule 28","https://www.isc.idaho.gov/ijr","Expunge juvenile records (relief)","0","(a)-(e)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"I.R.E. Rule 609","https://www.isc.idaho.gov/ire","Impeach witness by evidence of conviction","1","(a)
(b)
(c)
(d)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Judicial evidence & witnesses","Any felony","Discretionary","Time-limited"
"I.R.E. Rule 803","https://www.isc.idaho.gov/ire","Ineligible for hearsay exclusion (felony convictions)","1","22","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Judicial evidence & witnesses","Any felony","Mandatory/Automatic","Indefinite"
"Idaho Code § 10-1110","https://legislature.idaho.gov/statutesrules/idstat/Title10/T10CH11/SECT10-1110/","Impose lien on real property of delinquent child support obligor","1","All","Additional offense details:
Idaho Code § 18-401 (1),(2),(3) 

See also:
Idaho Code § 10-1111 (2)","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Real estate & property","Child Support offenses","Mandatory/Automatic","Conditional"
"Idaho Code § 15-2-803","https://legislature.idaho.gov/statutesrules/idstat/Title15/T15CH2/SECT15-2-803/","Ineligible to acquire any benefit from decedent victim","1","(a)(1),(2),(3)
(b)
(m)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Trusts, estates & guardianship","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
"Idaho Code § 15-5-311","https://legislature.idaho.gov/statutesrules/idstat/Title15/T15CH5/SECT15-5-311/","Ineligible to serve as guardian of incapacitated person","1","(4)
(5)(a)-(d)","","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Trusts, estates & guardianship","Any felony","Discretionary (waiver)","Indefinite"
"Idaho Code § 15-5-311","https://legislature.idaho.gov/statutesrules/idstat/Title15/T15CH5/SECT15-5-311/","Ineligible to reside in residence of incapacitated person's guardian","1","(4)
(5)(a)-(d)","Background check:
Idaho Code § 15-5-316","","2023 legislative session and all 2023 regulatory rulemaking","","Housing & residency","Trusts, estates & guardianship","Any felony","Discretionary (waiver)","Indefinite"
"Idaho Code § 15-5-410","https://legislature.idaho.gov/statutesrules/idstat/Title15/T15CH5/SECT15-5-410/","Ineligible to serve as conservator of estate of protected person","1","3","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Trusts, estates & guardianship","Any felony","Discretionary (waiver)","Indefinite"
"Idaho Code § 15-5-433","https://legislature.idaho.gov/statutesrules/idstat/Title15/T15CH5/SECT15-5-433/","Background check to terminate conservatorship","1","(a)
(b)(5)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Trusts, estates & guardianship","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Idaho Code § 16-1632","https://legislature.idaho.gov/statutesrules/idstat/Title16/T16CH16/SECT16-1632/","Background check to serve as coordinator/staff member of any guardian ad litem program","1","3","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Trusts, estates & guardianship","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Idaho Code § 18-3302","https://legislature.idaho.gov/statutesrules/idstat/Title18/T18CH33/SECT18-3302/","Deny/revoke for concealed carry license","1","(10)
(11)(b),(c),(h),(i),(l),(m)
(21)
(22)(e)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Time-limited"
"Idaho Code § 18-3302K","https://legislature.idaho.gov/statutesrules/idstat/Title18/T18CH33/SECT18-3302K/","Deny/revoke enhanced concealed carry license","1","(3)
(4)
(12)(e)","Relief:
Idaho Code § 18-3302 

Additional offense details:
Idaho Code § 18-3302","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
"Idaho Code § 18-3316","https://legislature.idaho.gov/statutesrules/idstat/Title18/T18CH33/SECT18-3316/","Ineligible to purchase/own/possess firearm","1","(1)
(2)
(3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Any felony","Mandatory/Automatic","Indefinite"
"Idaho Code § 18-3325","https://legislature.idaho.gov/statutesrules/idstat/Title18/T18CH33/SECT18-3325/","Ineligible to possess conducted energy device","1","(1)(a),(b)
(4)
(5)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Any felony","Mandatory/Automatic","Indefinite"
"Idaho Code § 18-4310","https://legislature.idaho.gov/statutesrules/idstat/Title18/T18CH43/SECT18-4310/","Impose civil liability for neglect to deliver water","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Agriculture, livestock & food","Other","Discretionary","Indefinite"
"Idaho Code § 18-6711A","https://legislature.idaho.gov/statutesrules/idstat/Title18/T18CH67/SECT18-6711A/","Impose civil liability (conviction of false alarm)","1","(a)
(b)","","","2023  legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Civil litigation & administrative proceedings","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"Idaho Code § 18-8001","https://legislature.idaho.gov/statutesrules/idstat/Title18/T18CH80/SECT18-8001/","Ineligible for grant of restricted driving privileges (conviction of driving without privileges)","1","(1)
(2)(a)-(d) 
(3)
(4)
(5)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Recreational license offenses","Mandatory/Automatic","Indefinite"
"Idaho Code § 18-8007","https://legislature.idaho.gov/statutesrules/idstat/Title18/T18CH80/SECT18-8007/","Revoke driver's license (1 year for conviction of leaving scene of accident)","1","(1)(a)-(e)
(2)
(3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"Idaho Code § 18-8310","https://legislature.idaho.gov/statutesrules/idstat/Title18/T18CH83/SECT18-8310/","Expunge name from sex offender registry (relief)","0","(1)(a)-(g)
(2)
(3)
(4)(a),(b),(c)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Idaho Code § 18-8414","https://legislature.idaho.gov/statutesrules/idstat/Title18/T18CH84/SECT18-8414/","Ineligible to serve as employee of day care center/group day care facility/family day care home","1","(1)
(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Child care providers & youth programs","Sex offenses","Mandatory/Automatic","Indefinite"
"Idaho Code § 19-2604","https://legislature.idaho.gov/statutesrules/idstat/Title19/T19CH26/SECT19-2604/","Set aside conviction/amend judgment of conviction (relief)","0","(1)(a),(b)
(2)(a),(b)
(3)(a)-(e)
(4)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
