Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"105 ILCS 5/10-22.34c","http://www.ilga.gov/search/iga_results.asp?target=105+ILCS+5%2F10-22.34c&submit1=Go&scope=ilcs","Background check for employment with third-party non-instructional services contractor","1","(a)(3)(E), (F)","","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Education & schools","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"11 Ill. Adm. Code 1770.50","http://www.ilga.gov/commission/jcar/admincode/011/01101770sections.html","Deny/suspend/revoke lottery sales agent license (violation of Lottery Law)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","Other","Discretionary","Indefinite"
"15 ILCS 510/9b.1","http://www.ilga.gov/search/iga_results.asp?target=15+ILCS+510%2F9b.1&submit1=Go&scope=ilcs","Background check for employment with the State Treasurer's Office","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Public employment","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"17 Ill. Adm. Code 640.80","http://www.ilga.gov/commission/jcar/admincode/017/01700640sections.html","Assess civil fine against hunting outfitter","1","All","Additional offense details:
 520 ILCS 5/3.1-3

See also:
17 Ill. Adm. Code 640.10
","","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Indefinite"
"20 ILCS 1605/10.1","http://www.ilga.gov/search/iga_results.asp?target=20+ILCS+1605%2F10.1&submit1=Go&scope=ilcs","Revoke license to sell lottery tickets (related violation)","1","All","Additional offense details:
20 ILCS 1605/16

See also:
11 Ill. Adm. Code 1770.40
11 Ill. Adm. Code 1770.50

Other triggering offenses:
Offenses related to lottery","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","Other","Discretionary","Indefinite"
"20 ILCS 2105/2105-20","http://www.ilga.gov/search/iga_results.asp?target=20+ILCS+2105%2F2105-20&submit1=Go&scope=ilcs","Background check for expedited medical licensure","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Health care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"20 ILCS 2605/2605-330","http://www.ilga.gov/search/iga_results.asp?target=20+ILCS+2605%2F2605-330&submit1=Go&scope=ilcs","Background check for employment as firefighter","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Emergency services, management & fire","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"20 ILCS 2630/5.2","http://www.ilga.gov/search/iga_results.asp?target=20+ILCS+2630%2F5.2&submit1=Go&scope=ilcs","Seal/expunge record (relief)","0","All","","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"20 ILCS 2635/12","http://www.ilga.gov/search/iga_results.asp?target=20+ILCS+2635%2F12&submit1=Go&scope=ilcs","Correct erroneous criminal record (relief)","0","All","See also:
2 Ill. Adm. Code 1750.340 (m)
20 Ill. Adm. Code 107.440
20 Ill. Adm. Code 1210.40","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"20 ILCS 3435/5","http://www.ilga.gov/search/iga_results.asp?target=20+ILCS+3435%2F5&submit1=Go&scope=ilcs","Assess civil damages/forfeit equipment (conviction for collecting/disturbing/selling archaeological/paleontological artifacts)","1","All","Additional offense details:
20 ILCS 3435/3

See also:
17 Ill. Adm. Code 4190.204

Other triggering offenses:
Offenses related to collecting/disturbing/selling archaeological/paleontological artifacts","","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Laboratories, technicians, research & phlebotomy","Other","Mandatory/Automatic","Indefinite"
"20 ILCS 3440/12","http://www.ilga.gov/search/iga_results.asp?target=20+ILCS+3440%2F12&submit1=Go&scope=ilcs","Assess civil fine/forfeit equipment (conviction for disturbing human remains/graves)","1","All","Additional offense details:
20 ILCS 3440/4
20 ILCS 3440/5
20 ILCS 3440/10
17 Ill. Adm. Code 4170.610

See also:
17 Ill. Adm. Code 4170.620

Other triggering offenses:
Offenses related to disturbing human remains and graves","","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Laboratories, technicians, research & phlebotomy","Other","Mandatory/Automatic","Indefinite"
"20 ILCS 505/35.2","http://www.ilga.gov/search/iga_results.asp?target=20+ILCS+505%2F35.2&submit1=Go&scope=ilcs","Petition to terminate parental rights (aggravated battery of child)","1","All","Additional offense details:
705 ILCS 405/2-21","","2022 legislative session and all 2022 regulatory rulemaking","","Family & domestic rights","Child custody, visitation & parental rights","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
"20 Ill. Adm. Code 107.440","http://www.ilga.gov/commission/jcar/admincode/020/02000107sections.html","Correct erroneous criminal record (relief)","0","All","See also:
20 Ill. Adm. Code 107.430
20 ILCS 2635/12
20 Ill. Adm. Code 1210.40","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"20 Ill. Adm. Code 1210.40","http://www.ilga.gov/commission/jcar/admincode/020/02001210sections.html","Correct erroneous criminal record (relief)","0","All","","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"205 ILCS 620/2-13","http://www.ilga.gov/search/iga_results.asp?target=205+ILCS+620%2F2-13&submit1=Go&scope=ilcs","Ineligible to serve as officer/director/employee/agent of corporate certificate of authority holder","1","All","Background check:
20 ILCS 3205/5","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","","Any felony|Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary (waiver)","Indefinite"
"215 ILCS 113/50","http://www.ilga.gov/search/iga_results.asp?target=215+ILCS+113%2F50&submit1=Go&scope=ilcs","Deny/revoke employee leasing company registration (convictions of lessor/applicant)","1","(6)(b)","","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering|Business licensure & participation","","Any felony","Discretionary (waiver)","Time-limited"
"215 ILCS 5/370","http://www.ilga.gov/search/iga_results.asp?target=215+ILCS+5%2F370&submit1=Go&scope=ilcs","Suspend/revoke foreign/alien insurance company agent license","1","All","Other triggering offenses:
Offenses related to insurance","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","Other","Mandatory/Automatic","Time-limited"
"215 ILCS 5/511.107","http://www.ilga.gov/search/iga_results.asp?target=215+ILCS+5%2F511.107&submit1=Go&scope=ilcs","Deny/suspend/revoke third party administrator insurance license","1","(a)(6)
(b), (d)","Obligation to notify Director of Insurance of convictions:
215 ILCS 5/511.108","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","Any felony","Discretionary (waiver)","Time-limited"
"220 ILCS 5/16-108.12","http://www.ilga.gov/search/iga_results.asp?target=220+ILCS+5%2F16-108.12&submit1=Go&scope=ilcs","Ineligible to participate in utility job training program (conviction of sex offense)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Education","Sex offender registration, residency & proximity","Sex offenses","Mandatory/Automatic","Indefinite"
"225 ILCS 10/4.2","http://www.ilga.gov/search/iga_results.asp?target=225+ILCS+10%2F4.2&submit1=Go&scope=ilcs","Ineligible for child care facility license (access to confidential financial information/responsibility for billing) (conviction for fraud/theft)","1","(a)
(b-1.5)","Additional offense details:
720 ILCS 5/1-1 et seq.
720 ILCS 5/12-3.05 (e)(1) through (e)(4)
720 ILCS 5/12-3.05 (g)(1)
720 ILCS 5/12-4.4a (e)
720 ILCS 5/12-4.7
720 ILCS 5/16-1
720 ILCS 5/16-30
720 ILCS 5/17-1
720 ILCS 5/17-3
720 ILCS 5/17-6
720 ILCS 5/17-10.6
720 ILCS 5/17-24
720 ILCS 5/17-50
720 ILCS 5/17-56
720 ILCS 5/17-51
720 ILCS 5/17-52

Background check:
225 ILCS 10/4.1

See also:
225 ILCS 10/2.05","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Child care providers & youth programs","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"225 ILCS 422/40","http://www.ilga.gov/search/iga_results.asp?target=225+ILCS+422%2F40&submit1=Go&scope=ilcs","Deny license as recovery manager for repossession business","1","(a)(2)","Background check:
225 ILCS 422/45 (b)

See also:
225 ILCS 422/85","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Credit, debt services, bankruptcy & repossession","Any felony","Discretionary","Time-limited"
"225 ILCS 427/155","http://www.ilga.gov/search/iga_results.asp?target=225+ILCS+427%2F155&submit1=Go&scope=ilcs","Revoke community association manager license (second related conviction)","1","All","Other triggering offenses:
Second conviction related to community association manager licensing","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Real estate & property","Other","Mandatory/Automatic","Time-limited"
"225 ILCS 447/45-50","http://www.ilga.gov/search/iga_results.asp?target=225+ILCS+447%2F45-50&submit1=Go&scope=ilcs","Revoke private detective/private security contractor/alarm contractor/fingerprint vendor/locksmith license (related conviction)","1","(b)","Other triggering offenses:
Offenses related to the licensing of private security businesses
","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Private security, investigation & locksmiths","Other","Mandatory/Automatic","Time-limited"
"225 ILCS 458/5-30","http://www.ilga.gov/search/iga_results.asp?target=225+ILCS+458%2F5-30&submit1=Go&scope=ilcs","Background check for appraiser license by endorsement","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Real estate & property","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"225 ILCS 515/1","http://www.ilga.gov/search/iga_results.asp?target=225+ILCS+515%2F1&submit1=Go&scope=ilcs","Deny employment agent license","1","(b)","Relief:
730 ILCS 5/5-5-5 (h)

See also:
225 ILCS 515/1.5","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","","Any felony|Any misdemeanor","Discretionary","Indefinite"
"225 ILCS 515/4","http://www.ilga.gov/search/iga_results.asp?target=225+ILCS+515%2F4&submit1=Go&scope=ilcs","Deny/revoke employment counselor license","1","All","Relief:
730 ILCS 5/5-5-5 (h)","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Psychiatry, psychology, counseling & mental health services","Any felony","Discretionary","Indefinite"
"225 ILCS 735/13","http://www.ilga.gov/search/iga_results.asp?target=225+ILCS+735%2F13&submit1=Go&scope=ilcs","Deny/suspend/revoke timber buyer license","1","All","Additional offense details:
225 ILCS 735/5
225 ILCS 735/11

Other triggering offenses:
Offenses related to timber buying","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Construction, improvement & repair, engineering, plumbing, HVAC, surveying, design & architecture","Other","Discretionary","Time-limited"
"230 ILCS 15/3","http://www.ilga.gov/search/iga_results.asp?target=230+ILCS+15%2F3&submit1=Go&scope=ilcs","Deny raffle license","1","(a)","See also:
230 ILCS 15/3.1 (b)","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","Any felony","Discretionary (waiver)","Indefinite"
"230 ILCS 20/6","http://www.ilga.gov/search/iga_results.asp?target=230+ILCS+20%2F6&submit1=Go&scope=ilcs","Deny entry to place where pull tables and jar games are being conducted (conviction for illegal gambling)","1","All","Additional offense details:
720 ILCS 5/28-1 et seq.

Other triggering offenses:
Offenses related to illegal gambling","","2022 legislative session and all 2022 regulatory rulemaking","","Political & civic participation","Gaming, lottery & racing","Other","Mandatory/Automatic","Indefinite"
"230 ILCS 25/4","http://www.ilga.gov/search/iga_results.asp?target=230+ILCS+25%2F4&submit1=Go&scope=ilcs","Deny entry to place where bingo games are being conducted (conviction for illegal gambling)","1","All","Additional offense details:
720 ILCS 5/28-1 et seq.

Other triggering offenses:
Offenses related to illegal gambling
","","2022 legislative session and all 2022 regulatory rulemaking","","Political & civic participation","Gaming, lottery & racing","Other","Mandatory/Automatic","Indefinite"
"230 ILCS 5/19","http://www.ilga.gov/search/iga_results.asp?target=230+ILCS+5%2F19&submit1=Go&scope=ilcs","Ineligible for horse racing license (conviction of applicant for felony)","1","(a)(3)","","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","Any felony","Mandatory/Automatic","Indefinite"
"235 ILCS 5/5-1","http://www.ilga.gov/search/iga_results.asp?target=235+ILCS+5%2F5-1&submit1=Go&scope=ilcs","Revoke registration of alcohol manufacturer agent (fraud in application)","1","(a-1)","","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"30 ILCS 580/5","http://www.ilga.gov/search/iga_results.asp?target=30+ILCS+580%2F5&submit1=Go&scope=ilcs","Terminate/discipline employee of state contractor convicted of drug crime (Drug Free Workplace Act)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Government procurement contracts & programs","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"305 ILCS 5/1-10","http://www.ilga.gov/search/iga_results.asp?target=305+ILCS+5%2F1-10&submit1=Go&scope=ilcs","Ineligible for cash public assistance","2","All","Additional offense details:
720 ILCS 570/100 et seq.
720 ILCS 550/1 et seq.
720 ILCS 646/1 et seq.
21 U.S.C. § 802(c)
","","2022 legislative session and all 2022 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Controlled substances offenses","Mandatory/Automatic","Varies"
"305 ILCS 5/3-1.7","http://www.ilga.gov/search/iga_results.asp?target=305+ILCS+5%2F3-1.7&submit1=Go&scope=ilcs","Ineligible for public assistance (multiple convictions for benefits fraud)","1","All","See also:
89 Ill. Adm. Code 102.270
89 Ill. Adm. Code 10.370","","2022 legislative session and all 2022 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"305 ILCS 5/4-1.5a","http://www.ilga.gov/search/iga_results.asp?target=305+ILCS+5%2F4-1.5a&submit1=Go&scope=ilcs","Ineligible for public assistance (multiple convictions for benefits fraud in other jurisdictions)","1","All","Additional offense details:
305 ILCS 5/8A-2 through 305 ILCS 5/8A-5","","2022 legislative session and all 2022 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"305 ILCS 5/6-1.8","http://www.ilga.gov/search/iga_results.asp?target=305+ILCS+5%2F6-1.8&submit1=Go&scope=ilcs","Ineligible for public financial aid (multiple convictions for benefits fraud)","1","All","Additional offense details:
305 ILCS 5/8A-1 et seq.","","2022 legislative session and all 2022 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
