Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Iowa Code § 99B.55","","Deny, suspend, or revoke liquor license or beer permit","1","(1)(a)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","","","Indefinite"
"Iowa Code § 123.43","","Ineligible for class “A” native distilled spirits license","1","(1)(f)
(2)(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","","","Mandatory/Automatic","Indefinite"
"Iowa Code § 123.35","","Suspend or revoke  class “E” retail alcohol license ","1","(2)(f)
(3)(e)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","","","Mandatory/Automatic","Indefinite"
"11 IAC 103.12","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=11&chapter=103","Impose requirement on state driver to attend a defensive driving course (DUI/minimum three moving violations within a three-year period)","1","(1)(b)
(2)(a)-(e)
(3)(a)-(d)
(4)
(5)(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"17 IAC 15.4","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=17&chapter=15","Background check for direct contact with elder care client","1","(4)(a)(1)-(2)
(4)(b)(3)-(4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Adult care, nursing homes & residential care facilities","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"187 IAC 17.3","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=187&chapter=17","Background check for license to operate delayed deposit services (officer/director/individual)","1","2","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Banking, lending, securities & finance","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"191 IAC 100.12","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=191&chapter=100","Background check for license to sell funeral merchandise","1","(1)(a)-(b)","See also:
Iowa Code section 523A.501
Iowa Code section 523A.502","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Funeral services","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"191 IAC 14.11","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=191&chapter=14","Ineligible for appointment as illustration actuary","1","(3)(c)(1)-(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Insurance sales & services","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"191 IAC 33.6","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=191&chapter=33","Ineligible to serve as employee handling variable life insurance separate account assets for domestic insurance company","1","(1)(b); (10)(c)(4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Insurance sales & services","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary (waiver)","Time-limited"
"191 IAC 45.12","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=191&chapter=45","Background check to be director/executive officer of insurance holding company","1","Form A  - (2) - (4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Insurance sales & services","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"191 IAC 55.10","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=191&chapter=55","Forfeit public adjuster surety bond","1","(1)(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Insurance sales & services","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"193A IAC 3.1","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=193A&chapter=3","Deny certified public accountant certification","1","(2)(f)","Conviction self-disclosure requirement:
193A IAC 5.5
193A IAC 5.8

Relief:
193A IAC 16.5
See also:
Iowa Code § 542.5","","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Accounting","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"205 IAC 14.3","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=205&chapter=14","Executive clemency (relief)","0","(1)(a)-(d)
(2)
(3)(a)-(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"205 IAC 14.3","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=205&chapter=14","Restore citizenship following discharge of sentence (relief)","0","(3)(a)-(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"205 IAC 9.2","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=205&chapter=9","Certificate of employability (relief)","0","(1)-(3)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Limitations on imposition of collateral consequences","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"441 IAC 109.6","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=441&chapter=109","Ineligible for involvement with child care center","1","(6)(a)(1)-(3)
(6)(b)
(6)(f)(1)-(2)
(6)(g)-(h)","Additional offense details:
441 IAC 109.1","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Child care providers & youth programs","Controlled substances offenses","Mandatory/Automatic","Time-limited"
"441 IAC 61.11","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=441&chapter=61","Ineligible to sponsor refugee","1","(1)(h)","Other triggering offenses:
Aggravated/serious misdemeanors","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
"441 IAC 98.121","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=441&chapter=98","Refer child support arrearage to collection agency","1","(1)(a)-(c)
(2)(a)-(b)
(3)-(4)
(5)(a)-(c)","See also:
Iowa Code § 726.5","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Credit, debt services, bankruptcy & repossession","Child Support offenses","Discretionary","Indefinite"
"441 IAC 98.24","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=441&chapter=98","Impose income withholding (child support arrearages)","1","All","See also:
Iowa Code § 726.5","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Civil litigation & administrative proceedings","Child Support offenses","Mandatory/Automatic","Conditional"
"531 IAC 1.29","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=531&chapter=1","Background check for employment with state lottery","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Gaming, lottery & racing","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"531 IAC 12.12","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=531&chapter=12","Suspend/revoke lottery agent license (child support offenses)","1","(1)(g), (2), (3), (5)","See also:
Iowa Code § 726.5","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","Child Support offenses","Discretionary","Conditional"
"561 IAC 12.5","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=561&chapter=12","Ineligible for special nonresident deer/turkey hunting license","1","(2)(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Discretionary","Time-limited"
"571 IAC 15.11","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=571&chapter=15","Suspend/revoke resident's hunting/fishing/trapping license held by nonresident","1","(1)-(3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"641 IAC 154.17","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=641&chapter=154","Background check to be a medical cannabidiol manufacturer","1","(3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Health care|Pharmacy & drugs|Marijuana (medical & recreational)","Controlled substances offenses","",""
"641 IAC 154.17","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=641&chapter=154","Ineligible for employment by medical cannabidiol manufacturer (person under 18)","1","(3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Marijuana (medical & recreational)","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"661 IAC 82.104","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=661&chapter=82","Challenge inaccurate criminal record (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"751 IAC 5.16","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=751&chapter=5","Background check to place bids with the Telecommunications and Technology commission (bidders/key personnel)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation","Government procurement contracts & programs","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"761 IAC 425.10","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=425","Notify motor vehicle dealer's bonding company of conviction for violation dealer laws","1","(2)(c)-(e)","Other triggering offenses:
Violation of motor vehicle/traveltrailer dealer laws","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Motor vehicle sales & service","Other","Mandatory/Automatic","Indefinite"
"761 IAC 431.3","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=431","Background check for vehicle recycler's license (conviction of partner/officer)","1","7","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Motor vehicle sales & service","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"761 IAC 615.11","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=615","Suspend driver's license for an additional period (conviction for driving with a suspended license)","1","2","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"761 IAC 615.12","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=615","Suspend driver's license (minimum 60 days/three or more moving violations within a 12-month period)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Indefinite"
"761 IAC 615.13","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=615","Suspend driver's license (three or more motor vehicle violations within a 12-month period/habitual violator designation)","1","(1)-(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Time-limited"
"761 IAC 615.15","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=615","Suspend driver's license (unlawful/fraudulent use of license)","1","(1)-(3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Time-limited"
"761 IAC 615.17","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=615","Suspend driver's license","4","All","Additional offense details:
761 IAC 615.12
Iowa Code § 321.372","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Varies"
"761 IAC 615.20","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=615","Suspend driver's license (moving violation committed during probationary period)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Time-limited"
"761 IAC 615.21","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=615","Suspend minor's school/restricted license","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Indefinite"
"761 IAC 615.24","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=615","Suspend driver's license (child support offenses)","1","ALL","See also:
Iowa Code § 726.5","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Child Support offenses","Mandatory/Automatic","Conditional"
"761 IAC 615.29","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=615","Revoke driver's license","2","(1)-(3)","See also:
321.209","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"761 IAC 615.32","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=615","Revoke driver's license for an additional period (conviction for driving with a revoked license)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"761 IAC 615.33","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=615","Revoke minor's school/restricted license (multiple moving violations)","1","(1)-(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"761 IAC 615.42","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=615","Suspend instruction/intermediate driver's license/impose remediation requirement","1","(1)-(4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"761 IAC 615.43","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=615","Driver improvement program (relief)","0","ALL","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Driving & noncommercial motor vehicles","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"761 IAC 615.45","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=615","Ineligible for temporary restricted driver's license (child support offenses)","1","(1)(g)-(i)","See also:
Iowa Code § 726.5","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Child Support offenses","Discretionary","Indefinite"
"761 IAC 615.7","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=761&chapter=615","Revoke motorized bicycle license","1","(2), (4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"801 IAC 16.5","https://www.legis.iowa.gov/law/administrativeRules/rules?agency=801&chapter=16","Forfeit limited residency Vietnam conflicts veteran bonus","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Military, veterans & national defense","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Iowa Code § 123.127","https://www.legis.iowa.gov/law/iowaCode/sections?codeChapter=123&year=2018","Ineligible for class A or AA beer permit","1","(1)(b)(1)","See also:
Iowa Code §123.3","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","Any felony","Mandatory/Automatic","Time-limited"
"Iowa Code § 123.127","https://www.legis.iowa.gov/law/iowaCode/sections?codeChapter=123&year=2018","Ineligible for class A or AA beer permit (discretionary waiver/permanent after five-year ineligibility period for felony conviction)","1","(2)(b)","See also:
Iowa Code §123.3","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","Any felony","Discretionary (waiver)","Indefinite"
