Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"K.A.R. § 10-13-1","","Right to challenge accuracy of criminal history record (relief)","0","(a)
(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"K.A.R. § 10-21-4","http://www.kssos.org/Pubs/pubs_kar.aspx","Expunge DNA samples from DNA database (relief)","0","(a)(1)-(3)
(b)(1)-(7)
(c)
(d)
(e)
(f)
(g)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"K.A.R. § 112-4-26","","Background check for gaming/racing operating license","1","(a)
(b)(1)","See also:
K.S.A. § 74-8816 (a)-(h)","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"K.A.R. § 115-18-1","","Revoke wildlife rehabilitation permit","1","(a)
(q)(4)","Other triggering offenses:
Violation of laws relating to the care/treatment/possession/take/disposal of wildlife/domestic animals","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Wildlife, fish & game","Other","Mandatory/Automatic","Time-limited"
"K.A.R. § 129-6-140","","Ineligible for medical assistance payments","1","(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Medicaid, Medicare & other public health benefits","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"K.A.R. § 16-11-5","","Background check for concealed handgun license","1","(a)
(d)(1),(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"K.A.R. § 28-4-176","http://www.kssos.org/Pubs/pubs_kar.aspx","Background check to adopt","1","(b)
(c)(6)","","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"K.A.R. § 28-4-578","http://www.kssos.org/Pubs/pubs_kar.aspx","Background check for temporary permit/license to operate school-age program","1","(g)(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Child care providers & youth programs","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"K.A.R. § 28-4-580","","Background check to conduct school-age program","1","(a)(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Child care providers & youth programs","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"K.A.R. § 28-4-701","http://www.kssos.org/Pubs/pubs_kar.aspx","Background check for temporary permit/license to operate a drop-in program","1","(a)
(c)(2)
(f)(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Child care providers & youth programs","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"K.A.R. § 30-4-50","","Ineligible for Temporary Assistance for Families (TAF)","1","(c)","See also:
K.A.R. § 30-4-34 (a)","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation","Public assistance & food stamps","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"K.A.R. § 30-46-17","","Expunge abuse and neglect record (relief)","0","(c)(1)-(4)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"K.A.R. § 30-63-28","http://www.kssos.org/Pubs/pubs_kar.aspx","Ineligible to serve as employee of community service provider","1","(a)
(f)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Health care","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
"K.A.R. § 45-900-1","","Pardon criminal sentence (relief)","0","(a)-(c)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
