Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"KRS § 433.770","https://codes.findlaw.com/LCsearch.html#?cludoquery=433.770&cludoCategory=Codes&cludopage=1&cludorefpt=Kentucky%20Revised%20Statutes%20%7C%20FindLaw","Forfeit cost of removed/damaged boundary marker","1","1","Other triggering offenses:
Conviction for willfully removing/damaging property marker","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Mandatory/Automatic","Indefinite"
"KRS § 335B.060","https://codes.findlaw.com/LCsearch.html#?cludoquery=335B.060&cludoCategory=Codes&cludopage=1&cludorefpt=Kentucky%20Revised%20Statutes%20%7C%20FindLaw","Limit effect of convictions in occupational licensing/public employment (relief)","0","All","Additional offense details:
KRS § 335B.020

KRS § 335B.070","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"KRS § 381.280","https://codes.findlaw.com/LCsearch.html#?cludoquery=381.280&cludoCategory=Codes&cludopage=1&cludorefpt=Kentucky%20Revised%20Statutes%20%7C%20FindLaw","Forfeit interest in property of victim","1","1","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
"KRS § 529.150","https://codes.findlaw.com/LCsearch.html#?cludoquery=529.150&cludoCategory=Codes&cludopage=1&cludorefpt=Kentucky%20Revised%20Statutes%20%7C%20FindLaw","Forfeit property used in connection with human trafficking","1","(1)-(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
"KRS § 514.160","https://codes.findlaw.com/LCsearch.html#?cludoquery=514.160&cludoCategory=Codes&cludopage=1&cludorefpt=Kentucky%20Revised%20Statutes%20%7C%20FindLaw","Forfeit all property gained through identity theft","1","(1)-(6)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Ky AP Part XIII § 7.","https://govt.westlaw.com/kyrules/Index?transitionType=Default&contextData=(sc.Default)","Background check for acceptance to drug court","1","(1)-(6)","See also:
Ky AP Part XIII § 1","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation","Deferred adjudication & diversion","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"KRS § 635.040","https://codes.findlaw.com/LCsearch.html#?cludoquery=635.040&cludoCategory=Codes&cludopage=1&cludorefpt=Kentucky%20Revised%20Statutes%20%7C%20FindLaw","Limit effect of Juvenile adjudication (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Deferred adjudication & diversion","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"KRS § 61.645","https://codes.findlaw.com/LCsearch.html#?cludoquery=61.645&cludoCategory=Codes&cludopage=1&cludorefpt=Kentucky%20Revised%20Statutes%20%7C%20FindLaw","Background check to serve on Kentucky Retirement Systems board of trustees","1","(1)
(4)(a), (i)","","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Public employment","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"KRS § 527.040","https://codes.findlaw.com/LCsearch.html#?cludoquery=527.040&cludoCategory=Codes&cludopage=1&cludorefpt=Kentucky%20Revised%20Statutes%20%7C%20FindLaw","Ineligible to possess firearms","1","(1)-(4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Any felony","Mandatory/Automatic","Indefinite"
"KRS § 510.320","https://codes.findlaw.com/LCsearch.html#?cludoquery=510.320&cludoCategory=Codes&cludopage=1&cludorefpt=Kentucky%20Revised%20Statutes%20%7C%20FindLaw","Notify victim of results of human immunodeficiency virus test","1","(1)-(7)","","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Indefinite"
"KRS § 440.180","https://codes.findlaw.com/LCsearch.html#?cludoquery=440.180&cludoCategory=Codes&cludopage=1&cludorefpt=Kentucky%20Revised%20Statutes%20%7C%20FindLaw","Impose extradition to another state","1","All","See also:
KRS § 440.370","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","","Any felony|Any misdemeanor","Discretionary","Indefinite"
