Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"19-A M.R.S. § 2351","http://legislature.maine.gov/legis/statutes/19-A/title19-Asec2351.html","Impose civil penalty (violation of child support subrogation order)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Child Support offenses","Discretionary","Indefinite"
"17-A M.R.S. § 901","http://legislature.maine.gov/legis/statutes/17-A/title17-Asec901.html","Forfeit property/equipment used in connection with deceptive business practices","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"10 M.R.S. § 1310","http://legislature.maine.gov/legis/statutes/10/title10sec1310.html","Notify consumer reporting agency of overdue child support","1","(4)","Additional offense details:
17-A M.R.S. § 552","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Child Support offenses","Mandatory/Automatic","Indefinite"
"17-A M.R.S. § 960","http://legislature.maine.gov/legis/statutes/17-A/title17-Asec960.html","Forfeit property related to gambling offenses","1","(1)","Additional offense details:
17-A M.R.S. § 959
Other triggering offenses:
Offenses related to gambling","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Mandatory/Automatic","Indefinite"
"29-A M.R.S. § 756","http://legislature.maine.gov/legis/statutes/29-A/title29-Asec756.html","Impeach criminal defendant with conviction record","1","All","Additional offense details:
29-A M.R.S. § 751","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"19-A M.R.S. § 2359","http://legislature.maine.gov/legis/statutes/19-A/title19-Asec2359.html","Impose order to withhold property/wages (child support offenses)","1","All","Additional offense details:
17-A M.R.S. § 552","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Child Support offenses","Discretionary","Indefinite"
"19-A M.R.S. § 2156","http://legislature.maine.gov/legis/statutes/19-A/title19-Asec2156.html","Forfeit property to satisfy child support arrearages","1","All","Additional offense details:
17-A M.R.S. § 552","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Child Support offenses","Discretionary","Indefinite"
"19-A M.R.S. § 2153","http://legislature.maine.gov/legis/statutes/19-A/title19-Asec2153.html","Publish name of delinquent child support obligor in state newspapers","1","(1)","Additional offense details:
17-A M.R.S. § 552","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Child Support offenses","Discretionary","Indefinite"
"22 M.R.S. § 2648","http://legislature.maine.gov/legis/statutes/22/title22sec2648.html","Impose civil penalty for interfering with intake of public water supply","1","All","Additional offense details:
30-A M.R.S. § 4452(3)
22 M.R.S. § 2648

Other triggering offenses:
Offenses related to the protection of intake of public water supply
","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Mandatory/Automatic","Indefinite"
"22 M.R.S. § 2642","http://legislature.maine.gov/legis/statutes/22/title22sec2642.html","Impose civil penalty for violation of municipal public water use regulations","1","All","Additional offense details:
30-A M.R.S. § 4452(3)
22 M.R.S. § 2642 

Other triggering offenses:
Offenses related to municipal public water use
","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Mandatory/Automatic","Indefinite"
"12 M.R.S. § 6402-D","http://legislature.maine.gov/legis/statutes/12/title12sec6402-D.html","Suspend/revoke lobster/crab fishing license/nonresident lobster/crab landing permit (conviction of fishing over trap limit)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Varies"
"CMR 10-144-208","https://www.maine.gov/sos/cec/rules/10/chaps10.htm","Ineligible for employment by youth camp","1","(6.A.3), (6.A.3.a), (6.A.3.b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Child care providers & youth programs","Sex offenses","Mandatory/Automatic","Indefinite"
"24-A M.R.S. § 222","http://legislature.maine.gov/legis/statutes/24-A/title24-Asec222.html","Deny/suspend/revoke license/certificate of authority (insurance)","1","(14)","Additional offense details:
 24-A M.R.S. § 222
Other triggering offenses:
Offenses related to the insurance holding company system
Offenses related to unfair method of business practices as agent/promoter
","See Me. Rev. Stat. Ann. tit. 5, § 5301 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","Other","Discretionary","Varies"
"22 M.R.S. § 3183","http://legislature.maine.gov/legis/statutes/22/title22sec3183.html","Cancel aid to needy persons income supplementation","1","All","Additional offense details:
22 M.R.S. § 3172-3195 

Other triggering offenses:
Offenses related to aiding needy persons
","","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Other","Discretionary","Indefinite"
"19-A M.R.S. § 2360-A","http://legislature.maine.gov/legis/statutes/19-A/title19-Asec2360-A.html","Notify workers' compensation board of child support arrearages","1","All","Additional offense details:
17-A M.R.S. § 552","","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits|Registration, publication & notification","","Child Support offenses","Mandatory/Automatic","Indefinite"
"19-A M.R.S. § 2357","http://legislature.maine.gov/legis/statutes/19-A/title19-Asec2357.html","Impose lien on personal/real property (child support offenses)","1","All","Additional offense details:
17-A M.R.S. § 552

See also:
19-A M.R.S. § 2301 (2)
19-A M.R.S. § 2358 
19-A M.R.S. § 2363","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Real estate & property","Child Support offenses","Discretionary","Conditional"
"17-A M.R.S. § 954","http://legislature.maine.gov/legis/statutes/17-A/title17-Asec954.html","Forfeit income from unlawful gambling","1","(1)","Other triggering offenses:
Offenses related to gambling","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Gaming, lottery & racing","Other","Mandatory/Automatic","Indefinite"
"15 M.R.S. § 2167","http://legislature.maine.gov/legis/statutes/15/title15sec2167.html","Expunge record of pardoned conviction (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","Varies"
"14 M.R.S. § 6011","http://legislature.maine.gov/legis/statutes/14/title14sec6011.html","Forfeit possession of rental house","1","All","Other triggering offenses:
Offenses related to keeping property as house of ill fame
","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Real estate & property","Other","Discretionary","Indefinite"
"12 M.R.S. § 6404-K","http://legislature.maine.gov/legis/statutes/12/title12sec6404-K.html","Suspend/revoke elver dealer's license","1","All","Additional offense details:
12 M.R.S. § 6864

Background check:
12 M.R.S. § 6209","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Varies"
"12 M.R.S. § 6404-I","http://legislature.maine.gov/legis/statutes/12/title12sec6404-I.html","Suspend/revoke elver fishing license","1","All","Additional offense details:
12 M.R.S. § 6505-B

Background check:
12 M.R.S. § 6209","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Varies"
"12 M.R.S. § 6404-C","http://legislature.maine.gov/legis/statutes/12/title12sec6404-C.html","Suspend sea urchin fishing license (harvesting sea urchins in a restricted zone)","1","All","Additional offense details:
12 M.R.S. § 6749-P","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Time-limited"
"12 M.R.S. § 6404-A","http://legislature.maine.gov/legis/statutes/12/title12sec6404-A.html","Suspend/revoke elver fishing license","1","All","Additional offense details:
12 M.R.S. § 6575-D 

Background check:
12 M.R.S. § 6209","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Varies"
"12 M.R.S. § 6402-B","http://legislature.maine.gov/legis/statutes/12/title12sec6402-B.html","Suspend/revoke lobster/crab fishing license/nonresident lobster/crab landing permit","1","(1), (2)","Additional offense details:
12 M.R.S. § 6401 (2)
12 M.R.S. § 6431 (1), (7)
12 M.R.S. § 6436 (1), (5), (6)
12 M.R.S. § 6438-A
12 M.R.S. § 6952-A (1), (4)

Background check:
12 M.R.S. § 6209","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Varies"
"CMR 29-250-001","https://www.maine.gov/sos/cec/rules/29/chaps29.htm","Suspend motor vehicle license","1","Sec. 3-8","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Time-limited"
"CMR 06-096-411","https://www.maine.gov/sos/cec/rules/06/chaps06.htm","Deny non-hazardous waste transporter license (conviction of licensee/officer/manager/shareholder)","1","Sec. 3 (A)(4)(a)
Sec. 4 (C)(3)","Other triggering offenses:
Offenses related to waste
","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Hazardous materials, pesticides, chemicals & waste","Other","Discretionary","Time-limited"
"8 M.R.S. § 300-B","http://legislature.maine.gov/legis/statutes/8/title8sec300-B.html","Withhold pari-mutuel winnings to pay child support debt","1","All","Additional offense details:
17-A M.R.S. § 552","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Gaming, lottery & racing","Child Support offenses","Mandatory/Automatic","Indefinite"
"5 M.R.S. § 5301","http://legislature.maine.gov/legis/statutes/5/title5sec5301.html","Limit effect of criminal record on eligibility for occupational license/registration/permit (relief)","0","All","See also:
5 M.R.S. § 5302
5 M.R.S. § 5303","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Limitations on imposition of collateral consequences","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"39-A M.R.S. § 153-A","http://legislature.maine.gov/legis/statutes/39-A/title39-Asec153-A.html","Deny participation in worker's compensation advocacy program","1","(1)-(3)
(6)(A)
(6)(B)(6)","","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation|Business licensure & participation","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"32 M.R.S. § 8114","http://legislature.maine.gov/legis/statutes/32/title32sec8114.html","Ineligible for employment in the private investigation business","1","(2)(B)(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Private security, investigation & locksmiths","Any felony","Mandatory/Automatic","Indefinite"
"32 M.R.S. § 14710","http://legislature.maine.gov/legis/statutes/32/title32sec14710.html","Revoke waiver of security deposit for transient seller of consumer merchandise (conviction of applicant/employees)","1","(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Sales & service (general)","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"30-A M.R.S. § 3781","http://legislature.maine.gov/legis/statutes/30-A/title30-Asec3781.html","Deny/suspend/revoke inventory license","1","All","Additional offense details:
30-A M.R.S. § 3784

Other triggering offenses:
Offenses related to closing-out sale
","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Sales & service (general)","Other","Mandatory/Automatic","Indefinite"
"30-A M.R.S. § 3252","http://legislature.maine.gov/legis/statutes/30-A/title30-Asec3252.html","Impose civil liability (for enforcement of preservation of trees along public ways/water by conservation commissioner/taxpayer)","1","All","Other triggering offenses:
Offenses related to protecting trees along public ways and water
","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Conservation, environmental sciences & water","Other","Mandatory/Automatic","Indefinite"
"29-A M.R.S. § 2471","http://legislature.maine.gov/legis/statutes/29-A/title29-Asec2471.html","Suspend adult provisional motor vehicle license","1","All","Relief:
29-A M.R.S. § 2483","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"29-A M.R.S. § 2063-A","http://legislature.maine.gov/legis/statutes/29-A/title29-Asec2063-A.html","Impound electric personal mobility assistive device (driving)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Time-limited"
"12 M.R.S. § 6402-E","http://legislature.maine.gov/legis/statutes/12/title12sec6402-E.html","Suspend/revoke lobster/crab fishing license/nonresident lobster/crab landing permit (conviction of fishing sunken trap/trawl)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Varies"
"8 M.R.S. § 1103","http://legislature.maine.gov/legis/statutes/8/title8sec1103.html","Background check for license to conduct fantasy contests","1","(3)(C)
(7)(D)
(8)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Entertainment, athletics, news & broadcasting","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Me. R. Crim. P. 38","http://www.courts.maine.gov/rules_adminorders/rules/text/mru_crim_p_plus_2017-5-3.pdf","Stay execution of sentence pending appeal (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Me. R. Crim. P. 26","http://www.courts.maine.gov/rules_adminorders/rules/text/mru_crim_p_plus_2017-5-3.pdf","Admit criminal history into evidence in trial for similar crime","1","(e)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","","Any felony|Any misdemeanor","Discretionary","Indefinite"
"CMR 94-348-008","https://www.maine.gov/sos/cec/rules/90/chaps90-.htm","Ineligible for anti-discrimination protection in housing (for controlled substance conviction)","1","Sec. 8.01 (A)
Sec. 8.02 (A)(4)
Sec. 8.06 (A)(3)(e)","","","2023 legislative session and all 2023 regulatory rulemaking","","Housing & residency","Housing benefits & programs","Controlled substances offenses","Discretionary","Indefinite"
"CMR 29-250-505","https://www.maine.gov/sos/cec/rules/29/chaps29.htm","Prohibit removal from the voting list (relief)","0","Sec. 2 (2)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Civil rights & voting","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"CMR 09-137-015","https://www.maine.gov/sos/cec/rules/09/chaps09.htm","Deny/suspend/revoke wildlife license (interstate compact)","1","Sec. 15.01 (4)
Sec. 15.02 (B)(4), (5)
Sec. 15.03, 15.04
Sec. 15.13 (A), (D)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Discretionary","Indefinite"
"CMR 09-137-014","https://www.maine.gov/sos/cec/rules/09/chaps09.htm","Suspend whitewater outfitter's allocation","1","14.07 (E)(3)-(5)","0","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Entertainment, athletics, news & broadcasting","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"19-A M.R.S. § 2360","http://legislature.maine.gov/legis/statutes/19-A/title19-Asec2360.html","Withhold child support arrearages from lottery winnings","1","All","Additional offense details:
17-A M.R.S. § 552","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Gaming, lottery & racing","Child Support offenses","Mandatory/Automatic","Indefinite"
"17-A M.R.S. § 1057","http://legislature.maine.gov/legis/statutes/17-A/title17-Asec1057.html","Ineligible for permit to carry concealed firearms","1","(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Recreational license offenses","Mandatory/Automatic","Time-limited"
"16 M.R.S. § 705","http://legislature.maine.gov/legis/statutes/16/title16sec705.html","Limit dissemination of confidential criminal history record information (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"12 M.R.S. § 9321","http://legislature.maine.gov/legis/statutes/12/title12sec9321.html","Deny burning permit","1","(1)(I)
(6)","Additional offense details:
12 M.R.S. § 9325 (1)(E)
12 M.R.S. § 9324 (1)-(5), (7-A)

Other triggering offenses:
Offenses related to illegal burning","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Conservation, environmental sciences & water","Other","Discretionary","Indefinite"
"12 M.R.S. § 6404-H","http://legislature.maine.gov/legis/statutes/12/title12sec6404-H.html","Suspend/revoke elver lotteries eligibility","1","All","Additional offense details:
12 M.R.S. § 6505-A (1), (2),  (8-A)

Background check:
12 M.R.S. § 6209","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Varies"
"12 M.R.S. § 6404-B","http://legislature.maine.gov/legis/statutes/12/title12sec6404-B.html","Suspend sea urchin fishing license (harvesting sea urchins out of season)","1","All","Additional offense details:
12 M.R.S. § 6749

Background check:
12 M.R.S. § 6209","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Time-limited"
"12 M.R.S. § 11160","http://legislature.maine.gov/legis/statutes/12/title12sec11160.html","Ineligible for permit to hunt coyotes at night","1","(2)","Additional offense details:
12 M.R.S. § 11206","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Time-limited"
"CMR 01-669-030","https://www.maine.gov/sos/cec/rules/01/chaps01.htm","Ineligible to participate in timber harvesting activities","1","Summary, Sec. 1, Sec. 3","Additional offense details:
12 M.R.S. §§ 8866 to 8870
38 M.R.S. §§ 480 A to 480-Z
38 M.R.S. §§ 435 to 449
12 M.R.S. §§ 681 to 689

Other triggering offenses:
Offenses related to the practice of timber harvesting
","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Agriculture, livestock & food","Other","Mandatory/Automatic","Time-limited"
"8 M.R.S. § 530","http://legislature.maine.gov/legis/statutes/8/title8sec530.html","Deny/suspend/revoke mixed martial arts/boxing competition participation certification","1","(4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Entertainment, athletics, news & broadcasting","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"7 M.R.S. § 101","http://legislature.maine.gov/legis/statutes/7/title7sec101.html","Deny/revoke pulling event permit (agriculture/livestock)","1","(3)","Additional offense details:
17 M.R.S. § 1031
Other triggering offenses:
Offenses related to cruelty to animals
","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Agriculture, livestock & food","Other","Mandatory/Automatic","Time-limited"
"4 M.R.S. § 807-B","http://legislature.maine.gov/legis/statutes/4/title4sec807-B.html","Impose civil liability for violations of Immigration and Nationality Law Assistance Act","1","(1), (6), (7)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights|Civil fines, liability, forfeiture & property rights","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"32 M.R.S. § 6155","http://legislature.maine.gov/legis/statutes/32/title32sec6155.html","Deny/suspend/revoke money transmitter license","1","All","Other triggering offenses:
Offenses related to establishing a cash-dispensing machine without proper notice
","See Me. Rev. Stat. Ann. tit. 5, § 5301 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Money services & check cashing","Other","Discretionary","Indefinite"
"32 M.R.S. § 14709","http://legislature.maine.gov/legis/statutes/32/title32sec14709.html","Ineligible for waiver of security deposit requirement for transient seller of consumer merchandise (conviction of applicant/employees)","1","(2)","Additional offense details:
32 M.R.S. § 14708(3)
Background check:
32 M.R.S. § 14706(3)","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Sales & service (general)","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"29-A M.R.S. § 2508","http://legislature.maine.gov/legis/statutes/29-A/title29-Asec2508.html","Ignition interlock device (driving/DUI/relief)","0","All","See also:
29-A M.R.S. § 2411
29-A M.R.S. § 2451
29-A M.R.S. § 2453","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Driving & noncommercial motor vehicles","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"29-A M.R.S. § 2435","http://legislature.maine.gov/legis/statutes/29-A/title29-Asec2435.html","Stay motor vehicle license suspension pending appeal (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Driving & noncommercial motor vehicles","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"29-A M.R.S. § 1256","http://legislature.maine.gov/legis/statutes/29-A/title29-Asec1256.html","Suspend special restricted license (driving)","1","(3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"28-A M.R.S. § 703","http://legislature.maine.gov/legis/statutes/28-A/title28-Asec703.html","Ineligible to serve as a manager of a liquor store","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Alcohol permits, licenses & sales","Controlled substances offenses","Mandatory/Automatic","Time-limited"
