Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Md. ENVIRONMENT Code Ann. § 6-1204","https://codes.findlaw.com/md/environment/md-code-envir-sect- 6-1204.html","Assess civil penalty (criminal violations of bromide flame retardant laws)","1","All","Additional offense details:
Md. ENVIRONMENT Code Ann. § 6-1201 et seq.

Other triggering offenses:
Offenses related to bromide flame retardants
","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Discretionary","Indefinite"
"Md. ENVIRONMENT Code Ann. § 4-418","https://codes.findlaw.com/md/environment/md-code-envir-sect- 4-418.html","Assess civil penalty (criminal violations of oil discharge laws)","1","All","Additional offense details:
Md. ENVIRONMENT Code Ann. § 4-410
Md. ENVIRONMENT Code Ann. § 4-417(b)
Other triggering offenses:
Offenses related to oil discharges","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Discretionary","Indefinite"
"Md. ENVIRONMENT Code Ann. § 17-403","https://codes.findlaw.com/md/environment/md-code-envir-sect- 17-403.html","Assess civil penalty (criminal violations of marine contractor laws)","1","All","Additional offense details:
Md. ENVIRONMENT Code Ann. § 17-401 et seq.
Md. ENVIRONMENT Code Ann. § 17-401
Md. ENVIRONMENT Code Ann. § 17-402

Other triggering offenses:
Offenses related to conducting business as a marine contractor","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Discretionary","Indefinite"
"Md. INSURANCE Code Ann. § 26-502","https://codes.findlaw.com/md/insurance/md-code-ins-sect- 26-502.html","Impose civil penalty (motor club violations)","1","All","Additional offense details:
Md. INSURANCE Code Ann. § 26-101 et seq.

Other triggering offenses:
Offenses related to motor clubs
","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Discretionary","Indefinite"
"Md. HEALTH-GENERAL Code Ann. § 19-3B-09","https://codes.findlaw.com/md/health-general/md-code-health-gen-sect-19-3b-09.html","Assess civil penalty (violations of regulations for freestanding ambulatory care facilities)","1","All","Other triggering offenses:
Offenses related to operating a freestanding ambulatory care facility
","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Discretionary","Indefinite"
"Md. ENVIRONMENT Code Ann. § 9-413","https://codes.findlaw.com/md/environment/md-code-envir-sect- 9-413.html","Assess civil penalty (criminal violations of drinking water laws)","1","All","Additional offense details:
Md. ENVIRONMENT Code Ann. § 9-401 et seq.
Md. ENVIRONMENT Code Ann. § 9-412(a)(4), (5)

Other triggering offenses:
Offenses related to drinking water
","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Discretionary","Indefinite"
"Md. ENVIRONMENT Code Ann. § 6-422","https://codes.findlaw.com/md/environment/md-code-envir-sect- 6-422.html","Assess civil penalty (criminal violations of asbestos laws)","1","All","Additional offense details:
Md. ENVIRONMENT Code Ann. § 6-401 et seq.

Other triggering offenses:
Offenses related to asbestos
","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Discretionary","Indefinite"
"Md. ENVIRONMENT Code Ann. § 6-1307","https://codes.findlaw.com/md/environment/md-code-envir-sect- 6-1307.html","Assess civil penalty (criminal violations of lead laws regarding children's products)","1","All","Additional offense details:
Md. ENVIRONMENT Code Ann. § 6-1301 et seq.
Md. ENVIRONMENT Code Ann. § 6-1307(e)

See also:
Md. ENVIRONMENT Code Ann. § 6-1308

Other triggering offenses:
Offenses related to lead in children's products
","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Discretionary","Indefinite"
"Md. ENVIRONMENT Code Ann. § 4-215","https://codes.findlaw.com/md/environment/md-code-envir-sect- 4-215.html","Assess civil penalty (criminal violations of stormwater management laws)","1","(a)(1)
(e)","Additional offense details:
Md. ENVIRONMENT Code Ann. § 4-201 et seq.

Relief:
Md. ENVIRONMENT Code Ann. § 4-214(a)

Other triggering offenses:
Offenses related to stormwater management","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Discretionary","Indefinite"
"Md. ENVIRONMENT Code Ann. § 4-116","https://codes.findlaw.com/md/environment/md-code-envir-sect- 4-116.html","Assess civil penalty (criminal violations of sediment control laws)","1","(a)(1)
(e)","Additional offense details:
Md. ENVIRONMENT Code Ann. § 4-101 et seq.

Relief:
Md. ENVIRONMENT Code Ann. § 4-115(a)

Other triggering offenses:
Offenses related to sediment control
","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Discretionary","Indefinite"
