Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"ALM GL ch. 90F, § 13","https://codes.findlaw.com/ma/part-i-administration-of-the-government-ch-1-182/ma-gen-laws-ch-90f-sect-13.html","Publish motor vehicle criminal history to out-of-state driver's license administrator","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Registration, publication & notification","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"ALM GL ch. 90F, § 12","https://codes.findlaw.com/ma/part-i-administration-of-the-government-ch-1-182/ma-gen-laws-ch-90f-sect-12.html","Notify licensing state of nonresident driver's conviction (persons holding commercial driver license/violation in a commercial vehicle)","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Registration, publication & notification","Transportation & commercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"ALM GL ch. 90B, § 26C","https://codes.findlaw.com/ma/part-i-administration-of-the-government-ch-1-182/ma-gen-laws-ch-90b-sect-26c.html","Forfeit snow/recreation vehicle","1","(a)
(b)","Additional offense details:
ALM GL ch. 90B, § 26B (c ),(d),(e )","Links may point to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Recreational vehicles","Motor vehicle offenses","Discretionary","Indefinite"
"ALM GL ch. 90, § 3","https://codes.findlaw.com/ma/part-i-administration-of-the-government-ch-1-182/ma-gen-laws-ch-90-sect-3.html","Suspend right to operate vehicle in Massachusetts (unregistered non-resident vehicle)","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Time-limited"
"ALM GL ch. 90, § 24D","https://codes.findlaw.com/ma/part-i-administration-of-the-government-ch-1-182/ma-gen-laws-ch-90-sect-24d.html","Reinstate suspended license for hardship (first DUI offense)","0","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Driving & noncommercial motor vehicles","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"ALM GL ch. 90, § 14","https://codes.findlaw.com/ma/part-i-administration-of-the-government-ch-1-182/ma-gen-laws-ch-90-sect-14.html","Revoke motor vehicle license (failure to stop for school bus)","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"ALM GL ch. 6, § 172M","https://codes.findlaw.com/ma/part-i-administration-of-the-government-ch-1-182/ma-gen-laws-ch-6-sect-172m.html","Background check for employment with firearm merchants/gunsmiths","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Firearms, weapons & explosives","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"ALM GL ch. 6, § 172G","https://codes.findlaw.com/ma/part-i-administration-of-the-government-ch-1-182/ma-gen-laws-ch-6-sect-172g.html","Background check for employment/volunteering at a children's camp","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Child care providers & youth programs","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"ALM GL ch. 6, § 172B","https://codes.findlaw.com/ma/part-i-administration-of-the-government-ch-1-182/ma-gen-laws-ch-6-sect-172b.html","Background check to foster/adopt children","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"ALM GL ch. 269, § 10J","https://codes.findlaw.com/ma/part-iv-crimes-punishments-and-proceedings-in-criminal-cases-ch-263-280/ma-gen-laws-ch-269-sect-10j.html","Forfeit motor vehicle owned or operated by convicted individual","1","All","0","Links may point to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Driving & noncommercial motor vehicles","Other","Mandatory/Automatic","Indefinite"
"ALM GL ch. 123B, § 12","https://codes.findlaw.com/ma/part-i-administration-of-the-government-ch-1-182/ma-gen-laws-ch-123b-sect-12.html","Remove from fiduciary duties as representative payee of resident at facility for care of persons with an intellectual disability (discretionary)","1","(d)
(e)
(f)
(g)
(h)","Additional offense details:
ALM GL ch. 266, § 57","Links may point to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Judicial Rights","Trusts, estates & guardianship","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
