Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"MICH. ADMIN. CODE R 791.4410","https://dtmb.state.mi.us/ORRDocs/AdminCode/1556_2015-052CO_AdminCode.pdf","Ineligible for inmate placement in community corrections center","1","(Rule 410)(1)(d)","Additional offense details:
MCL 28.721","","2022 legislative session and all 2022 regulatory rulemaking","","Political & civic participation","Law enforcement, corrections & public safety","Sex offenses","Mandatory/Automatic","Indefinite"
"MCLS § 487.2169","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-487-2169","Ineligible to serve as employee/agent/officer of deferred presentment service transactions licensee","1","(8)
(11)
(12)","","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Banking, lending, securities & finance","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"MICH. ADMIN. CODE R 432.1337","http://dmbinternet.state.mi.us/DMB/DTMBORR/AdminCode.aspx?AdminCode=Number&Admin_Num=41800001&RngHigh=48702123","Background check for casino occupational license","1","(2)
(3)","See also:
MICH. ADMIN. CODE R 432.1338","See Mich. Comp. Laws § 338.42 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Gaming, lottery & racing","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"MICH. ADMIN. CODE R 400.8110","https://ars.apps.lara.state.mi.us/AdminCode/DownloadAdminCodeFile?FileName=R%20400.8101%20to%20400.8840.pdf&ReturnHTML=True","Background check for a child care center license (conviction of applicant/partner/designee)","1","(Rule 110)
(1)(b)","See also:
MCLS § 722.115c
MCLS § 722.115n
MCLS § 722.115q","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Child care providers & youth programs","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"MICH. ADMIN. CODE R 400.3130","https://ars.apps.lara.state.mi.us/AdminCode/DownloadAdminCodeFile?FileName=R%20400.3101%20%20to%20400.3131.pdf&ReturnHTML=True","Reduce Family Independence Program benefits","1","(1)
(2)(b)
(7)(a),(b)","","","2022 legislative session and all 2022 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"MCLS § 445.408","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-445-408","Revoke second hand/junk dealer license","1","(Sec. 8)
(1)
(2)
(3) 
(4)","Other triggering offenses:
Violations related to second hand/junk dealers
(See MCLS § 445.401, et seq.)","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Motor vehicle sales & service","Other","Mandatory/Automatic","Indefinite"
"MCLS § 445.2075","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-445-2075","Ineligible to sell plastic bulk merchandise containers to dealer","1","(2)(a),(b)","","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Motor vehicle sales & service","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"MCLS § 445.1929","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-445-1929","Terminate recreational vehicle dealer agreement (at manufacturer's discretion)","1","(Sec. 9)
(1)
(2)(a)-(g)
(4)(a),(b),(c)
(6)(a)","","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Motor vehicle sales & service","Any felony","Discretionary","Indefinite"
"MCLS § 436.1906","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-436-1906","Ineligible for "responsible vendor" designation (alcohol vendors)","1","(1)(c)
(4)","","","2022 legislative session and all 2022 regulatory rulemaking","","Government contracting & program participation","Alcohol permits, licenses & sales","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"MCLS § 436.1403","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-436-1403","Terminate beer wholesaler contract (conviction of wholesaler/owner)","1","(11)(c)","","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","Any felony","Discretionary","Indefinite"
"MCLS § 432.118","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-432-118","Ineligible to serve as officer of bingo licensee","1","2","Additional offense details:
See also MICH. ADMIN. CODE R 432.21110
Other triggering offenses:
Violations related to gambling
See MCLS § 432.151","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Gaming, lottery & racing","Other","Mandatory/Automatic","Time-limited"
"MCLS § 431.309","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-431-309","Suspend/revoke horse racing track license","1","(5)","Additional offense details:
MCLS § 431.329 (Sec. 29)
Other triggering offenses:
Violation of Horse Racing Law of 1995
(See MCLS § 431.301, et seq.)","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","Other","Discretionary","Indefinite"
"MCR 9.120","http://courts.mi.gov/Courts/MichiganSupremeCourt/rules/Documents/HTML/CRs/Ch 9/Court Rules Book Ch 9-Responsive HTML5/index.html","Suspend/disbar attorney","2","(B)(1)-(4)","Conviction self-disclosure requirement:
MCR 9.120(A)(1)

Relief:
MCR 9.123

See also:
MCR 9.115 (J)
MCR 9.106
MCR 9.104","See Mich. Comp. Laws § 338.42 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Lawyers, judges & advocates","Any felony","Varies","Indefinite"
"MCLS § 400.610c","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-400-610c","Discharge from employment  (exemption from whistleblower protection for employee violation of Medicaid False Claims Act)","1","(Sec. 10c)
(1)","","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Public employment","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"MCLS § 769.4a","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-769-4a","Deferred adjudication/discharge for certain domestic violence offenders (relief)","0","(Sec. 4a)
(1)
(2)
(3)
(4)(a),(b),(c)
(5)","","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Deferred adjudication & diversion","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"MCLS § 762.11","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-762-11","Youthful trainee status (discharge/dismiss conviction of person between 17 and 20 years old) (relief)","0","(Sec. 11)
(1)
(2)
(3)(a)-(e)
(4)(a),(b),(c)
(7)(a),(b)","See also:
MCLS § 762.14 (Sec. 14)","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"MCLS § 750.508","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-750-508","Ineligible to possess radio receiving emergency frequencies","1","(Sec. 508)
(1)","","","2022 legislative session and all 2022 regulatory rulemaking","","Political & civic participation","Sensitive information access","Any felony","Mandatory/Automatic","Time-limited"
"MCLS § 750.410","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-750-410","Void contract for personal injury claim representation","1","(Sec. 410)
(1)","Other triggering offenses:
Violations related to unlawful solicitation","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Civil litigation & administrative proceedings","Other","Mandatory/Automatic","Indefinite"
"MCLS § 722.119","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-722-119","Ineligible to serve as employee/volunteer at child care organization","2","(Sec. 9)
(2)(a),(b)","Background check:
MICH. ADMIN. CODE R 400.4113

","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Child care providers & youth programs","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Varies"
"MCLS § 338.42","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-338-42","Limit use of conviction in "good moral character" licensing board determination (relief)","0","(Sec. 2)
(1)-(5)","See also:
MCLS § 338.43 (Sec. 3)","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Limitations on imposition of collateral consequences","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"MCLS § 324.80196","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-324-80196","Extend period of ineligibility to operate a vessel on state waters (conviction for unlawful operation of vessel)","1","(Sec. 80196)
(2)","","","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","Maritime & sea vessels","Recreational license offenses","Mandatory/Automatic","Time-limited"
"MCLS § 324.80191","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-324-80191","Ineligible to operate a vessel on state waters (6 months to 2 years for operating vessel under the influence)","1","(Sec. 80191)
(1)(a)-(d)
(2)","Relief:
MCLS § 324.80195 (Sec. 80195) (1),(2)","","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","Maritime & sea vessels","Recreational license offenses","Mandatory/Automatic","Time-limited"
"MCLS § 324.41712","http://www.legislature.mi.gov/mileg.aspx?page=getObject&objectName=mcl-324-41712","Suspend/revoke license to operate game bird hunting preserve","1","(Sec. 41712)
(1)
(2)","Other triggering offenses:
Violations related to game bird hunting","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Wildlife, fish & game","Recreational license offenses","Discretionary","Indefinite"
