Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Miss. Code Ann. § 99-39-5","https://codes.findlaw.com/ms/title-99-criminal-procedure/ms-code-sect-99-39-5.html","Set aside conviction (relief)","0","(1)(a)-(j)
(2)(a),(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Miss. Code Ann. § 97-43-9","https://codes.findlaw.com/ms/title-97-crimes/ms-code-sect-97-43-9.html","Impose civil liability for damages caused by Racketeer Influenced and Corrupt Organization (RICO) Act violation convictions","1","(1)(a)-(e)
(5)
(6)(a),(b)
(7)
(8) 
(9)","Other triggering offenses:
Violations related to racketeering 
(See 18 USCS § 925)","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Civil litigation & administrative proceedings","Other","Mandatory/Automatic","Time-limited"
"Miss. Code Ann. § 97-29-57","https://codes.findlaw.com/ms/title-97-crimes/ms-code-sect-97-29-57.html","Impose civil liability for damages caused by keeping/allowing stallion/jack to run at-large","1","All","Other triggering offenses:
Violations related to keeping/allowing stallion/jack to run at-large","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Agriculture, livestock & food","Other","Discretionary","Indefinite"
"Miss. Code Ann. § 83-5-85","https://codes.findlaw.com/ms/title-83-insurance/ms-code-sect-83-5-85.html","Impose additional restitution (violation of insurance laws)","1","All","Other triggering offenses:
Violations related to insurance sales/services","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Insurance sales & services","Other","Discretionary","Indefinite"
"Miss. Code Ann. § 81-5-49","https://codes.findlaw.com/ms/title-81-banks-and-financial-institutions/ms-code-sect-81-5-49.html","Ineligible to hold directorship in state bank","1","All","Other triggering offenses:
Violations related to work as a bank director","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Banking, lending, securities & finance","Other","Mandatory/Automatic","Time-limited"
"Miss. Code Ann. § 81-19-23","https://codes.findlaw.com/ms/title-81-banks-and-financial-institutions/ms-code-sect-81-19-23.html","Impose civil liability for injury to loan borrower","1","(1)(a)-(k)
(2) 
","Other triggering offenses:
Violations related to loan borrowing/brokers","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Banking, lending, securities & finance","Other","Mandatory/Automatic","Indefinite"
"Miss. Code Ann. § 81-19-17","https://codes.findlaw.com/ms/title-81-banks-and-financial-institutions/ms-code-sect-81-19-17.html","Impose civil penalty for violations of Consumer Loan Broker Act","1","(7)","Additional offense details:
Miss. Code Ann. § 81-19-23 (1),(2),(3)
Other triggering offenses:
Violations of the Consumer Loan Broker Act
(See Miss. Code Ann. §§ 81-19-1 through 81-19-35)","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Banking, lending, securities & finance","Other","Discretionary","Indefinite"
"Miss. Code Ann. § 7-9-19","https://codes.findlaw.com/ms/title-7-executive-department/ms-code-sect-7-9-19.html","Impose civil forfeiture of fees/commissions (conviction for failure to pay directly to treasurer)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Public employment","Public corruption offenses","Mandatory/Automatic","Indefinite"
"Miss. Code Ann. § 77-3-305","https://codes.findlaw.com/ms/title-77-public-utilities-and-carriers/ms-code-sect-77-3-305.html","Impose civil liability for improper collection of payment (non-itemized bill collected by public utility)","1","All","See also:
Miss. Code Ann. § 77-3-303","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Public utilities & mail","Other","Mandatory/Automatic","Indefinite"
"Miss. Code Ann. § 75-67-333","https://codes.findlaw.com/ms/title-75-regulation-of-trade-commerce-and-investments/ms-code-sect-75-67-333.html","Forfeit surety bond (violations of Mississippi Pawnshop Act)","1","(1)
(2)(a),(b)","Other triggering offenses:
Violations of the Mississippi Pawnshop Act
(See Miss. Code Ann. §§ 75-67-301 to 75-67-343)

See also:
Miss. Code Ann. § 75-67-323 (1)","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Pawnbrokers, jewelers & precious metals","Other","Mandatory/Automatic","Indefinite"
