Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Nebraska Admin. Code Title 433, Ch. 3","http://www.sos.ne.gov/rules-and-regs/regsearch/Rules/index.cgi?l=Secretary_of_State","Background check for private detective agency license (conviction of officer/managing partner)","1","001.01
'001.02B
'005.04

","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Private security, investigation & locksmiths","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Nebraska Admin. Code Title 316, Ch. 35","http://www.sos.ne.gov/rules-and-regs/regsearch/Rules/index.cgi?l=Revenue_Dept_of&t=Title-316","Background check for license to manufacture/distribute lottery equipment/supplies (conviction of applicant/owner/spouse/officer/director/agent) (self-disclosure)","1","619.03
'619.07A
'318.02F","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Nebraska Admin. Code Title 316, Ch. 35","http://www.sos.ne.gov/rules-and-regs/regsearch/Rules/index.cgi?l=Revenue_Dept_of&t=Title-316","Background check for pickle card manufacturer license (conviction of applicant/owner/spouse/director/member/agent)","1","(318)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Nebraska Admin. Code Title 210, Ch. 24","http://www.sos.ne.gov/rules-and-regs/regsearch/Rules/index.cgi?l=Insurance_Dept_of&t=Title-210","Background check to acquire control/merge with domestic insurer (conviction of applicant/director/executive officer/owner) (self-disclosure)","1","22 (Item 1 - Item 3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Insurance sales & services","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Nebraska Admin. Code Title 92, Ch. 42","http://www.sos.ne.gov/rules-and-regs/regsearch/Rules/index.cgi?l=Education_Dept_of&t=Title-92","Background check for private post-secondary career school agent permit/certificate of approval to recruit","1","(001), (005)","","See LB 299 (2018) for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Education & schools","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Nebraska Admin. Code Title 92, Ch. 41","http://www.sos.ne.gov/rules-and-regs/regsearch/Rules/index.cgi?l=Education_Dept_of&t=Title-92","Ineligible to serve as owner/resident director/administrative staff  of private postsecondary career school","1","(001), (004.03-004.08), (005.02)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Education & schools","Any felony","Mandatory/Automatic","Indefinite"
"Nebraska Admin. Code Title 23, Ch. 18","http://www.sos.ne.gov/rules-and-regs/regsearch/Rules/index.cgi?l=Agriculture_Dept_of&t=Title-23_Bureau_of_Animal_Industry","Deny/suspend/revoke boarding kennel/pet shop/commercial breeder/animal control facility license","1","(005), (014)","Additional offense details:
R.R.S. Neb. § 54-634
R.R.S. Neb. § 54-625 to 54-643

Other triggering offenses:
Offenses related to disposition/treatment of dogs/cats
Offenses related to commercial dog and cat operator inspections","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Domestic animals","Other","Discretionary","Indefinite"
"R.R.S. Neb. § 54-2307","https://nebraskalegislature.gov/laws/statutes.php?statute=54-2307","Deny domesticated cervine animal facility permit","1","All","Additional offense details:
R.R.S. Neb. § 54-2323

Other triggering offenses:
Offenses related to domesticated corvine animals","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Agriculture, livestock & food","Other","Discretionary","Indefinite"
"R.R.S. Neb. § 84-316","https://nebraskalegislature.gov/laws/statutes.php?statute=84-316","Discharge from employment with state/political subdivision","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment","Public corruption offenses","Discretionary","Indefinite"
"R.R.S. Neb. § 83-1,130","https://nebraskalegislature.gov/laws/statutes.php?statute=83-1,130","Restore right to receive/possess/transport firearms in commerce (relief)","0","(2)","0","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Firearms, weapons & explosives","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
