Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Nev. Rev. Stat. Ann. § 179C.100","https://www.leg.state.nv.us/NRS/NRS-179C.html#NRS179CSec100","Register with local law enforcement (multiple felony convictions or a category A felony conviction)","1","All","Additional offense details:
Nev. Rev. Stat. Ann. § 179C.010

Obligation to notify of convictions:
Nev. Rev. Stat. Ann. § 179C.210","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Any felony","Mandatory/Automatic","Indefinite"
"Nev. Rev. Stat. Ann. § 641B.202","https://www.leg.state.nv.us/NRS/NRS-641B.html#NRS641BSec202","Background check for social worker license","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Social work & child welfare","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Nev. Rev. Stat. Ann. § 41.270","https://www.leg.state.nv.us/NRS/NRS-041.html#NRS041Sec270","Deny name change","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Civil litigation & administrative proceedings","Any felony","Discretionary","Indefinite"
"Nev. Rev. Stat. Ann. § 40.254","https://www.leg.state.nv.us/NRS/NRS-040.html#NRS040Sec254","Liable for landlord's attorney's fees in eviction action based on drug conviction","1","(3)","Additional offense details:
Nev. Rev. Stat. Ann. §§ 453.011 to 453.552
","","2023 legislative session and all 2023 regulatory rulemaking","","Housing & residency","Real estate & property","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"Nev. Rev. Stat. Ann. § 357.210","https://www.leg.state.nv.us/NRS/NRS-357.html#NRS357Sec210","Ineligible to recover civil damages arising from false claims to state/local government","1","All","Additional offense details:
Nev. Rev. Stat. Ann. § 357.040
","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Civil litigation & administrative proceedings","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Nev. Rev. Stat. Ann. § 506.010","https://www.leg.state.nv.us/NRS/NRS-506.html#NRS506Sec010","Reciprocal revocation/suspension of game/fish license (Wildlife Violator Compact)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Indefinite"
"Nev. Rev. Stat. Ann. § 501.3865","https://www.leg.state.nv.us/NRS/NRS-501.html#NRS501Sec3865","Suspend fish/game license (failure to appear)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Conditional"
"Nev. Rev. Stat. Ann. § 488.320","https://www.leg.state.nv.us/NRS/NRS-488.html#NRS488Sec320","Suspend watercraft registration (failure to maintain approved marine sanitation device; discharge of sewage)","1","All","Other triggering offenses:
Offenses related to the failure to maintain approved marine sanitation device
Offenses related to the discharge of sewage","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Maritime & sea vessels","Other","Discretionary","Time-limited"
"Nev. Rev. Stat. Ann. § 463.335","https://www.leg.state.nv.us/NRS/NRS-463.html#NRS463Sec335","Background check to register as a gaming employee","1","(5), 12","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Nev. Rev. Stat. Ann. § 218A.970","","Declare contract void/removal from office (conflict of interest by legislator)","2,","(1), (3), (4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Government procurement contracts & programs","Public corruption offenses","Discretionary (waiver)","Indefinite"
"Nev. Rev. Stat. Ann. § 459.280","https://www.leg.state.nv.us/NRS/NRS-459.html#NRS459Sec280","Impose civil penalty for unauthorized removal of radioactive waste/machinery/equipment","1","All","Other triggering offenses:
Offenses related to unauthorized removal of radioactive waste/machinery/equipment
","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Hazardous materials, pesticides, chemicals & waste","Other","Discretionary","Indefinite"
"Nev. Rev. Stat. Ann. § 213.625","https://www.leg.state.nv.us/NRS/NRS-213.html#NRS213Sec625","Reentry program (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Deferred adjudication & diversion","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Nev. Rev. Stat. Ann. § 7.030","https://www.leg.state.nv.us/NRS/NRS-007.html#NRS007Sec030","Background check for license to practice law","1","(1)(c)","","","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Lawyers, judges & advocates","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Nev. Rev. Stat. Ann. § 669.290","https://www.leg.state.nv.us/NRS/NRS-669.html#NRS669Sec290","Discharge officer/director/manager/member/employee/agent of a trust company","1","All","Other triggering offenses:
Offenses related to the failure to comply with applicable law/order by Commissioner","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Trusts, estates & guardianship","Other","Discretionary","Indefinite"
"Nev. Rev. Stat. Ann. § 439.946","https://www.leg.state.nv.us/NRS/NRS-439.html#NRS439Sec946","Publish convictions on state website for background investigations","1","(1)(c)","Additional offense details:
Nev. Rev. Stat. Ann. § 439.943(1)(a)
","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Any felony|Any misdemeanor","Discretionary","Indefinite"
"Nev. Rev. Stat. Ann. § 179.259","https://www.leg.state.nv.us/NRS/NRS-179.html#NRS179Sec259","Seal record of conviction after completion of re-entry program (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Nev. Rev. Stat. Ann. § 179.255","https://www.leg.state.nv.us/NRS/NRS-179.html#NRS179Sec255","Seal records for a conviction that has been set aside (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Nev. Rev. Stat. Ann. § 119B.170","https://www.leg.state.nv.us/NRS/NRS-119B.html#NRS119BSec170","Ineligible for developer permit to sell campground memberships","1","(8)","Background check:
Nev. Rev. Stat. Ann. § 119B.130(3)","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Real estate & property","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"Nev. Rev. Stat. Ann. § 119A.210","https://www.leg.state.nv.us/NRS/NRS-119A.html#NRS119ASec210","Background check for time share sales agent license (real estate)","1","(4), (5)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Real estate & property","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Nev. Rev. Stat. Ann. § 116A.450","https://www.leg.state.nv.us/NRS/NRS-116A.html#NRS116ASec450","Suspend/revoke community manager certificate/common interest community reserve study specialist registration (child support)","1","All","Additional offense details:
Nev. Rev. Stat. Ann. § 425.540","","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Real estate & property","Child Support offenses","Mandatory/Automatic","Conditional"
"NAC 213.065","https://www.leg.state.nv.us/NAC/NAC-213.html#NAC213Sec065","Eligibility waiting periods for applying for pardon (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"NAC 119A.200","https://www.leg.state.nv.us/NAC/NAC-119A.html#NAC119ASec200","Deny permit to sell time-shares (real estate)","1","(1)(h)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Real estate & property","Crime of moral turpitude","Discretionary","Indefinite"
