Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"N.D. Cent. Code, § 12.1-23-16","https://www.legis.nd.gov/cencode/t12-1.html","Impose civil penalty (unlawful use/sale of enumerated weapons)","1","(2), (3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Weapons offenses","Discretionary","Indefinite"
"N.D. Cent. Code, § 32-03-09.2","https://www.legis.nd.gov/cencode/t32.html","Impose civil liability for actual damages to property caused by criminal mischief","1","All","See also:
N.D. Cent. Code, § 32-03-39","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"N.D. Cent. Code, § 32-07.1-01","https://www.legis.nd.gov/cencode/t32.html","Forfeit profits from felony criminal activity","1","(1)(c)-(f)
(2), (5)-(8)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Any felony","Discretionary","Time-limited"
"N.D. Admin. Code 10-12-01-02","https://www.legis.nd.gov/information/acdata/html/10-12.html","Background check for concealed weapons license","1","(8)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"N.D. Admin. Code 10-13-07-10","https://www.legis.nd.gov/information/acdata/html/10-13.html","Permit challenge to completeness/accuracy of criminal history record (relief)","0","All","See also:
N.D. Admin. Code 10-13-07-12","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"N.D. Admin. Code 10-13-10-02","https://www.legis.nd.gov/information/acdata/html/10-13.html","Omit personal identifiers in disclosure of criminal history records to public for research purposes (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"N.D. Admin. Code 37-03-02-04","https://www.legis.nd.gov/information/acdata/html/37-03.html","Suspend driver's license for course of conduct demonstrating public safety hazard","1","(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Conditional"
"N.D. Admin. Code 37-03-04-01.1","https://www.legis.nd.gov/information/acdata/html/37-03.html","Deny temporary restricted operator's license","1","(1)(d)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Indefinite"
"N.D. Admin. Code 37-10-01-07","https://www.legis.nd.gov/information/acdata/html/37-10.html","Impose civil penalty for violating out-of-service order","1","All","Relief:
N.D. Cent. Code, § 39-06.2-10","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Transportation & commercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"N.D. Admin. Code 37-10-01-08","https://www.legis.nd.gov/information/acdata/html/37-10.html","Impose civil penalty on employer for knowingly allowing/requiring/permitting/authorizing driver to violate out-of-service order","1","All","Relief:
N.D. Cent. Code, § 39-06.2-10","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Transportation & commercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
