Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"57 Okl. St. § 594","http://www.oklegislature.gov/osstatuestitle.html","Register as violent offender","1","(A)-(D)","See also:
57 Okl. St. § 593","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Time-limited"
"60 Okl. St. § 680","http://www.oklegislature.gov/osstatuestitle.html","Impose civil penalty (violation of the Uniform Unclaimed Property Act)","1","(A)-(e)","Other triggering offenses:
Failure to deliver property under the Uniform Unclaimed Property Act","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Discretionary (waiver)","Indefinite"
"Okl. Const. Art. VI, § 10","http://www.oklegislature.gov/ok_constitution.html","Pardon conviction (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"O.A.C. § 800:15-5-2","http://www.oar.state.ok.us/oar/codedoc02.nsf/frmMain?OpenFrameSet&Frame=Main&Src=_75tnm2shfcdnm8pb4dthj0chedppmcbq8dtmmak31ctijujrgcln50ob7ckj42tbkdt374obdcli00_","Forfeit commercial shad harvest license bond","1","(3)","Other triggering offenses:
Violation of commercial shad harvest licensing law","Sections in the Oklahoma Administrative Code cannot be directly linked.  Links point to the Code's searcahble database.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Wildlife, fish & game","Other","Discretionary","Indefinite"
"O.A.C. § 775:15-3-4","http://www.oar.state.ok.us/oar/codedoc02.nsf/frmMain?OpenFrameSet&Frame=Main&Src=_75tnm2shfcdnm8pb4dthj0chedppmcbq8dtmmak31ctijujrgcln50ob7ckj42tbkdt374obdcli00_","Suspend veterinary license/certificate","1","All","","Sections in the Oklahoma Administrative Code cannot be directly linked.  Links point to the Code's searcahble database.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Veterinarians","Any felony","Discretionary","Indefinite"
"O.A.C. § 595:60-1-4","http://www.oar.state.ok.us/oar/codedoc02.nsf/frmMain?OpenFrameSet&Frame=Main&Src=_75tnm2shfcdnm8pb4dthj0chedppmcbq8dtmmak31ctijujrgcln50ob7ckj42tbkdt374obdcli00_","Ineligible for retiree concealed firearm permit","1","(7)(A)","","Sections in the Oklahoma Administrative Code cannot be directly linked.  Links point to the Code's searcahble database.","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Any felony","Mandatory/Automatic","Indefinite"
"O.A.C. § 595:10-7-9","http://www.oar.state.ok.us/oar/codedoc02.nsf/frmMain?OpenFrameSet&Frame=Main&Src=_75tnm2shfcdnm8pb4dthj0chedppmcbq8dtmmak31ctijujrgcln50ob7ckj42tbkdt374obdcli00_","Extend driver's license suspension","1","All","","Sections in the Oklahoma Administrative Code cannot be directly linked.  Links point to the Code's searcahble database.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"O.A.C. § 595:10-7-2","http://www.oar.state.ok.us/oar/codedoc02.nsf/frmMain?OpenFrameSet&Frame=Main&Src=_75tnm2shfcdnm8pb4dthj0chedppmcbq8dtmmak31ctijujrgcln50ob7ckj42tbkdt374obdcli00_","Assess points to driving record","1","All","Additional offense details:
O.A.C. § 595:10-7-3","Sections in the Oklahoma Administrative Code cannot be directly linked.  Links point to the Code's searcahble database.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"74 Okl. St. § 18p-9","http://www.oklegislature.gov/osstatuestitle.html","Notify crime victim/witness of offender status change","1","(A)-(E)","0","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Any felony|Any misdemeanor","Discretionary","Indefinite"
"74 Okl. St. § 150.12","http://www.oklegislature.gov/osstatuestitle.html","Publish conviction information to criminal record database","1","(G)","","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
