Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"S.C. Code Ann. § 57-5-1490","https://www.scstatehouse.gov/code/t57c005.php","Lien on vehicle used in failing to pay highway toll","1","All","
","","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Driving & noncommercial motor vehicles","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"S.C. Code Ann. § 40-13-110","https://www.scstatehouse.gov/code/t40c013.php","Revoke school owner's cosmetology license (failure to notify board of school closing/to provide student records)","1","(C), (D)","Relief:
S.C. Code Ann. § 40-1-160

Other triggering offenses:
Offenses related to failure to notify the board of his school's closing
Offenses related to failure to provide student records","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Cosmetology, barbering, electrology, tattooing & body art","Other","Mandatory/Automatic","Indefinite"
"S.C. Code Ann. § 37-20-140","https://www.scstatehouse.gov/code/t37c020.php","Expunge conviction of identity theft victim (relief)","0","All","","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"S.C. Code Ann. § 24-21-950","https://www.scstatehouse.gov/code/t24c021.php","Pardon offender by Parole Services Board (relief)","0","All","See also:
S.C. Code Ann. § 24-21-920
S.C. Code Ann. § 24-21-930
S.C. Code Ann. § 24-21-990
S.C. Code Ann. § 24-21-1000","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"S.C. Code Ann. § 23-3-660","https://www.scstatehouse.gov/code/t23c003.php","Expunge DNA profile from state database (relief)","0","All","","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"S.C. Code Ann. § 23-3-47","https://www.scstatehouse.gov/code/t23c003.php","Background check to volunteer through the commission on national and community service","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Public service programs (government-sponsored)","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"S.C. Code Ann. § 23-31-215","https://www.scstatehouse.gov/code/t23c031.php","Deny/revoke concealed weapons permit","2","(A), (B), (D), (F), (J), (N)","Additional offense details:
S.C. Code § 16-23-500(A)

Relief:
S.C. Code Ann. §§ 1-23-10 et seq.","","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
"S.C. Code Ann. § 17-22-50","https://www.scstatehouse.gov/code/t17c022.php","Ineligible to participate in a pretrial intervention program (domestic violence conviction)","1","(A)(2)(f)","Additional offense details:
S.C. Code Ann. § 16-25-10 et seq.","","2022 legislative session and all 2022 regulatory rulemaking","","Judicial Rights","Deferred adjudication & diversion","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
"S.C. Code Ann. § 16-3-1210","https://www.scstatehouse.gov/code/t16c003.php","Ineligible to receive a victim's compensation award","1","All","Additional offense details:
S.C. Code Ann. § 16-3-1220
","","2022 legislative session and all 2022 regulatory rulemaking","","Government benefits|Civil fines, liability, forfeiture & property rights","","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
"S.C. Code Ann. § 12-60-90","https://www.scstatehouse.gov/code/t12c060.php","Suspend/disbar from practice in administrative tax processes","1","(A), (D)","Additional offense details:
31 CFR § 10.51(a)

Relief:
31 CFR § 10.81","See S.C. Code. Ann. § 40-1-140 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering|Occupational & professional licensure & certification","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"S.C. Code Ann. § 56-5-1030","https://www.scstatehouse.gov/code/t56c005.php","Deny/revoke driver's license (5 years for defacing/destroying traffic signals)","1","All","Additional offense details:
S.C. Code Ann. § 56-5-1030

Other triggering offenses:
Offenses related to altering/defacing/injuring/knocking down/removing an official traffic-control device/railroad sign/signal/its inscriptions/shields/insignia","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Other","Mandatory/Automatic","Time-limited"
"S.C. Code Ann. § 40-60-430","https://www.scstatehouse.gov/code/t40c060.php","Background check to be employed as a appraiser of a registered appraisal management company","1","All","See also:
S.C. Code Ann. § 40-60-520","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Real estate & property","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"S.C. Code Ann. § 40-57-340","https://www.scstatehouse.gov/code/t40c057.php","Background check to renew salesman/broker/broker-in-charge license","1","(A),(D)","0","See S.C. Code. Ann. § 40-1-140 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Real estate & property","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"S.C. Code Ann. § 56-1-740","https://www.scstatehouse.gov/code/t56c001.php","Suspend/revoke driver's license/driving privileges (point system)","1","(A)
(B)(1)","Additional offense details:
S.C. Code Ann. § 56-1-710

See also:
S.C. Code Ann. § 56-1-720","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Time-limited"
"S.C. Code Ann. § 24-3-220","https://www.scstatehouse.gov/code/t24c003.php","Notify victim/victim's relatives of crime convicted by inmate","1","(D)","See also:
S.C. Code Ann. § 16-3-1530","","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
"S.C. Const. Ann. Art. IV, § 14","https://www.scstatehouse.gov/scconstitution/scconst.php","Grant reprieve/commutation (relief)","0","All","","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"S.C. Code Ann. § 56-1-1720","https://www.scstatehouse.gov/code/t56c001.php","Deny beginner's permit or special restricted driver's license (multiple convictions for underage moped driving)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Recreational license offenses","Mandatory/Automatic","Time-limited"
"S.C. Code Ann. § 56-1-171","https://www.scstatehouse.gov/code/t56c001.php","Suspend driver's license (failure to pay child support)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Child Support offenses","Mandatory/Automatic","Conditional"
"S.C. Code Ann. § 56-1-1105","https://www.scstatehouse.gov/code/t56c001.php","Suspend/revoke driver's license (driving during habitual offender suspension causing injury or death)","1","(B), (C)","","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Varies"
"S.C. Code Ann. § 56-10-520","https://www.scstatehouse.gov/code/t56c010.php","Suspend driver's license (30 days for driving another's uninsured vehicle)","1","All","Additional offense details:
S.C. Code Ann. § 56-10-510","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"S.C. Code Regs. 7-302","https://www.scstatehouse.gov/coderegs/statmast.php","Suspend/revoke retail liquor license (underage violations, alcohol)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"S.C. Code Ann. § 56-10-260","https://www.scstatehouse.gov/code/t56c010.php","Revoke driver's license and registration (6 months for falsely certifying to the Department of Motor Vehicles that the vehicle is insured)","1","All","Additional offense details:
S.C. Code Ann. § 56-10-260
","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
