Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Tenn. Code Ann. § 56-22-117","https://codes.findlaw.com/tn/title-56-insurance/tn-code-sect-56-22-117.html","Impose fine on officer/director of a county mutual insurance company","1","(a)(6)
(b)
(c)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Insurance sales & services","Any felony","Discretionary","Indefinite"
"Tenn. Const. Art. I, § 12","http://www.capitol.tn.gov/about/docs/tn-constitution.pdf","No corruption of blood or forfeiture of estates (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Limitations on imposition of collateral consequences","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Tenn. Code Ann. § 7-90-104","https://codes.findlaw.com/tn/title-7-consolidated-governments-and-local-governmental-functions-and-entities/tn-code-sect-7-90-104.html","Ineligible to apply for incorporation of municipal medical school authority","1","All","Relief:
Tenn. Code Ann. § 2-19-143

See also:
Tenn. Const. Art. I, § 5
Tenn. Code Ann. § 2-19-143 (1)-(4)
Tenn. Code Ann. § 40-20-112","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Education & schools","Any felony","Mandatory/Automatic","Indefinite"
"Tenn. Comp. R. & Regs. R. 1660-1-20-.01","https://publications.tnsosfiles.com/rules/1660/1660.htm","Suspend/revoke Deer Management Assistance Program (DMAP) permit","1","8)(a),(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Discretionary","Indefinite"
"Tenn. Comp. R. & Regs. R. 1395-1-3-.04","https://publications.tnsosfiles.com/rules/1395/1395.htm","Background check to purchase firearms (Tennessee Instant Check System Program)","1","(1)
(7)
(8)
(9)
(10)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Tenn. Code Ann. § 55-12-115","https://codes.findlaw.com/tn/title-55-motor-and-other-vehicles/tn-code-sect-55-12-115.html","Suspend driver's license for failure to comply with driver's financial responsibility law","1","(a)
(b)(1),(2)","Relief:
 Tenn. Code Ann. § 55-12-129 (a),(b),(f) 

Other triggering offenses:
Violations related to financial responsibility 
(See Tenn. Code Ann. § 55-12-139) 

See also: 
Tenn. Code Ann. § 55-12-139 (b)-(e )","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Other","Mandatory/Automatic","Conditional"
"Tenn. Code Ann. § 55-10-502","https://codes.findlaw.com/tn/title-55-motor-and-other-vehicles/tn-code-sect-55-10-502.html","Forfeit motor vehicle used to commit the offense of drag racing","1","(a)
(c)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Indefinite"
"Tenn. Code Ann. § 53-11-452","https://codes.findlaw.com/tn/title-53-food-drugs-and-cosmetics/tn-code-sect-53-11-452.html","Forfeit real property for drug-related felony convictions connected to the property","1","(a)(1),(2)
(b)
(c)(1)
(d)(1),(2),(3)
( e ) (1) (B)","Additional offense details:
Tenn. Code Ann. § 39-17-417(a)(1)-(4),(i),(j)","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Real estate & property","Controlled substances offenses","Discretionary","Indefinite"
"Tenn. Code Ann. § 68-11-233","https://codes.findlaw.com/tn/title-68-health-safety-and-environmental-protection/tn-code-sect-68-11-233.html","Background check for employment with home care organization","1","(a)
(b)(1)-(4)
(e)
(f)","Relief:
Tenn. Code Ann. § 68-11-208 (a),(b)","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Health care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Tenn. Code Ann. § 50-7-715","https://codes.findlaw.com/tn/title-50-employer-and-employee/tn-code-sect-50-7-715.html","Impose civil penalties for improperly receiving unemployment benefits (false statements/misrepresentations/failure to disclose material facts)","1","(a)
(b)(1),(2)
(c)(1),(2) 
(d)","Additional offense details:
Tenn. Code Ann. § 50-7-709 (a)-(d) 
Tenn. Code Ann. § 50-7-710 (a)-(c ) 

Other triggering offenses:
Violations related to improperly receiving benefits 
(See Tenn. Code Ann. § 50-7-709;Tenn. Code Ann. § 50-7-710)","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Social Security, SSI, unemployment & disability benefits","Other","Mandatory/Automatic","Indefinite"
"Tenn. Code Ann. § 67-4-2602","https://codes.findlaw.com/tn/title-67-taxes-and-licenses/tn-code-sect-67-4-2602.html","Remove from state's directory of approved tobacco product manufacturers","1","(b)(3)(B)","0","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Tobacco","Controlled substances offenses","Discretionary","Indefinite"
"Tenn. Code Ann. § 66-32-122","https://codes.findlaw.com/tn/title-66-property/tn-code-sect-66-32-122.html","Background check to serve as managing agent/employee of registered time-share program","1","(a)
(d)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Real estate & property","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Tenn. Code Ann. § 4-3-5503","https://codes.findlaw.com/tn/title-4-state-government/tn-code-sect-4-3-5503.html","Background check for employment with office of information resources","1","(b)(1)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Sensitive information access","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Tenn. Code Ann. § 41-7-109","https://codes.findlaw.com/tn/title-41-correctional-institutions-and-inmates/tn-code-sect-41-7-109.html","Background check for employment with Tennessee Corrections Institute","1","(b)(1),(2),(3) 
(c)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Law enforcement, corrections & public safety","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Tenn. Code Ann. § 40-28-106","https://codes.findlaw.com/tn/title-40-criminal-procedure/tn-code-sect-40-28-106.html","Pardon criminal conviction (relief)","0","(a)(1)
(c)
(d)(1),(2)
(e)(1),(2)
(f)","See also:
Tenn. Code Ann. § 40-28-107 (c ),(e )","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Tenn. Code Ann. § 40-11-318","https://codes.findlaw.com/tn/title-40-criminal-procedure/tn-code-sect-40-11-318.html","Ineligible for employment as bounty hunter","1","(a)
(b)
(f)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Law enforcement, corrections & public safety","Any felony","Mandatory/Automatic","Indefinite"
"Tenn. Code Ann. § 39-17-436","https://codes.findlaw.com/tn/title-39-criminal-offenses/tn-code-sect-39-17-436.html","Register for methamphetamine offenses","1","(a)(1)-(4)
(b)
(c)
(d)
(e)
(f)","Additional offense details:
Tenn. Code Ann. § 39-17-417
Tenn. Code Ann. § 39-17-418 
Tenn. Code Ann. § 39-17-408 
Tenn. Code Ann. § 39-17-431
Tenn. Code Ann. § 39-17-433 
Tenn. Code Ann. § 39-17-435","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Pharmacy & drugs","Controlled substances offenses","Mandatory/Automatic","Time-limited"
"Tenn. Code Ann. § 39-17-115","https://codes.findlaw.com/tn/title-39-criminal-offenses/tn-code-sect-39-17-115.html","Notify Department of Homeland Security of conviction","1","(b)
(e)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Immigration, naturalization & travel","Immigration, naturalization & travel","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"Tenn. Code Ann. § 39-14-137","https://codes.findlaw.com/tn/title-39-criminal-offenses/tn-code-sect-39-14-137.html","Terminate government contract","1","(a)(1)-(4)
(b)
(c)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation","Government procurement contracts & programs","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Tenn. Code Ann. § 37-5-117","https://codes.findlaw.com/tn/title-37-juveniles/tn-code-sect-37-5-117.html","Background check for employment as youth service officer","1","(3)
(5)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Child care providers & youth programs","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Tenn. Code Ann. § 37-1-414","https://codes.findlaw.com/tn/title-37-juveniles/tn-code-sect-37-1-414.html","Background check to serve as employee/volunteer of organization working with children","1","(a)(1),(2)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Child care providers & youth programs","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Tenn. Code Ann. § 36-5-101","https://codes.findlaw.com/tn/title-36-domestic-relations/tn-code-sect-36-5-101.html","Impose income tax refund intercept/financial institution collection/lien (child support arrearages)","1","(f)(4)","Additional offense details:
Tenn. Code Ann. § 39-15-101 (a)-(d)","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Tax penalties & benefits","Child Support offenses","Discretionary","Indefinite"
"Tenn. Code Ann. § 29-13-111","https://codes.findlaw.com/tn/title-29-remedies-and-special-proceedings/tn-code-sect-29-13-111.html","Impose lien on criminal injuries compensation award (child support arrearages)","1","(e)(2)","Additional offense details:
Tenn. Code Ann. § 39-15-101 (a)-(d)","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Social Security, SSI, unemployment & disability benefits","Child Support offenses","Mandatory/Automatic","Indefinite"
"Tenn. Code Ann. § 29-13-105","https://codes.findlaw.com/tn/title-29-remedies-and-special-proceedings/tn-code-sect-29-13-105.html","Ineligible for victim compensation","1","(a)
(b)
(d)","0","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
"Tenn. Code Ann. § 16-3-813","https://codes.findlaw.com/tn/title-16-courts/tn-code-sect-16-3-813.html","Background check for employment as credentialed court interpreter","1","(a)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Interpreters","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Tenn. Comp. R. & Regs. R. 1200-08-02-.04","https://publications.tnsosfiles.com/rules/1200/1200.htm","Ineligible to serve as employee/volunteer with prescribed child care center","1","(1)
(7)
(8)","0","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Child care providers & youth programs","Any felony","Mandatory/Automatic","Indefinite"
"Tenn. Comp. R. & Regs. R. 1100-01-01-.16","https://publications.tnsosfiles.com/rules/1100/1100.htm","Executive clemency/pardon/commutation (relief)","0","(1)(d)(3)(6)","See also:
Tenn. Comp. R. & Regs. R. 1100-01-01-.03 (10)","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Tenn. Comp. R. & Regs. R. 0090-01-.05","https://publications.tnsosfiles.com/rules/0090/0090.htm","Background check for employment with an alarm systems contractor in a position having access to sensitive information","1","(2)-(3)","See also:
Tenn. Comp. R. & Regs. R. 0090-01-.03 (15)
Tenn. Code Ann. § 62-32-312 (a)","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Construction, improvement & repair, engineering, plumbing, HVAC, surveying, design & architecture","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
