Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"U.A.C. R105-3-5","https://rules.utah.gov/publicat/code/r105/r105-003.htm","Register with white collar crime registry","1","(1)
(2)
(3)
(4)
(5)","Relief:
Utah Code Ann. § 77-42-108 (a)-(f) 

Additional offense details:
Utah Code Ann. § 77-42-106 (a)-(f) 
Utah Code Ann. § 77-42-105 (1)-(7) 
","","2018 legislative session and all 2018 regulatory rulemaking","","Registration, publication & notification","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Utah Code Ann. § 77-42-104","https://le.utah.gov/xcode/Title77/Chapter42/77-42-S104.html","Publish white collar crime convictions to the public","1","(1)
(4)(a)-(d) 
(7)(a),(b)","Additional offense details:
Utah Code Ann. 77-42-105 (1)-(6)","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Utah Code Ann. § 77-42-106","https://le.utah.gov/xcode/Title77/Chapter42/77-42-S106.html","Register with Utah White Collar Crime Offender Registry","2","(1)(a),(b),(c)
(2)
(3)(a),(b),(c)","Relief:
Utah Code Ann. 77-42-108

Additional offense details:
Utah Code Ann. 77-42-105 (1)-(6)

","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Varies"
"U.A.C. R105-3-5","https://adminrules.utah.gov/public/rule/R105-3/Current%20Rules?","Register with white collar crime registry","1","All ","Relief:
Utah Code Ann. § 77-42-108 (a)-(f)

Additional offense details:
Utah Code Ann. § 77-42-106 (a)-(f)
Utah Code Ann. § 77-42-105 (1)-(7)","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"U.A.C. R164-14-21v","https://rules.utah.gov/publicat/code/r164/r164-014.htm","Ineligible to solicit indication of interest in receiving a prospectus (conviction of issuer officer/director/shareholder/promoter)","1","(c)(1)(j)(ii)","See also:
Utah Code Ann. § 61-1-7","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Banking, lending, securities & finance","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"U.A.C. R164-14-25v","https://rules.utah.gov/publicat/code/r164/r164-014.htm","Ineligible for exemption from security registration requirements (conviction of issuer/issuer's predecessors/affiliated issuer/director/officer/general partner/beneficial owner/promoter/underwriter)","1","(C)
(G)(1)","0","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Banking, lending, securities & finance","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"U.A.C. R164-14-27v","https://rules.utah.gov/publicat/code/r164/r164-014.htm","Ineligible for compensatory exemption to security registration requirement (conviction of issuer/issuer's predecessors/affiliated issuer/director/officer/general partner/beneficial owner/promoter/underwriter)","1","(A)(2)
(E)(1)","0","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Banking, lending, securities & finance","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"U.A.C. R251-114-3","https://rules.utah.gov/publicat/code/r251/r251-114.htm","Notify administrator of facility/publish on website any resident conviction","1","(1)
(2)
(3)
(6)","","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Health care","Any felony","Mandatory/Automatic","Indefinite"
"U.A.C. R477-8-20","https://rules.utah.gov/publicat/code/r477/r477-008.htm","Background check for employment with state agency","1","(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"U.A.C. R501-12-4","https://rules.utah.gov/publicat/code/r501/r501-12.htm#T4","Background check to serve as child foster/proctor","1","(1)
(5)(a)","0","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"U.A.C. R501-14-8","https://rules.utah.gov/publicat/code/r501/r501-14.htm#T8","Background check for human service program ","1","(1)
(5)","0","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Public employment","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"U.A.C. R512-40-2","https://rules.utah.gov/publicat/code/r512/r512-040.htm","Background check to serve as adoptive parent of child with special needs","1","(1)(f)","See also:
Utah Code Ann. § 78A-6-308 (3)","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"U.A.C. R527-258-2","https://rules.utah.gov/publicat/code/r527/r527-258.htm","Limit past-due child support collection to $1 monthly (relief)","0","(1)
(2)","Additional offense details:
Utah Code Ann. § 76-7-201 (1)-(4) 

See also:
U.A.C. R527-258-1 (2)","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Limitations on imposition of collateral consequences","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"U.A.C. R527-260-1","https://rules.utah.gov/publicat/code/r527/r527-260.htm","Suspend driver license (failure to pay child support)","1","(1)
(2)","Additional offense details:
Utah Code Ann. § 76-7-201 (1)-(4)

See also:
U.A.C. R527-260-3 (1)-(2)
U.A.C. R527-260-4 (1),(2)
","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Child Support offenses","Mandatory/Automatic","Conditional"
"U.A.C. R527-475-2","https://rules.utah.gov/publicat/code/r527/r527-475.htm","Forfeit state tax refund for payment of child support","2","(1)
(2)
(3)","Additional offense details:
Utah Code Ann. § 76-7-201 (1)-(4)","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Tax penalties & benefits","Child Support offenses","Mandatory/Automatic","Varies"
"U.A.C. R527-5-6","https://rules.utah.gov/publicat/code/r527/r527-005.htm","Disclose private records for child support investigations","1","(1)(a),(b)
(2)(a),(b),(c)","Additional offense details:
Utah Code Ann. § 76-7-201 (1)-(4)","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Child custody, visitation & parental rights","Child Support offenses","Mandatory/Automatic","Indefinite"
"U.A.C. R58-19-4","https://rules.utah.gov/publicat/code/r058/r058-019.htm","Impose civil penalty on animal industry","1","(1)
(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Agriculture, livestock & food","Other","Discretionary","Indefinite"
"U.A.C. R610-3-18","https://rules.utah.gov/publicat/code/r610/r610-003.htm","Forfeit employee wages due","1","(J)(1)-(4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Social Security, SSI, unemployment & disability benefits","Crimes of violence, including 'person offenses'","Discretionary","Indefinite"
