Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"WAC § 110-06-0045","http://apps.leg.wa.gov/wac/default.aspx?cite=170-06-0045","Background check for employment involving unsupervised access to children in care (under 16 years of age)","1","(1)","0","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Child care providers & youth programs","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"WAC § 446-20-260","http://apps.leg.wa.gov/wac/default.aspx?cite=446-20-260","Background check for employment auditing agencies maintaining criminal records","1","(2)","See also:
WAC § 446-20-230 (1)","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Sensitive information access","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"WAC § 434-230-015","http://apps.leg.wa.gov/wac/default.aspx?cite=434-230-015","Ineligible to vote (felony conviction)","1","(3)(c)","See also Rev. Code Wash. (ARCW) § 29A.08.520","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Civil rights & voting","Any felony","Mandatory/Automatic","Time-limited"
"Rev. Code Wash. (ARCW) § 9.96A.020","http://apps.leg.wa.gov/rcw/default.aspx?cite=9.96A.020","Limit use of prior conviction to deny public employment/state license (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Limitations on imposition of collateral consequences","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Rev. Code Wash. (ARCW) § 9.96.060","http://apps.leg.wa.gov/rcw/default.aspx?cite=9.96.060","Vacate record of conviction  (relief)","0","(2)(a)-(i)
(3)
(4)(a),(b)
(5)
(6)
(7)(a)-(c)","0","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Rev. Code Wash. (ARCW) § 9.41.040","http://apps.leg.wa.gov/rcw/default.aspx?cite=9.41.040","Suspend juvenile driver's license (firearm possession)","1","(1)(a),(b)
(2)(a),(b)
(5)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Weapons offenses","Mandatory/Automatic","Time-limited"
"Rev. Code Wash. (ARCW) § 88.02.750","http://apps.leg.wa.gov/rcw/default.aspx?cite=88.02.750","Deny/suspend/revoke vessel dealer license (conviction related to marine trade)","1","(1)(b) 
","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Maritime & sea vessels","Other","Discretionary","Indefinite"
"Rev. Code Wash. (ARCW) § 3.72.010","http://apps.leg.wa.gov/rcw/default.aspx?cite=3.72.010","Youth traffic court diversion (relief)","0","(1)
(2)(a)-(d)
(3)(a)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Deferred adjudication & diversion","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Rev. Code Wash. (ARCW) § 77.15.730","http://apps.leg.wa.gov/rcw/default.aspx?cite=77.15.730","Suspend/revoke recreational hunting/fishing license/privilege (conviction for related crime in another state)","1","(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Indefinite"
"Rev. Code Wash. (ARCW) § 77.15.700","http://apps.leg.wa.gov/rcw/default.aspx?cite=77.15.700","Suspend/revoke recreational hunting/fishing license","2","(1)(a)-(d)
(2)
","0","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Varies","Varies"
"Rev. Code Wash. (ARCW) § 26.44.240","http://apps.leg.wa.gov/rcw/default.aspx?cite=26.44.240","Background check for emergency placement of a child requiring out-of-home care","1","(1)
(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Rev. Code Wash. (ARCW) § 26.44.060","http://apps.leg.wa.gov/rcw/default.aspx?cite=26.44.060","Ineligible for immunity from liability for making a false report of alleged abuse or neglect","1","(1)(a),(b)
(4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Civil litigation & administrative proceedings","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Rev. Code Wash. (ARCW) § 77.15.580(3)(a)","http://apps.leg.wa.gov/rcw/default.aspx?cite=77.15.580","Revoke commercial fishing license (conviction for unlawful use of net in the second degree)","1","(3)(a)","","See Wash. Rev. Code § 9.96A.020 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Commercial fishing","Recreational license offenses","Mandatory/Automatic","Indefinite"
"Rev. Code Wash. (ARCW) § 77.15.450(3)","http://apps.leg.wa.gov/rcw/default.aspx?cite=77.15.450","Suspend/revoke hunting license/tag/privilege (conviction for spotlighting big game)","1","(3)(a),(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Time-limited"
"Rev. Code Wash. (ARCW) § 77.15.410","http://apps.leg.wa.gov/rcw/default.aspx?cite=77.15.410","Suspend/revoke hunting license/tag/privilege (conviction for unlawful hunting of big game)","1","(3)(a),(b)
(4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Time-limited"
"Rev. Code Wash. (ARCW) § 77.15.170","http://apps.leg.wa.gov/rcw/default.aspx?cite=77.15.170","Suspend/revoke fishing/hunting license/tag (conviction for waste)","1","(1)(a),(b)
(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Time-limited"
"Rev. Code Wash. (ARCW) § 18.310.110","http://apps.leg.wa.gov/rcw/default.aspx?cite=18.310.110","Ineligible for employment as an appraiser (permanent bar for real estate/mortgage loan felony involving fraud/dishonesty/money laundering)","1","(1)(c)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Real estate & property","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"Rev. Code Wash. (ARCW) § 18.160.080","http://apps.leg.wa.gov/rcw/default.aspx?cite=18.160.080","Suspend fire protection sprinkler system contractor license/certificate (child support delinquency)","1","(3)","","See Wash. Rev. Code § 9.96A.020 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Emergency services, management & fire","Child Support offenses","Mandatory/Automatic","Conditional"
"Rev. Code Wash. (ARCW) § 13.50.260","http://apps.leg.wa.gov/rcw/default.aspx?cite=13.50.260","Seal juvenile records (relief)","","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Rev. Code Wash. (ARCW) § 13.40.127","http://apps.leg.wa.gov/rcw/default.aspx?cite=13.40.127","Deferred disposition for juvenile offenders (relief)","","All
","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Deferred adjudication & diversion","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Rev. Code Wash. (ARCW) § 13.34.385","http://apps.leg.wa.gov/rcw/default.aspx?cite=13.34.385","Deny visitation (conviction of relative for abuse/neglect of child)","1","(1)(a)-(d)
(2)
(3)(a)-(f)
(4)
(5)
(6)
(7)
(8)","","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Child custody, visitation & parental rights","Crimes of violence, including 'person offenses'","Discretionary","Indefinite"
"Rev. Code Wash. (ARCW) § 13.34.130","http://apps.leg.wa.gov/rcw/default.aspx?cite=13.34.130","Background check to serve as placement for Indian child","1","(1)(a),(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"WAC § 388-400-0040","http://apps.leg.wa.gov/wac/default.aspx?cite=388-400-0040","Ineligible for benefits from Washington Basic Food Program (treatment of income of fleeing felons)","1","(1)
(12)(a),(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Any felony","Mandatory/Automatic","Indefinite"
"WAC § 308-104-340","http://apps.leg.wa.gov/wac/default.aspx?cite=308-104-340","Collateral estoppel/res judicata (habitual traffic offender determination)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"WAC § 296-52-61040","http://apps.leg.wa.gov/wac/default.aspx?cite=296-52-61040","Ineligible to manufacture/purchase/store/use/deal in explosives","2","(1)","See also Rev. Code Wash. (ARCW) § 70.74.360","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Firearms, weapons & explosives","Any felony","Mandatory/Automatic","Indefinite"
"WAC § 284-17-565","http://apps.leg.wa.gov/wac/default.aspx?cite=284-17-565","Suspend/revoke approval as prelicensing insurance education provider (convictions of owner/program director/instructor)","1","(1)(a)-(d)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Insurance sales & services","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"Rev. Code Wash. (ARCW) § 59.18.130(6)","http://apps.leg.wa.gov/rcw/default.aspx?cite=59.18.130","Terminate residential lease (controlled substances offense)","1","(6)","See also:
§ 59.18.180","","2023 legislative session and all 2023 regulatory rulemaking","","Housing & residency","Real estate & property","Controlled substances offenses","Discretionary","Indefinite"
"Rev. Code Wash. (ARCW) § 48.17.380","http://apps.leg.wa.gov/rcw/default.aspx?cite=48.17.380","Background check for insurance adjuster license","1","(1)(a),(b)","","See Wash. Rev. Code § 9.96A.020 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"WAC § 208-690-112","http://apps.leg.wa.gov/wac/default.aspx?cite=208-690-112","Notify Department of Financial Institutions of conviction (key personnel of money services provider)","1","(6)
(7)","","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Banking, lending, securities & finance","Any felony","Mandatory/Automatic","Indefinite"
"WAC § 446-20-230","http://apps.leg.wa.gov/wac/default.aspx?cite=446-20-230","Background check for employment with agency/contractor authorized to maintain criminal records","1","(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Sensitive information access","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Rev. Code Wash. (ARCW) § 38.40.110","http://apps.leg.wa.gov/rcw/default.aspx?cite=38.40.110","Forfeit right to do business for 30 days (discrimination against militia member)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Business contracts (private) & dissolution","Other","Mandatory/Automatic","Time-limited"
"Rev. Code Wash. (ARCW) § 9.94A.885","http://apps.leg.wa.gov/rcw/default.aspx?cite=9.94A.885","Petition for review for pardon/clemency (relief)","0","(1)
(2)
(3)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
