Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"W. Va. Code § 61-3-22a","http://www.wvlegislature.gov/WVCODE/ChapterEntire.cfm?chap=61&art=3&section=22a","Forfeit profits from illegal sale/use of automated sales suppression devices","1","(c), (e)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"W. Va. Code § 21A-10-19","http://www.wvlegislature.gov/WVCODE/ChapterEntire.cfm?chap=21A&art=10&section=19","Disclose wage/benefit information to state/local child support enforcement agency","1","(a), (d)","Additional offense details:
W. Va. Code § 61-5-29
","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Child Support offenses","Discretionary","Indefinite"
"W. Va. Code § 14-2A-24","http://www.wvlegislature.gov/WVCODE/ChapterEntire.cfm?chap=14&art=2A&section=24","Deduct child support obligations from crime victim compensation award","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Child Support offenses","Mandatory/Automatic","Indefinite"
"W. Va. CSR § 175-9-7","http://apps.sos.wv.gov/adlaw/csr/rule.aspx?rule=175-09","Forfeit tobacco products","1","(7.2), (7.3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Tobacco","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"W. Va. CSR § 175-5-14","http://apps.sos.wv.gov/adlaw/csr/rule.aspx?rule=175-05","Impose civil penalty (convictions of unlawful inducement) (alcohol)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"W. Va. Code § 30-38A-7","http://www.wvlegislature.gov/WVCODE/ChapterEntire.cfm?chap=30&art=38A&section=7","Ineligible to register appraisal management company (permanent for felony convictions)","1","
( b ) (3) - (5)","Background check:
W. Va. Code § 30-38A-4 
W. Va. Code § 30-38A-8","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Real estate & property","Any felony","Mandatory/Automatic","Indefinite"
"W. Va. Code § 30-38A-11","http://www.wvlegislature.gov/WVCODE/ChapterEntire.cfm?chap=30&art=38A&section=11","Background check to be appraisal management company controlling person","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Real estate & property","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"W. Va. CSR § 114-2A-1","http://apps.sos.wv.gov/adlaw/csr/rule.aspx?rule=114-2A","Background check for insurance producer license","1","(1.1)","See also:
W. Va. CSR § 114-2A-3 to 114-2A-6","","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"W. Va. CSR § 110-16-28","http://apps.sos.wv.gov/adlaw/csr/rule.aspx?rule=110-16","Ineligible to receive bingo license/conduct bingo game/operate concession/provide licensee premises for bingo","1","All","Other triggering offenses:
Offenses related to gambling","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","Other","Mandatory/Automatic","Time-limited"
"W. Va. Code § 62-12-26","http://www.wvlegislature.gov/WVCODE/ChapterEntire.cfm?chap=62&art=12&section=26","Impose lifetime supervision for violent sexual predators","1","
All","Additional offense details:
W. Va. Code § 61-8-12
W. Va. Code §§ 61-8B-1 et seq.
W. Va. Code §§ 61-8C-1 et seq.
W. Va. Code §§ 61-8D-1 et seq.

See also:
W. Va. Code § 15-12-2a","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Sex offenses","Mandatory/Automatic","Indefinite"
"W. Va. Code § 61-8-5","http://www.wvlegislature.gov/WVCODE/ChapterEntire.cfm?chap=61&art=8&section=5","Terminate lease for conviction of letting/subletting/renting property for purpose of prostitution","1","(a), (b)
","0","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Real estate & property","Sex offenses","Mandatory/Automatic","Indefinite"
"W. Va. Code § 29-22C-12","http://www.wvlegislature.gov/WVCODE/ChapterEntire.cfm?chap=29&art=22C&section=12","Background check for license to supply a racetrack with gaming equipment/services","1","(b)
(d)(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"W. Va. Code § 61-3-49a","http://www.wvlegislature.gov/WVCODE/ChapterEntire.cfm?chap=61&art=3&section=49a","Revoke license to sell time-related merchandise","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","General business & occupational license restrictions (various unrelated licenses)","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"W. Va. Code § 27-6A-4","http://www.wvlegislature.gov/WVCODE/ChapterEntire.cfm?chap=27&art=6A&section=4","Disclose defendant's criminal history for purposes of determination of responsibility/diminished capacity","1","(b)(4), (5)","","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Judicial evidence & witnesses","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"W. Va. Code § 20-7A-5","http://www.wvlegislature.gov/WVCODE/ChapterEntire.cfm?chap=20&art=7A&section=5","Revoke archaeological excavation permit","1","All","Other triggering offenses:
Offenses related to excavating any archaeological sites without a permit","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Laboratories, technicians, research & phlebotomy","Other","Mandatory/Automatic","Indefinite"
"W. Va. CSR § 91-5-8","http://apps.sos.wv.gov/adlaw/csr/rule.aspx?rule=91-05","Impose requirement to complete graduated driver improvement course (initial conviction/level 2 intermediate licensee)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"W. Va. CSR § 91-5-7","http://apps.sos.wv.gov/adlaw/csr/rule.aspx?rule=91-05","Suspend driver's license for accumulation of imposed points for motor vehicle offense convictions","1","All","Additional offense details:
W. Va. Code § 17C-3-4
W. Va. Code § 17C-3-5
W. Va. Code § 17C-3-7
W. Va. Code § 17C-4-2
W. Va. Code § 17C-4-4
W. Va. Code § 17C-4-5
W. Va. Code § 17C-5-3
W. Va. Code § 17C-6-1
W. Va. Code § 17C-6-4
W. Va. Code § 17C-7-2
W. Va. Code § 17C-7-3
W. Va. Code § 17C-7-5
W. Va. Code § 17C-7-6 
W. Va. Code § 17C-7-7
W. Va. Code § 17C-7-8
W. Va. Code § 17C-7-10
W. Va. Code § 17C-8-2 to 17C-8-4
W. Va. Code § 17C-8-6
W. Va. Code § 17C-8-8
W. Va. Code § 17C-8-9
W. Va. Code § 17C-8-10
W. Va. Code § 17C-9-1 to 17C-9-5
W. Va. Code § 17C-10-2
W. Va. Code § 17C-12-1
W. Va. Code § 17C-12-5
W. Va. Code § 17C-12-6
W. Va. Code § 17C-12-7
W. Va. Code § 17C-14-2
W. Va. Code § 17C-14-5
W. Va. Code § 17C-14-14
W. Va. Code § 17C-15-1
W. Va. Code § 17C-15-2
W. Va. Code § 17C-18-1
W. Va. Code § 61-5-17","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
