Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Wis. Stat. § 938.396","","Record search of juveniles for commiting a serious crime","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","","N/A (background check, general relief)"
"Wis. Adm. Code DCF 51.07","https://docs.legis.wisconsin.gov/document/administrativecode/DCF%2051.07(1)","Background check to adopt children with special needs","1","(1)(e)","","","2022 legislative session and all 2022 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Wis. Adm. Code DCF 56.21","https://docs.legis.wisconsin.gov/document/administrativecode/DCF%2056.21(3)(g)","Background check for employment as respite care provider","1","(3)(h)","","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Wis. Adm. Code DCF 57.57","http://docs.legis.wisconsin.gov/document/administrativecode/DCF%2057.57(1)(a)","Suspend group home license (foster care)","1","(1)(a)","","See Wis. Stat. §§ 111.321 & 111.335 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Adoption & foster care","Crimes of violence, including 'person offenses'","Discretionary","Indefinite"
"Wis. Adm. Code DHS 127.03","https://docs.legis.wisconsin.gov/document/administrativecode/DHS%20127.03(2)(a)3.","Deny rural medical center license (background check for convictions of owner/officer/director)","1","(4)(d)(6)","","","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Health care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Wis. Adm. Code DHS 252.19","http://docs.legis.wisconsin.gov/document/administrativecode/DHS%20252.19","Disqualify from food stamp program for IPV related to fraudulent EBT transactions","4","(1)","Food Stamp Offenses.: Wis. Stat. § 946.92               Financial transaction card crimes: Wis. Stat. § 943.41","","2022 legislative session and all 2022 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"Wis. Adm. Code DHS 62.10","https://docs.legis.wisconsin.gov/document/administrativecode/DHS%2062.10(1)","Comply with assessment and driver safety plan requirements (DUI)","1","(4), (5)","","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"Wis. Adm. Code DHS 82.04","https://docs.legis.wisconsin.gov/document/administrativecode/DHS%2082.04","Background check to be a sponsor /substitute provider in a certified adult family home","1","(2)","See also:
Wis. Adm. Code DHS 82.03(4)(c)","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Adult care, nursing homes & residential care facilities","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Wis. Adm. Code DOC 350.32","https://docs.legis.wisconsin.gov/code/admin_code/DOC/350/32","Background check to provide religious programming to jails as religious organization/clergy","1","(4)","","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Law enforcement, corrections & public safety","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Wis. Adm. Code DWD 294.05","https://docs.legis.wisconsin.gov/document/administrativecode/DWD%20294.05(1)","Debar public works contractors","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Government contracting & program participation","Public utilities & mail","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Time-limited"
