Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Wyo. Stat. § 40-22-113","https://codes.findlaw.com/wy/title-40-trade-and-commerce/wy-st-sect-40-22-113.html","Notify state banking commissioner of conviction of officer of money transmitter","1","(a)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Banking, lending, securities & finance","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Wyo. Stat. § 36-8-316","https://codes.findlaw.com/wy/title-36-state-lands/wy-st-sect-36-8-316.html","Impose civil penalty (for damage to Hot Springs State Park caused by livestock)","1","All","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Agriculture, livestock & food","Other","Discretionary","Indefinite"
"Wyo. Stat. § 31-4-103","https://codes.findlaw.com/wy/title-31-motor-vehicles/wy-st-sect-31-4-103.html","Suspend driver's license (failure to provide proof of financial responsibility in force on date of violation)","1","(a)
(c)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Conditional"
"Wyo. Stat. § 27-3-702","https://codes.findlaw.com/wy/title-27-labor-and-employment/wy-st-sect-27-3-702.html","Ineligible for unemployment benefits","1","(a)-(c)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Social Security, SSI, unemployment & disability benefits","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"Wyo. Stat. § 26-24-129","https://codes.findlaw.com/wy/title-26-insurance-code/wy-st-sect-26-24-129.html","Impose liability for unlawful removal of domestic insurer assets/records","1","(b)
(c)","See also:
Wyo. Stat. § 26-28-101 (a)","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Insurance sales & services","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"Wyo. Stat. § 22-1-102","https://codes.findlaw.com/wy/title-22-elections/wy-st-sect-22-1-102.html","Ineligible to serve as a qualified elector","1","(a)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Civil rights & voting","Any felony","Mandatory/Automatic","Indefinite"
"Wyo. Stat. § 20-6-106","https://codes.findlaw.com/wy/title-20-domestic-relations/wy-st-sect-20-6-106.html","Impose seizure of assets/void transfer of assets/lien on property (child support arrearages )","1","(m)
(y)","Additional offense details:
Wyo. Stat. § 20-3-101 (b)","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Real estate & property","Child Support offenses","Mandatory/Automatic","Indefinite"
"Wyo. Stat. § 18-12-102","https://codes.findlaw.com/wy/title-18-counties/wy-st-sect-18-12-102.html","Ineligible to serve as a qualified elector in a county improvement and service district","1","(a)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Civil rights & voting","Any felony","Mandatory/Automatic","Indefinite"
"Wyo. Stat. § 14-6-203","https://codes.findlaw.com/wy/title-14-children/wy-st-sect-14-6-203.html","Limit access to juvenile records (relief)","0","(g)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Wyo. Stat. § 14-2-204","https://codes.findlaw.com/wy/title-14-children/wy-st-sect-14-2-204.html","Impose liability for child support arrearages","1","(a)-(d)","Additional offense details:
Wyo. Stat. § 20-3-101 (b)","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Civil litigation & administrative proceedings","Child Support offenses","Mandatory/Automatic","Indefinite"
"Wyo. Stat. § 1-40-106","https://codes.findlaw.com/wy/title-1-code-of-civil-procedure/wy-st-sect-1-40-106.html","Ineligible to receive crime victim compensation","1","(c)","See also:
Wyo. Stat. § 1-40-110 (d)","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Any felony|Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
"Wyo. Stat. § 13-10-205","https://codes.findlaw.com/wy/title-13-banks-banking-and-finance/wy-st-sect-13-10-205.html","Remove financial institution/bank holding company office/director","1","(a)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Banking, lending, securities & finance","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"Wyo. Stat. § 12-3-101","https://codes.findlaw.com/wy/title-12-alcoholic-beverages/wy-st-sect-12-3-101.html","Forfeit alcoholic liquor/malt beverages transported/imported without payment of excise tax","1","(d)
(e)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"Wyo. Stat. § 11-20-228","https://codes.findlaw.com/wy/title-11-agriculture-livestock-and-other-animals/wy-st-sect-11-20-228.html","Impound vehicle used in illegal transportation of livestock","1","All","Other triggering offense:
Illegal transportation of livestock","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Agriculture, livestock & food","Other","Discretionary","Indefinite"
