Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Fla. Stat. § 320.3205","http://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0300-0399/0320/Sections/0320.3205.html","Terminate motor vehicle dealer contract by manufacturer (shortened notice period for felonies)","1","(1)(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Motor vehicle sales & service","Any felony","Discretionary","Indefinite"
"Fla. Stat. § 320.3205","http://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0300-0399/0320/Sections/0320.3205.html","Terminate motor vehicle dealer contract (repurchase of stock for felonies by manufacturer)","1","(2)(a)
(3)(a),(b),(c)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Motor vehicle sales & service","Any felony","Discretionary","Indefinite"
"Fla. Stat. § 320.30","http://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0300-0399/0320/Sections/0320.30.html","Forfeit used motor vehicle (nonresident selling vehicles without a dealer's license)","1","All","Other triggering offenses:
Violations related to motor vehicle dealers 

See also:
Fla. Stat. § 320.28","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Driving & noncommercial motor vehicles","Other","Discretionary","Indefinite"
"Fla. Stat. § 316.302","http://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0300-0399/0316/Sections/0316.302.html","Ineligible for exemption from federal transportation regulations (commercial LCV drivers in intrastate commerce) (3 years for driving offenses)","1","(2)(g),(i)","","See Fla. Stat. § 112.011 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Transportation & commercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"Fla. Stat. § 316.2935","http://www.leg.state.fl.us/statutes/index.cfm?App_mode=Display_Statute&Search_String=&URL=0300-0399/0316/Sections/0316.2935.html","Suspend/revoke vehicle dealer license (air pollution control violations)","1","(1)(a),(b),(c)
(5)(a),(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Motor vehicle sales & service","Other","Discretionary","Indefinite"
"Fla. R. Fam. Law R. Proc. 12.650","https://www.floridabar.org/rules/ctproc/","Override Family Violence Indicator ban on access to Federal Parent Locator Service (relief)","0","(a)
(b)(1)-(7)
(c)(1)-(7)
(d)
(e)
(f)(1),(2),(3)
(g)(1),(2)
(h)(1),(2)
(i)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"65A-1.602, F.A.C.","https://www.flrules.org/gateway/ruleNo.asp?id=65A-1.602","Ineligible for food assistance","1","7","","","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Child Support offenses","Discretionary","Indefinite"
"61D-5.006, F.A.C.","https://www.flrules.org/gateway/ruleNo.asp?id=61D-5.006","Waiver of disqualification based on criminal offenses (occupational racetrack license) (relief)","0","(1)
(2)
(3)","See also Fla. Stat. § 817.37","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Gaming, lottery & racing","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"53ER15-8, F.A.C.","https://www.flrules.org/gateway/ruleNo.asp?id=53ER15-8","Withhold child support arrearages from Cruise for Cash Collect & Win lottery winnings","1","13","See also:
Fla. Stat. § 24.115 (4)
Fla. Stat. § 827.06 (2),(3)","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Gaming, lottery & racing","Child Support offenses","Mandatory/Automatic","Conditional"
"53ER15-44, F.A.C.","https://www.flrules.org/gateway/ruleNo.asp?id=53ER15-44","Withhold child support arrearages from Guy Harvey Heroes Adventure second chance drawing","1","12","See also:
Fla. Stat. § 24.115 (4)
Fla. Stat. § 827.06 (2),(3)","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Gaming, lottery & racing","Child Support offenses","Mandatory/Automatic","Indefinite"
