Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"O.C.G.A. § 42-5-85","https://codes.findlaw.com/ga/title-42-penal-institutions/ga-code-sect-42-5-85.html","Ineligible for inmate special leave/emergency leave/limited leave privileges","1","(a) (1) (A) 
(a) (1) (B) 
(a) (1) (c) 
(a) (1) (D) 
(a) (1) (e) 
(a) (1) (F) 
(a) (1) (G) 
(a) (1) (H) 
(a) (1) (I) 
(a) (1) (J) 
(a) (2) (b)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Law enforcement, corrections & public safety","Crimes of violence, including 'person offenses'","Discretionary (waiver)","Indefinite"
"O.C.G.A. § 40-5-121","https://codes.findlaw.com/ga/title-40-motor-vehicles-and-traffic/ga-code-sect-40-5-121.html","Extend duration of driver's license impairment (conviction for driving while license is suspended/revoked)","1","(b)(1)
(b) (2)
(c)","Triggering offenses specified at:
O.C.G.A. § 40-6-15","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"O.C.G.A. § 35-3-37","https://codes.findlaw.com/ga/title-35-law-enforcement-officers-and-agencies/ga-code-sect-35-3-37.html","Restrict access to records of first time drug offender diversion/drug court disposition (relief)","0","All
","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"O.C.G.A. § 35-3-37","https://codes.findlaw.com/ga/title-35-law-enforcement-officers-and-agencies/ga-code-sect-35-3-37.html","Limit access to criminal record (nonconviction dispositions) (relief)","0","(h) (1)
(A)(i),(ii)
(I)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"O.C.G.A. § 33-23-8","https://codes.findlaw.com/ga/title-33-insurance/ga-code-sect-33-23-8.html","Background check for limited subagent's license","1","(c)","","Links may point to unofficial sources where official sources cannot be directly linked._x000D_
_x000D_
See Ga. Code Ann. § 43-1-19 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"O.C.G.A. § 50-5-83","https://codes.findlaw.com/ga/title-50-state-government/ga-code-sect-50-5-83.html","Background check for public employment in a position where state purchasing cards are issued","1","(b)(12)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"O.C.G.A. § 49-4-22","https://codes.findlaw.com/ga/title-49-social-services/ga-code-sect-49-4-22.html","Ineligible for aid under federal Supplemental Nutrition Assistance Program","1","All","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Controlled substances offenses","Mandatory/Automatic","Time-limited"
"O.C.G.A. § 48-8-62","https://codes.findlaw.com/ga/title-48-revenue-and-taxation/ga-code-sect-48-8-62.html","Suspend/revoke sales/use tax certificate of registration","1","All","Other triggering offenses:
Violation of tit. 48, ch. 8, art. 1 of the Georgia Code ("State Sales and Use Tax")

See also:
O.C.G.A. § 48-8-7","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Sales & service (general)","Other","Discretionary","Indefinite"
"O.C.G.A. § 4-7-8","https://codes.findlaw.com/ga/title-4-animals/ga-code-sect-4-7-8.html","Forfeit illegal hatching eggs/birds","1","All","Other triggering offenses:
Violation of title 4, chapter 7 ("Hatchery Operators and Dealers")","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Agriculture, livestock & food","Other","Discretionary","Indefinite"
"O.C.G.A. § 43-37-2","https://codes.findlaw.com/ga/title-43-professions-and-businesses/ga-code-sect-43-37-2.html","Ineligible for precious metals and gems dealer registration (conviction of employee/stockholder)","1","(d)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Pawnbrokers, jewelers & precious metals","Any felony","Mandatory/Automatic","Time-limited"
"O.C.G.A. § 42-9-39","https://codes.findlaw.com/ga/title-42-penal-institutions/ga-code-sect-42-9-39.html","Ineligible for parole (subsequent life sentence)","1","All","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Law enforcement, corrections & public safety","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Time-limited"
"O.C.G.A. § 42-2-5.2","https://codes.findlaw.com/ga/title-42-penal-institutions/ga-code-sect-42-2-5-2.html","Program Completion and Treatment Certificate (relief)","0","All","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Limitations on imposition of collateral consequences","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"O.C.G.A. § 40-5-70","https://codes.findlaw.com/ga/title-40-motor-vehicles-and-traffic/ga-code-sect-40-5-70.html","Suspend driver's license/vehicle tag (driving without proof of insurance)","2","All","Triggering offenses specified at: 
O.C.G.A. § 40-6-10

Relief:
O.C.G.A. § 40-6-10","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Varies"
"O.C.G.A. § 33-23-26","https://codes.findlaw.com/ga/title-33-insurance/ga-code-sect-33-23-26.html","Background check for insurance agent's certificate of authority","1","(a)
(i)","","Links may point to unofficial sources where official sources cannot be directly linked.

See Ga. Code Ann. § 43-1-19 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"O.C.G.A. § 17-15-7","https://codes.findlaw.com/ga/title-17-criminal-procedure/ga-code-sect-17-15-7.html","Ineligible to receive victim compensation award from Georgia Crime Victims Emergency Fund","1","(h)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Time-limited"
"O.C.G.A. § 16-9-4","https://codes.findlaw.com/ga/title-16-crimes-and-offenses/ga-code-sect-16-9-4.html","Forfeit property used/intended for use in manufacturing/selling/distributing false identification documents","1","(h)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Real estate & property","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Ga. Comp. R. & Regs. r. 110-31-.03","http://rules.sos.ga.gov/gac/110-31-.03","Ineligible for loan under the State Small Business Credit Initiative (conviction of owner/principal)","1","(3)(e)
(4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Government loans & grants","Banking, lending, securities & finance","Sex offenses","Mandatory/Automatic","Indefinite"
"O.C.G.A. § 27-3-26","https://codes.findlaw.com/ga/title-27-game-and-fish/ga-code-sect-27-3-26.html","Suspend hunting/fishing license (bear hunting)","1","(a) (1),(2)
(c) ","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Time-limited"
"O.C.G.A. § 25-1-1","https://codes.findlaw.com/ga/title-25-fire-protection-and-safety/ga-code-sect-25-1-1.html","Revoke license/permit to sell explosives","1","(a), (b)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Firearms, weapons & explosives","Weapons offenses","Mandatory/Automatic","Indefinite"
"O.C.G.A  § 40-16-5","http://codes.findlaw.com/ga/title-40-motor-vehicles-and-traffic/ga-code-sect-40-16-5.html","Background check for commercial driver license","1","(f)","","Links may point to unofficial sources where official sources cannot be directly linked.

See Ga. Code Ann. § 43-1-19 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Transportation & commercial motor vehicles","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Ga. Const. Art. IV, § II, Para. II","http://www.senate.ga.gov/Documents/gaconstitution.pdf","Pardon (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Ga. Const. Art. I, § I, Para. XX","http://www.senate.ga.gov/Documents/gaconstitution.pdf","Prohibit corruption of blood/forfeiture of estate (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Trusts, estates & guardianship","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Ga. Comp. R. & Regs. r. 80-12-4-.05","http://rules.sos.ga.gov/gac/80-12-4-.05","Ineligible to be a principal shareholder in a Merchant Acquirer Limited Purpose Banks","1","(1), (2), (4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Banking, lending, securities & finance","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Ga. Comp. R. & Regs. r. 375-3-3-.16","http://rules.sos.ga.gov/gac/375-3-3-.16","Ineligible for driver's license reinstatement without prepayment of insurance","1","(1)(a), 
(2)","Triggering Offenses Specified at: O.C.G.A. § 40-6-10","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"O.C.G.A. § 45-23-5","https://codes.findlaw.com/ga/title-45-public-officers-and-employees/ga-code-sect-45-23-5.html","Ineligible for public employment (controlled substance offenses)","1","(a), (b)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment","Controlled substances offenses","Mandatory/Automatic","Time-limited"
"O.C.G.A. § 43-38-7.1","https://codes.findlaw.com/ga/title-43-professions-and-businesses/ga-code-sect-43-38-7-1.html","Background check for employment as an unarmed security guard","1","(a)-(d)","See also:
O.C.G.A. § 43-38-9","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Private security, investigation & locksmiths","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"O.C.G.A. § 16-11-132","https://codes.findlaw.com/ga/title-16-crimes-and-offenses/ga-code-sect-16-11-132.html","Ineligible to possess firearm (persons under 18 convicted of crimes of violence)","1","(b)-(d)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Time-limited"
"O.C.G.A. § 15-18-80","https://codes.findlaw.com/ga/title-15-courts/ga-code-sect-15-18-80.html","Pretrial intervention and diversion program","0","(a)-(g)","","Links may point to unofficial sources where official sources cannot be directly linked.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Deferred adjudication & diversion","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Ga. R. Gov'g Admis. Prac. Law A § 10","https://www.gasupreme.us/rules/","Reinstate disbarred attorney (relief)","0","(a)-(f)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Lawyers, judges & advocates","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Ga. Comp. R. & Regs. r. 40-13-13-.07","http://rules.sos.ga.gov/gac/40-13-13-.07","Ineligible for pet dealer registration exemption for dealers of own animals","1","2(g)","Other triggering offenses: 
Cruelty to animals","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Domestic animals","Other","Mandatory/Automatic","Indefinite"
