Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"HRS § 353-22.5","https://www.capitol.hawaii.gov/HRS/search?IW_INDEX=Hawaii%20Revised%20Statutes&IW_FIELD_WEB_STYLE="§353-22.5"","Forfeit moneys received by windfall/earned by a committed person","1","(2)","Additional offense details:
HRS § 709-903 (1)-(3)","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Child Support offenses","Mandatory/Automatic","Indefinite"
"HRS § 354D-13","https://www.capitol.hawaii.gov/HRS/search?IW_INDEX=Hawaii%20Revised%20Statutes&IW_FIELD_WEB_STYLE="§354D-13"","Forfeit wages earned in correctional industries program","1","(a)
(b)
(c)","Additional offense details:
HRS § 709-903 (1)-(3)","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Child Support offenses","Mandatory/Automatic","Indefinite"
"HRE chap. 626, HRS Rule 609","www.courts.state.hi.us/legal_references/rules/rulesofcourt","Disclose conviction evidence to impeach witness at trial","1","(a)-(d)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Judicial evidence & witnesses","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"HRE chap. 626, HRS Rule 803","www.courts.state.hi.us/legal_references/rules/rulesofcourt","Ineligible for hearsay exclusion in court","1","(b)(22)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Judicial evidence & witnesses","Any felony","Mandatory/Automatic","Indefinite"
"HRS § 134-2","https://www.capitol.hawaii.gov/HRS/search?IW_INDEX=Hawaii%20Revised%20Statutes&IW_FIELD_WEB_STYLE="§134-2"","Background check for permit to purchase firearms","1","(a)
(e)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"HRS § 134-26","https://www.capitol.hawaii.gov/HRS/search?IW_INDEX=Hawaii%20Revised%20Statutes&IW_FIELD_WEB_STYLE="§134-26"","Forfeit vehicle used in commission of firearms offense","1","(a)
(b)
(c)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Firearms, weapons & explosives","Weapons offenses","Mandatory/Automatic","Indefinite"
"HRS § 134-3","https://www.capitol.hawaii.gov/HRS/search?IW_INDEX=Hawaii%20Revised%20Statutes&IW_FIELD_WEB_STYLE="§134-3"","Background check to register firearm brought into state","1","(a)(1)-(3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"HRS § 134-51","https://www.capitol.hawaii.gov/HRS/search?IW_INDEX=Hawaii%20Revised%20Statutes&IW_FIELD_WEB_STYLE="§134-51"","Forfeit unauthorized deadly weapon","1","(a)
(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Firearms, weapons & explosives","Weapons offenses","Mandatory/Automatic","Indefinite"
"HRS § 134-6.5","https://www.capitol.hawaii.gov/HRS/search?IW_INDEX=Hawaii%20Revised%20Statutes&IW_FIELD_WEB_STYLE="§134-6.5"","Background check for relief from federal firearms mental health prohibitor","1","(a)
(b)(2)
(d)
(e)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"HRS § 142-12","https://www.capitol.hawaii.gov/HRS/search?IW_INDEX=Hawaii%20Revised%20Statutes&IW_FIELD_WEB_STYLE="§142-12"","Forfeit animal/animal product/container","1","(a)(1)-(3)
(b)(1)-(3)
(c)","Other triggering offenses:
Violations related to animals/brands/fences","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Agriculture, livestock & food","Other","Discretionary","Indefinite"
"HRS § 183D-22","https://www.capitol.hawaii.gov/HRS/search?IW_INDEX=Hawaii%20Revised%20Statutes&IW_FIELD_WEB_STYLE="§183D-22"","Deny/suspend hunting license","1","(a)(1)-(3) 
(c)","HRS § 709-903 (1)-(3)","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Child Support offenses","Mandatory/Automatic","Indefinite"
"HRS § 183D-5","https://www.capitol.hawaii.gov/HRS/search?IW_INDEX=Hawaii%20Revised%20Statutes&IW_FIELD_WEB_STYLE="§183D-5"","Deny/revoke hunting license","2","(f)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Varies"
"HRS § 188-50","https://www.capitol.hawaii.gov/HRS/search?IW_INDEX=Hawaii%20Revised%20Statutes&IW_FIELD_WEB_STYLE="§188-50"","Deny/suspend fishing license","1","(a)
(f)","HRS § 709-903 (1)-(3)","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Child Support offenses","Mandatory/Automatic","Indefinite"
