Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Burns Ind. Code Ann. § 4-38-9-3","","Ineligible to sports wager","1","(6)","","","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","Gaming, lottery & racing","","Mandatory/Automatic","Indefinite"
"Burns Ind. Code Ann. § 22-1-5-13","http://iga.in.gov/legislative/laws/2018/ic/titles/022#22-1-5-13","Background check for employment as home care service worker","1","(b)(1),(2) 
","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Health care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Burns Ind. Code Ann. § 14-11-3-4","http://iga.in.gov/legislative/laws/2018/ic/titles/014#14-11-3-4","Suspend wildlife/natural resources license","1","(a)(1)-(2)
(b)
(c)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Child Support offenses","Mandatory/Automatic","Conditional"
"Burns Ind. Code Ann. § 11-11-2-6","http://iga.in.gov/legislative/laws/2018/ic/titles/011#11-11-2-6","Forfeit proceeds from commission of inmate fraud","1","(g)
(h)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Law enforcement, corrections & public safety","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Burns Ind. Code Ann. § 10-13-4-12","http://iga.in.gov/legislative/laws/2018/ic/titles/010#10-13-4-12","Restrict access/permit challenge to juvenile criminal history information (relief)","0","(b)
(c)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Burns Ind. Code Ann. § 10-13-3-31","http://iga.in.gov/legislative/laws/2018/ic/titles/010#10-13-3-31","Provide individual with copy of their criminal history/opportunity to challenge information in file (relief)","0","(a)
(b)","See also:
Burns Ind. Code Ann. § 10-13-3-33 (b)","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"910 IAC 2-3-3","http://www.in.gov/legislative/iac/T09100/A00020.PDF?","Ineligible for fair housing protections (controlled substance conviction)","1","(c)(5)","","","2023 legislative session and all 2023 regulatory rulemaking","","Housing & residency","Housing benefits & programs","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"68 IAC 13-1-3","http://www.in.gov/legislative/iac/T00680/A00130.PDF?","Forfeit gaming device","1","(Sec. 3)
(a)(1)","Other triggering offenses:
Violations related to gaming/electronic gaming
","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Gaming, lottery & racing","Other","Discretionary","Indefinite"
"45 IAC 8.1-1-25","http://www.in.gov/legislative/iac/T00450/A00081.PDF?","Forfeit bond (conviction of cigarette distributor for cigarette tax violation)","1","(a)
(b)(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Tobacco","Controlled substances offenses","Discretionary","Indefinite"
"210 IAC 6-3-1","http://www.in.gov/legislative/iac/T02100/A00060.PDF?","Background check for employment in juvenile detention facility","1","(c)(3)","See also:
210 IAC 6-2-2","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Law enforcement, corrections & public safety","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"140 IAC 1-4.5-4","http://www.in.gov/legislative/iac/T01400/A00010.PDF?","Suspend driving privileges","1","(b)(1)-(13)
(c)
(d)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"Burns Ind. Code Ann. § 5-2-6.3-3","http://iga.in.gov/legislative/laws/2018/ic/titles/005#5-2-6.3-3","Forfeit income/proceeds resulting from felony conviction","1","(a)(1),(2)","Relief:
Burns Ind. Code Ann. § 5-2-6.3-4 

See also: 
Burns Ind. Code Ann. § 5-2-6.3-6 (a),(b),(c )","","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits|Civil fines, liability, forfeiture & property rights","","Any felony","Mandatory/Automatic","Indefinite"
"Burns Ind. Code Ann. § 5-22-16-6","http://iga.in.gov/legislative/laws/2018/ic/titles/005#5-22-16-6","Ineligible to serve as party to public purchasing contract","1","(e)","","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation","Government procurement contracts & programs","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"Burns Ind. Code Ann. § 35-46-1-17","http://iga.in.gov/legislative/laws/2018/ic/titles/035#35-46-1-17","Restrict access to contact information of persons under protective order","1","All","Additional offense details:
Burns Ind. Code Ann. § 35-46-1-15.1 (1)-(13) 

Other triggering offense:
Violation related to invasions of privacy 

See also:
Burns Ind. Code Ann. § 35-46-1-18
Burns Ind. Code Ann. § 35-46-1-16 (1),(2) 
","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Sensitive information access","Other","Mandatory/Automatic","Indefinite"
"Burns Ind. Code Ann. § 35-38-5-5","http://iga.in.gov/legislative/laws/2018/ic/titles/035#35-38-5-5","Sealing of limited criminal history (relief)","0","(a)
(b)
(c)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Burns Ind. Code Ann. § 34-24-2-2","http://iga.in.gov/legislative/laws/2018/ic/titles/034#34-24-2-2","Forfeit property used in racketeering/corrupt business influence offenses","1","(a)(1)-(4)
(c)
(d)(1)
(e)(1)","Relief:
Burns Ind. Code Ann. § 34-24-2-4 (e ),(f) 

Additional offense details:
Burns Ind. Code Ann. § 35-45-6-2 (1),(2),(3)","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Business contracts (private) & dissolution","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"Burns Ind. Code Ann. § 31-19-8-5","http://iga.in.gov/legislative/laws/2018/ic/titles/031#31-19-8-5","Background check to adopt stepchild/grandchild","1","(a)(1),(2)
(b)(1),(2)
(c)
(d)(1),(2)","See also:
Burns Ind. Code Ann. § 31-19-2-7.5 (b)
Burns Ind. Code Ann. § 31-9-2-22.5 ","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Burns Ind. Code Ann. § 31-19-7-1","http://iga.in.gov/legislative/laws/2018/ic/titles/031#31-19-7-1","Background check to receive written approval for child adoption","1","(a)
(b)
(c)
(d)(1),(2)","See also:
Burns Ind. Code Ann. § 31-9-2-22.5 ","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Burns Ind. Code Ann. § 31-16-15-2.5","http://iga.in.gov/legislative/laws/2018/ic/titles/031#31-16-15-2.5","Impose income withholding order (child support offenses)","1","(a)(1),(2)
(b)(1),(2)
(e)(1),(2),(3)
(f)(1)-(8)","Additional offense details:
Burns Ind. Code Ann. § 35-46-1-5 (a)-(d)","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Child custody, visitation & parental rights","Child Support offenses","Mandatory/Automatic","Conditional"
"Burns Ind. Code Ann. § 9-30-16-3","http://iga.in.gov/legislative/laws/2018/ic/titles/009#9-30-16-3","Specialized driving privilege/stay of suspension of driving privileges (relief)","0","(a)
(e)(1),(2)
(g)
(h)(1),(2)                                                                                                                                      (i)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Burns Ind. Code Ann. § 9-30-13-7","http://iga.in.gov/legislative/laws/2018/ic/titles/009#9-30-13-7","Suspend driving license (delinquency)","1","(a)(1)                           (c)","Additional offense details:
Burns Ind. Code Ann. § 35-46-1-5 (a),(b),(c )","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Child Support offenses","Mandatory/Automatic","Conditional"
"Burns Ind. Code Ann. § 9-25-5-1","http://iga.in.gov/legislative/laws/2018/ic/titles/009#9-25-5-1","Suspend driver's license (failure to provide proof of financial responsibility in force on date of violation)","1","All","See also:
Burns Ind. Code Ann. § 9-25-2-3 (1),(2),(3)","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"Burns Ind. Code Ann. § 5-11-5.5-4","http://iga.in.gov/legislative/laws/2018/ic/titles/005#5-11-5.5-4","Dismiss action for false claim","1","(h)(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Civil litigation & administrative proceedings","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Burns Ind. Code Ann. § 4-33-10-4","http://iga.in.gov/legislative/laws/2018/ic/titles/004#4-33-10-4","Ineligible to enter riverboat casino","1","All","Other triggering offenses:
Violations related to riverboat gambling","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Gaming, lottery & racing","Other","Mandatory/Automatic","Indefinite"
"Burns Ind. Code Ann. § 4-30-11-11","http://iga.in.gov/legislative/laws/2018/ic/titles/004#4-30-11-11","Withhold overdue child support from lottery prize money","1","(b)(3) 
(c)(1)","Additional offense details:
Burns Ind. Code Ann. § 35-46-1-5 (a),(b),(c )","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Gaming, lottery & racing","Child Support offenses","Mandatory/Automatic","Conditional"
"Burns Ind. Code Ann. § 36-10-4-40","http://iga.in.gov/legislative/laws/2018/ic/titles/036#36-10-4-40","Ineligible to be a party to/benefit from public contracts (failure to advertise for and accept public bids).","1","(a)
(b)
(c)","Other triggering offenses:
Violations related to unadvertised contracts","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation","Government procurement contracts & programs","Other","Mandatory/Automatic","Time-limited"
