Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"La. R.S. § 40:1135.8","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-40-sect-1300-13.html","Ineligible to provide air ambulance services","1","(A),(C)(3)
","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","","Sex offenses","Mandatory/Automatic","Indefinite"
"LAC 19:VII.7707","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check for co-investment commitment from Louisiana Seed Capital Program (conviction of management team members)","1","(A)
(C)(1)
Note","","","2023 legislative session and all 2023 regulatory rulemaking","","Government loans & grants","","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 19:VII.7709","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check for match investment commitment from Louisiana Seed Capital Program (conviction of management team members)","1","(A)
(C)(1)
Note","","","2023 legislative session and all 2023 regulatory rulemaking","","Government loans & grants","","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 22:I.316","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check to visit offenders in prison","1","(G)(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 55:III.1921","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny/revoke special identification card","1","(A)(7)","","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"La. R.S.§ 23:291.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-23-sect-291-1.html","Null/void certificate of employability","1","(B)(2), (C)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","","Any felony","Mandatory/Automatic","Indefinite"
"La. C.C.P. Art. 3097","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Ineligible to serve as testamentary executor","1","(A)(3),(6)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Trusts, estates & guardianship","Any felony","Mandatory/Automatic","Indefinite"
"La. C.C.P. Art. 4561","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Ineligible for appointment as curator","1","(A)
(B)(2)(a)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Trusts, estates & guardianship","Any felony","Discretionary (waiver)","Indefinite"
"La. C.Cr.P. Art. 401","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Ineligible to serve as juror","1","(A)(5)","","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Jury service","Any felony","Mandatory/Automatic","Indefinite"
"La. C.Cr.P. Art. 855.1","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Grant new trial for prostitution offenses of human trafficking victim (relief)","0","All","See also:_x000D_
La. C.Cr.P. Art. 851","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
