Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Minn. R. 7870.0750","https://www.revisor.mn.gov/rules/7870.0750","Background check for Class D pari-mutuel horse racetrack license (conviction of applicant/director/trustee/officer/manager/owner)","1","(A)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Minn. R. 7870.0170","https://www.revisor.mn.gov/rules/7870.0170","Background check for Class A racetrack license (pari-mutuel horse racing)","1","(A)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Minn. R. 7864.0210","https://www.revisor.mn.gov/rules/7864.0210","Background check for gambling equipment manufacturing license","1","(5)(B)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Minn. R. 7410.2900","https://www.revisor.mn.gov/rules/7410.2900","Revoke restricted driver's license (violation of restricted license conditions)","1","(1)-(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"Minn. R. 7409.1000","https://www.revisor.mn.gov/rules/7409.1000","Revoke driver's license (crimes of violence involving a vehicle)","1","(A)-(e)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Time-limited"
"Minn. Stat. § 97C.861","https://www.revisor.mn.gov/statutes/cite/97C.861","Revoke fish vendor license","1","(1)-(2)","See also:
Minn. Stat. § 609B.113","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Wildlife, fish & game","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"Minn. Stat. § 97A.421","https://www.revisor.mn.gov/statutes/cite/97A.421","Ineligible for license to take game animals","1","(2)
(2a)
(5)","Additional offense details:
Minn. Stat. § 609B.721","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Time-limited"
"Minn. Stat. § 332.70","https://www.revisor.mn.gov/statutes/cite/332.70","Remove inaccurate conviction record from records of business screening service (relief)","0","(1)(a)-(c)
(2)(1)-(2)
(3)(a)-(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Minn. Stat. § 97A.421","https://www.revisor.mn.gov/statutes/cite/97A.421","Revoke game/fish license (repeat offenders)","1","(1)(a)-(b)
(5)","Additional offense details:
Minn. Stat. § 609B.721
Minn. Stat. § 97A.420","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Indefinite"
"Minn. Stat. § 88.6435","https://www.revisor.mn.gov/statutes/cite/88.6435","Deny/suspend/revoke bough buyer's permit (discretionary for first offense)","1","(3)(a)","Other triggering offenses:
Offenses related to collecting and selling boughs","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Maritime & sea vessels","Other","Discretionary","Indefinite"
"Minn. Stat. § 88.6435","https://www.revisor.mn.gov/statutes/cite/88.6435","Ineligible to obtain bough buyer's permit (mandatory for repeat offenses)","1","(3)(b)","Other triggering offenses:
Offenses related to collecting and selling boughs","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Maritime & sea vessels","Other","Mandatory/Automatic","Time-limited"
"Minn. Stat. § 84.0895","https://www.revisor.mn.gov/statutes/cite/84.0895","Forfeit endangered animal/plant","1","(1), (6)","Other triggering offenses:
Violation of state endangered species law","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Agriculture, livestock & food","Other","Mandatory/Automatic","Indefinite"
"Minn. Stat. § 80E.09","https://www.revisor.mn.gov/statutes/cite/80E.09","Forfeit compensation from manufacturer to motor vehicle dealer for termination of franchise","1","(1)(e)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Motor vehicle sales & service","Any felony","Mandatory/Automatic","Indefinite"
