Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"§ 105.1105 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=105.1105","Suspend/remove from public employment (first drug-related offense)","2","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment","Controlled substances offenses","Mandatory/Automatic","Varies"
"§ 105.1108 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=105.1108","Discharge from public employment (second/subsequent drug-related offense)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment","Controlled substances offenses","Mandatory/Automatic","Conditional"
"§ 105.1112 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=105.1112","Ineligible for public employment (drug-related offenses)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment","Controlled substances offenses","Mandatory/Automatic","Conditional"
"§ 161.825 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=161.825","Background check to serve as board member/employee of educational scholarship granting organization","1","(2)(15) (a)-(d)
(8)(7)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Education & schools","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"§ 191.190 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=191.190","Ineligible for employment with institution under control of Department of Social Services","1","All","Triggering offenses specified at:
§ 191.170 R.S.Mo.

Other triggering offense:
Mistreatment of inmates/providing unfit food to institution/serving as accessory to previous crimes 
(See § 191.170 R.S.Mo. 
§ 191.180 R.S. Mo.
§ 191.190 R.S. Mo.)","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment","Other","Mandatory/Automatic","Indefinite"
"§ 191.663 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=191.663","Notify sexual assault victim of HIV test results","1","5","0","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Health care","Sex offenses","Mandatory/Automatic","Indefinite"
"§ 210.254 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=210.254","Background check for employment as individual caregiver/personnel at child care facility operated by religious organization","1","(1)
(2)(4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Child care providers & youth programs","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"§ 210.278 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=210.278","Background check for employment/volunteering with neighborhood youth development program","1","7","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Child care providers & youth programs","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"§ 210.487 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=210.487","Background check for foster parent license","1","(1)(1)-(3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"§ 210.854 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=210.854","Expunge records of arrest/plea/trial/conviction for criminal nonsupport of child (relief)","0","8","Triggering offense specified at:
§ 568.040 R.S.Mo.","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"§ 211.271 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=211.271","Prohibit classification of juvenile adjudication as criminal conviction (relief)","0","1","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Limitations on imposition of collateral consequences","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"§ 211.321 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=211.321","Seal/limit use of juvenile court records (relief)","0","(1)
(2)(1)(a),(b)
(2)(2)-(4)
(3)
(4)
(5)
(6)
(7)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"§ 213.040 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=213.040","Ineligible for protections against discriminatory housing practices (illegal manufacture/distribution of controlled substances)","1","11","","","2023 legislative session and all 2023 regulatory rulemaking","","Housing & residency","Housing benefits & programs","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"§ 217.415 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=217.415","Ineligible for employment with Department of Corrections","1","All","Other triggering offenses:
Furnishing unfit food to offenders 
(See § 217.400 R.S.Mo.)
Offender abuse 
(See § 217.405 R.S.Mo.)
Duty to report offender abuse 
(See § 217.410 R.S.Mo.)
","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Law enforcement, corrections & public safety","Other","Mandatory/Automatic","Indefinite"
"§ 217.735 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=217.735","Impose lifetime supervision (sex offenders)","1, 2","(1)(1),(2)
(2)
(3)
(4)","0","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Sex offenses","Mandatory/Automatic","Indefinite"
"§ 217.800 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=217.800","Pardon by governor (relief)","0","(1)
(2)
(3)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"§ 253.420 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=253.420","Forfeit specimens recovered in shipwreck excavation","","(1)
(2)
(3)
(4)
","Other triggering offenses:
Violations of salvage/ecavuation requirements 
(See § 253.420 R.S.Mo.)","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Maritime & sea vessels","Other","Mandatory/Automatic","Indefinite"
"§ 260.205 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=260.205","Background check for employment with solid waste disposal area/processing facility","1","21","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Hazardous materials, pesticides, chemicals & waste","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"§ 260.208 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=260.208","Ineligible to provide solid waste management services to subdivision of state government (conviction of owner/officer)","1","All","Triggering offenses specified at:
§ 260.207 R.S.Mo. 

Other triggering offense:
Crimes an element of which involves restraint of trade/price-fixing/intimidation of customers of another person.","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation","Hazardous materials, pesticides, chemicals & waste","Other","Mandatory/Automatic","Time-limited"
"§ 273.340 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=273.340","Revoke animal dealer license","1","All","Other triggering offense:
Purchasing animals from unlicensed dealer 
(See § 273.340 R.S.Mo.)","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Domestic animals","Other","Discretionary","Indefinite"
"§ 30.410 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=30.410","Impose civil liability for refusal to pay warrant","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Civil litigation & administrative proceedings","Public corruption offenses","Mandatory/Automatic","Indefinite"
"§ 302.309 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=302.309","Grant limited driving privilege during license suspension/revocation (relief)","0","(3)-(9)","Triggering offenses specified at:
§ 302.060 R.S.Mo.
§ 577.060 R.S.Mo.","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Driving & noncommercial motor vehicles","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"§ 302.545 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=302.545","Expunge records of person convicted of driving with two-hundredths of one percent of blood alcohol content under age 21 (relief)","0","(1)
(2)(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"§ 304.351 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=304.351","Suspend driving privilege (violation of traffic regulations)","1","(1)
(2)
(3)
(4)(1)
(4)(2)(a)","See also:
§ 556.061 R.S.Mo.","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Time-limited"
"§ 304.585 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=304.585","Revoke driver's license (aggravated endangerment of highway worker)","1","(1),(2),(3),(5)","See also:
§ 302.304 R.S.Mo.","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"§ 311.270 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=311.270","Revoke license for sale of malt liquor only","1","1","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"§ 311.326 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=311.326","Expunge record of first conviction for underage purchase/possession/consumption of intoxicating liquor (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"§ 311.338 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=311.338","Suspend/revoke liquor/wine wholesaler license","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"§ 311.480 R.S.Mo","http://revisor.mo.gov/main/OneSection.aspx?section=311.480","Revoke/suspend license to sell intoxicating liquor","1","(1)
(3)
(5)
(6)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","Controlled substances offenses","Discretionary","Indefinite"
"§ 313.321 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=313.321","Withhold delinquent child support from lottery winnings","1","(3)(1)","Triggering offenses specified at:
§ 568.040 R.S.Mo.","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Gaming, lottery & racing","Child Support offenses","Mandatory/Automatic","Indefinite"
"§ 314.200 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=314.200","Limit effect of prior convictions in occupational/professional licensing decisions (relief)","0","All","See also:
§ 324.029 R.S.Mo.","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Limitations on imposition of collateral consequences","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"§ 319.306 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=319.306","Ineligible for blaster's license","1","(1)
(4)(5),(7)
(17)","Other triggering offense:
Violations of the Missouri Blasting Safety Act
(See § 319.300 R.S.Mo.)

See also:
§ 319.303 R.S.Mo.","See Mo. Rev. Stat. §§ 324.029 & 561.016.1 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Occupational & professional licensure & certification","Firearms, weapons & explosives|Hazardous materials, pesticides, chemicals & waste|Construction, improvement & repair, engineering, plumbing, HVAC, surveying, design & architecture","","",""
"§ 323.080 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=323.080","Suspend registration to sell/handle liquified petroleum gas","1","(1)
(2)","Triggering offenses specified at:
§ 323.110 R.S.Mo.

Other triggering offense:
Violations regulating liquefied petroleum gas 
(See Title 21, Chapter 323)","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Mining, drilling, oil, fuel, energy & resource extraction","Other","Discretionary","Indefinite"
"§ 343.250 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=343.250","Ineligible for public auctioneer license","1","All","Other triggering offense:
Criminal violations of laws regulating auctioneers
(See Mo. Rev. Stat. Title 22, Chapter 343: Public Auctioneers)","See Mo. Rev. Stat. §§ 324.029 & 561.016.1 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Sales & service (general)","Other","Mandatory/Automatic","Time-limited"
"§ 369.109 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=369.109","Remove director of savings/financial institution","1","1","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Banking, lending, securities & finance","Any felony","Discretionary","Indefinite"
"§ 392.160 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=392.160","Impose civil penalty (conviction for transmitting false communications)","1","All","Other triggering offense:
Transmitting false communications

See also:
§ 392.130 R.S.Mo.","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Public utilities & mail","Other","Mandatory/Automatic","Indefinite"
"§ 408.370 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=408.370","Ineligible to recover time charge/delinquency/collection charge on retail time contract","1","(1)
(2)
(3)","Triggering offenses specified at:
§ 408.250 R.S.Mo.

Other triggering offense:
Retail credit sales law violations
(See § 408.260 R.S.Mo. et seq.)","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Sales & service (general)","Other","Mandatory/Automatic","Indefinite"
"§ 411.311 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=411.311","Deny grain warehouse license","1","(1)(1)-(4)","Other triggering offense:
Operation without a license","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Agriculture, livestock & food","Other","Discretionary","Time-limited"
"§ 415.040 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=415.040","Deny new/renewed warehouse/self-storage facility license","1","All","Other triggering offense:
Violation of warehouse/self-storage licensing requirement.

See also:
§ 415.020 R.S.Mo.","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Sales & service (general)","Other","Discretionary","Time-limited"
"§ 421.031 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=421.031","Deny/suspend/revoke bedding manufacturer/renovator/sanitizer license","1","3","Other triggering offense:
Violations of mattresses laws  
(See § 421.005 R.S.Mo. et seq.)","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Sales & service (general)","Other","Discretionary","Indefinite"
"§ 43.546 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=43.546","Background check for employment by state agency/board/commission","1","(1)
(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"§ 43.650 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=43.650","Publish sex offender registration on internet","1","(1)
(2)
(3)
(4)(1)-(10)","","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Sex offenses","Mandatory/Automatic","Indefinite"
"§ 442.606 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=442.606","Notify real property buyer/transferee of owners/residents drug-related convictions","1","(2)(1)-(5)","Triggering offenses specified at:
§ 195.420 R.S.Mo.
§ 195.246 R.S.Mo.
§ 195.233 R.S.Mo.
§ 568.045 R.S.Mo.","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Housing benefits & programs","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"§ 452.350 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=452.350","Withhold delinquent child support from income","1","(2)(1),(2)","See also:
§ 568.040 R.S.Mo.","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Civil litigation & administrative proceedings","Child Support offenses","Mandatory/Automatic","Indefinite"
"§ 452.350 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=452.350","Notify employer of delinquent child support withholding","1","(4)
(9)","See also:
§ 568.040 R.S.Mo.","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Civil litigation & administrative proceedings","Child Support offenses","Mandatory/Automatic","Indefinite"
"§ 453.070 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=453.070","Background check to adopt","1","(1)
(3)
(5)","","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"§ 454.1023 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=454.1023","Notify supreme court clerk of licensed attorney's child support arrearage","1","All","Triggering offenses specified at:
§ 568.040 R.S.Mo.","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Lawyers, judges & advocates","Child Support offenses","Mandatory/Automatic","Indefinite"
"§ 454.1027 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=454.1027","Suspend hunting/fishing license (delinquent child support)","1","(1)
(2)","Triggering offenses specified at:
§ 568.040 R.S.Mo.","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Child Support offenses","Mandatory/Automatic","Conditional"
"§ 454.505 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=454.505","Withhold delinquent child support from employment income","1","(1)(1),(2)","Triggering offenses specified at:
§ 568.040 R.S.Mo.","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Civil litigation & administrative proceedings","Child Support offenses","Mandatory/Automatic","Indefinite"
"§ 454.512 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=454.512","Notify consumer reporting agency of delinquent child support","1","(1)
(2)
(3)","Triggering offenses specified at:
§ 568.040 R.S.Mo.","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Sales & service (general)","Child Support offenses","Mandatory/Automatic","Indefinite"
"§ 476.385 R.S.Mo.","http://revisor.mo.gov/main/OneSection.aspx?section=476.385","Suspend driving privileges for failure to appear in court","1","
4
8","Other triggering offense:
Failure to appear 

See also:
§ 302.341 R.S.Mo.","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Other","Discretionary","Indefinite"
