Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"39-8-302, MCA","https://leg.mt.gov/bills/mca/title_0390/chapter_0080/part_0030/section_0020/0390-0080-0030-0020.html","Deny/suspend/revoke license as professional employer organization/group","1","(1)(f)
(2)","See also:
39-8-102, MCA

Other triggering offenses:
Violations of 39-8-101 to 39-8-403, MCA (Professional Employer Organizations and Groups Licensing)

","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","","Other","Discretionary","Indefinite"
"10-3-112, MCA","https://leg.mt.gov/bills/mca/title_0100/chapter_0030/part_0010/section_0120/0100-0030-0010-0120.html","Ineligible for employment in disaster and emergency services organization","1","(1)","Other triggering offenses:
Offenses relating to subversive act against the United States","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Emergency services, management & fire","Other","Mandatory/Automatic","Indefinite"
"13-1-111, MCA","https://leg.mt.gov/bills/mca/title_0130/chapter_0010/part_0010/section_0110/0130-0010-0010-0110.html","Ineligible to vote","1","(2)","Relief:
46-18-801, MCA
Mont. Const., Art. II § 28
ARM 20.25.901

See also:
13-13-301, MCA
13-2-402, MCA
Mont. Const., Art. IV § 2","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Civil rights & voting","Any felony","Mandatory/Automatic","Time-limited"
"15-16-611, MCA","https://leg.mt.gov/bills/mca/title_0150/chapter_0160/part_0060/section_0110/0150-0160-0060-0110.html","Forfeit proration of the taxes imposed on the property for the tax year","1","(6)","","","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Real estate & property","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
"16-11-144, MCA","https://leg.mt.gov/bills/mca/title_0160/chapter_0110/part_0010/section_0440/0160-0110-0010-0440.html","Forfeit tobacco products possessed in defiance of suspended/revoked license","1","(4)","","","2018 legislative session and all 2018 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Tobacco","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"16-11-146, MCA","https://leg.mt.gov/bills/mca/title_0160/chapter_0110/part_0010/section_0460/0160-0110-0010-0460.html","Impose civil penalty for forged tobacco license stamp or insignia (conviction of forgery)","1","All","","","2018 legislative session and all 2018 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Tobacco","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"16-4-115, MCA","https://leg.mt.gov/bills/mca/title_0160/chapter_0040/part_0010/section_0150/0160-0040-0010-0150.html","Background check for beer/wine retail license","1","(1), (2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"16-4-401, MCA","https://leg.mt.gov/bills/mca/title_0160/chapter_0040/part_0040/section_0010/0160-0040-0040-0010.html","Ineligible to provide funding to liquor license applicant","1","(6)(b)                                                                                                                                           (7)(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","Any felony","Mandatory/Automatic","Time-limited"
"16-6-104, MCA","https://leg.mt.gov/bills/mca/title_0160/chapter_0060/part_0010/section_0040/0160-0060-0010-0040.html","Forfeit alcohol obtained/kept in violation of alcohol code","1","(1)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Alcohol permits, licenses & sales","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"17-8-409, MCA","https://leg.mt.gov/bills/mca/title_0170/chapter_0080/part_0040/section_0090/0170-0080-0040-0090.html","Impose issue preclusion in civil false claims case","1","(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Civil litigation & administrative proceedings","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"18-4-141, MCA","https://leg.mt.gov/bills/mca/title_0180/chapter_0040/part_0010/section_0410/0180-0040-0010-0410.html","Rescind public contract (conviction for contract transfer/collusion/public corruption)","1","(1)-(4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation","Government procurement contracts & programs","Public corruption offenses","Discretionary","Indefinite"
"19-17-405, MCA","https://leg.mt.gov/bills/mca/title_0190/chapter_0170/part_0040/section_0050/0190-0170-0040-0050.html","Ineligible for spousal survivorship benefits from Volunteer Firefighter's Compensation Act","1","(1)(a)","","","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Emergency services, management & fire","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
"19-2-804, MCA","https://leg.mt.gov/bills/mca/title_0190/chapter_0020/part_0080/section_0040/0190-0020-0080-0040.html","Ineligible to receive benefits/payments from public employee retirement system","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Retirement & pensions","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
