Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"RSA 633:8","http://www.gencourt.state.nh.us/rsa/html/LXII/633/633-8.htm","Forfeit items/assets used in the commission of trafficking of persons","1","(I)-(IV)
(V-a)(a)-(b)
(XIV)-(XVII)","Other triggering offenses:
Felonious trafficking of persons","","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Discretionary","Indefinite"
"RSA 265:52","http://www.gencourt.state.nh.us/rsa/html/XXI/265/265-52.htm","Revoke motor vehicle license (failure to stop at railroad grade crossing)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Indefinite"
"RSA 263:65","http://www.gencourt.state.nh.us/rsa/html/XXI/263/263-65.htm","Revoke motor vehicle license (out of state reckless driving conviction)","1","All","Relief:
RSA 263:69 

See also:
RSA 265:79","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Indefinite"
"RSA 263:58","http://www.gencourt.state.nh.us/rsa/html/XXI/263/263-58.htm","Ineligible for motor vehicle license (unauthorized use of a vehicle)","2","(II)","See also: 
RSA 262:12","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Varies"
"RSA 263:57-b","http://www.gencourt.state.nh.us/rsa/html/XXI/263/263-57-b.htm","Grant limited commercial vehicle license (relief)","0","All","0","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Transportation & commercial motor vehicles","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"RSA 263:1-b","http://www.gencourt.state.nh.us/rsa/html/XXI/263/263-1-b.htm","Ineligible for motor vehicle license (12 months for conviction of motor vehicle violation while driving without a license)","1","All","See also:
RSA 263:1","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary (waiver)","Time-limited"
"RSA 214:19-b","http://www.gencourt.state.nh.us/rsa/html/XVIII/214/214-19-b.htm","Revoke hunting license","1","All","Relief:
RSA 214:19-a","","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Discretionary","Indefinite"
"RSA 214:18-b","http://www.gencourt.state.nh.us/rsa/html/XVIII/214/214-18-b.htm","Deny/suspend fish/game license (conviction of fish/game violation in another jurisdiction)","1","All","Relief:
RSA 214:19-a","","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Indefinite"
"RSA 211:17-a","http://www.gencourt.state.nh.us/rsa/html/XVIII/211/211-17-a.htm","Suspend fishing license (one year for allowing smelt shanty/bob-house to remain on public property/public water/property of another without permission)","1","(II)","Relief:
RSA 214:19-a

Other triggering offenses:
Violation of any rule regarding ice fishing","","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Other","Mandatory/Automatic","Time-limited"
"RSA 211:17-a","http://www.gencourt.state.nh.us/rsa/html/XVIII/211/211-17-a.htm","Suspend hunting and fishing privileges (30 days for conviction of failing to mark smelt shanty/bob-house with name/address)","1","(I)","Relief:
RSA 214:19-a

Other triggering offenses:
Violation of any rule regarding ice fishing","","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Other","Discretionary","Time-limited"
