Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"N.J. Stat. § 34:11-56.39","https://codes.findlaw.com/nj/title-34-labor-and-workmens-compensation/nj-st-sect-34-11-56.39.html","Impose administrative penalty (conviction for discrimination in violation of the Prevailing Wage Act)","1","All","Additional offense details:
N.J. Stat. § 34:11-56.25 et seq.

Other triggering offenses:
Offenses related to discrimination in violation of the Prevailing Wage Act","Citation links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Discretionary","Indefinite"
"N.J. Stat. § 34:11-56.66","https://codes.findlaw.com/nj/title-34-labor-and-workmens-compensation/nj-st-sect-34-11-56.66.html","Impose administrative penalty (conviction of retaliation in violation of prevailing wage laws)","1","All","Additional offense details:
N.J. Stat. § 34:11-56.66 et seq.

Other triggering offenses:
Offenses related to retaliation against complaining employer in violation of prevailing wage laws
","Citation links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Discretionary","Indefinite"
"N.J. Stat. § 34:11-56a24","https://codes.findlaw.com/nj/title-34-labor-and-workmens-compensation/nj-st-sect-34-11-56a24.html","Impose administrative penalty (conviction for violation of minimum wage laws)","1","All","Additional offense details:
N.J. Stat. § 34:11-56a et seq.

Other triggering offenses:
Offenses related to minimum wages
","Citation links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Discretionary","Indefinite"
"N.J. Stat. § 2C:35-15","","Impose civil penalty for controlled substances convictions","5","(a)(1)","","","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"N.J. Const., Art. IV, Sec. VII, Para. 12","https://www.njleg.state.nj.us/lawsconstitution/constitution.asp","Publish identity of sex offender (constitutional authorization for statutory requirements)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Sex offenses","Discretionary","Indefinite"
"N.J. Court Rules, R. 3:28-1","https://www.njcourts.gov/attorneys/rules.html?section=Part%203","Deny participation in pretrial intervention program","1","(d)","0","","2022 legislative session and all 2022 regulatory rulemaking","","Judicial Rights","","Any felony|Any misdemeanor","Discretionary","Indefinite"
"N.J. Court Rules, R. 5:8-1","https://www.njcourts.gov/attorneys/rules.html?section=Part%205","Background check for custody of children","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Family & domestic rights","Child custody, visitation & parental rights","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"N.J. Stat. § 10:5-14.1a","https://codes.findlaw.com/nj/title-10-civil-rights/nj-st-sect-10-5-14.1a.html","Impose civil penalty for unlawful discrimination or employment practice","1","All","Additional offense details:
N.J. Stat. § 10:5-26
N.J. Stat. § 10:5-12
N.J. Stat. § 10:5-1 et seq.

Relief:
N.J. Stat. § 10:5-21

Other triggering offenses:
Offenses related to unlawful discrimination
Offenses related to unlawful employment practices
","Citation links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Civil rights & voting","Other","Discretionary","Indefinite"
"N.J. Stat. § 12:5-6","https://codes.findlaw.com/nj/title-12-commerce-and-navigation/nj-st-sect-12-5-6.html","Impose civil penalty for violating waterfront development laws","1","(a)
(b)(3), (4)
(e), (f)","Additional offense details:
N.J. Stat. § 12:5-3
N.J. Stat. § 13:1D-29

Other triggering offenses:
Offenses related to commencing waterfront development without prior approval of Department of Environmental Protection","Citation links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Conservation, environmental sciences & water","Other","Discretionary","Indefinite"
"N.J. Stat. § 12:7-76","https://codes.findlaw.com/nj/title-12-commerce-and-navigation/nj-st-sect-12-7-76.html","Revoke privilege to operate water vessel (careless operation)","1","All","Offenses related to careless operation","Citation links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","Recreational vehicles","Recreational license offenses","Mandatory/Automatic","Conditional"
"N.J. Stat. § 12:7-82","https://codes.findlaw.com/nj/title-12-commerce-and-navigation/nj-st-sect-12-7-82.html","Revoke/suspend privilege to operate power vessel for homicide conviction in connection with operation of water vessel","1","(a),(f)","0","Citation links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","Recreational vehicles","Crimes of violence, including 'person offenses'","Discretionary","Time-limited"
"N.J. Stat. § 13:1E-9","https://codes.findlaw.com/nj/title-13-conservation-and-development-parks-and-reservations/nj-st-sect-13-1e-9.html","Impose civil penalty for violations of hazardous waste laws","1","(b)(3)
(e), (f), (g)","Additional offense details:
N.J. Stat. § 13:1E-1 et seq.

Other triggering offenses:
Offenses related to hazardous waste disposal/handling","Citation links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Hazardous materials, pesticides, chemicals & waste","Other","Discretionary","Indefinite"
"N.J. Stat. § 13:1E-99.54","https://codes.findlaw.com/nj/title-13-conservation-and-development-parks-and-reservations/nj-st-sect-13-1e-99.54.html","Impose civil penalty for violation of toxic packaging laws","1","(a)(3)
(d), (e), (g)","Additional offense details:
N.J. Stat. § 13:1E-1 et seq.
N.J. Stat. § 13:1E-99.44 et seq.

Other triggering offenses:
Offenses related to toxic packaging","Citation links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Hazardous materials, pesticides, chemicals & waste","Other","Discretionary","Indefinite"
"N.J. Stat. § 13:1E-99.89","https://codes.findlaw.com/nj/title-13-conservation-and-development-parks-and-reservations/nj-st-sect-13-1e-99.89.html","Impose civil penalty for violation of mercury switch removal laws","1","(a)(3)
(d), (e), (f)","Additional offense details:
N.J. Stat. § 13:1E-99.82 et seq.

Other triggering offenses:
Offenses related to mercury switch removals","Citation links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Hazardous materials, pesticides, chemicals & waste","Other","Discretionary","Indefinite"
"N.J. Stat. § 13:20-35","https://codes.findlaw.com/nj/title-13-conservation-and-development-parks-and-reservations/nj-st-sect-13-20-35.html","Impose civil penalty (violation of the Highlands Water Protection and Planning Act)","1","(a)(3)
(d),(e),(f)","Additional offense details:
N.J. Stat. § 13:20-30
N.J. Stat. § 13:20-34
N.J. Stat. § 13:20-31
N.J. Stat. § 13:20-32
N.J. Stat. § 2C:43-3
N.J. Stat. § 13:20-1 et seq.

Other triggering offenses:
Offenses related to highlands water protection and plannings","Citation links may point to unofficial sources where official sources cannot be directly linked.","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Conservation, environmental sciences & water","Other","Discretionary","Indefinite"
