Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"1.7.5.12 NMAC","http://164.64.110.134/parts/title01/01.007.0005.html","Relief from conviction for denial of public employment","0","(B)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Public employment","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"10.8.2.23 NMAC","http://164.64.110.134/parts/title10/10.008.0002.html","Background check for concealed handgun license","1","All","Relief:_x000D_
10.8.2.26 NMAC","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"10-262 NMRA","http://public.nmcompcomm.us/nmpublic/gateway.dll/?f=templates&fn=default.htm","Seal juvenile records (relief)","0","(A)
(B)(1)-(4)
(c)(1)
(c)(2)(a)
(c)(2)(b)(i)-(ii)
(c)(2)(c)(i)-(iii)
(D)(1)-(2)
(e)(1)-(4)
(F)(1)-(5)
(G)(1)
(G)(2)(a)-(c)
(G)(3)
","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"11.1.4.10 NMAC","http://164.64.110.134/parts/title11/11.001.0004.html","Background check to work with child performer on movie set","1","(I)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Entertainment, athletics, news & broadcasting","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"15.2.6.9 NMAC","http://164.64.110.134/parts/title15/15.002.0006.html","Ineligible for licensed owner to receive horse race winnings","1","(A)(1)
(B)(1)-(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","Controlled substances offenses","Discretionary","Indefinite"
"16.60.5.11 NMAC","http://164.64.110.134/parts/title16/16.060.0005.html","Deny/suspend/revoke accounting certificate/license","1","(D)(1)-(2)","","See N.M. Stat. Ann. § 28-2-4 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Accounting","Child Support offenses","Mandatory/Automatic","Conditional"
"16.61.7.8 NMAC","http://164.64.110.134/parts/title16/16.061.0007.html","Background check for real estate broker license","1","(A)-(B)","","See N.M. Stat. Ann. § 28-2-4 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Real estate & property","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"18.19.5.70 NMAC","http://164.64.110.134/parts/title18/18.019.0005.html","Limited driver's license (relief)","0","(A)
(B)
(c)(1)(a)-(b)
(c)(7)(a)-(b)
(c)(8)-(9)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Driving & noncommercial motor vehicles","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"20.11.100.36 NMAC","http://164.64.110.134/parts/title20/20.011.0100.html","Ineligible for motor vehicle registration (Albuquerque/Bernalillo County air quality control board)","1","(A)","Other triggering offenses:
Failure to comply with emissions regulations","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"20.11.101.27 NMAC","http://164.64.110.134/parts/title20/20.011.0101.html","Ineligible for motor vehicle registration (city/county joint air quality control board)","1","(A)","Other triggering offenses:
Failure to comply with emissions regulations","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
