Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"NY CLS Labor § 219-c","https://codes.findlaw.com/ny/labor-law/lab-sect-219-c.html","Post public notice of employer violations of the labor law","1","(1)-(2)","Other triggering offenses:
Violations of the Labor law

See also:
NY CLS Labor § 213","Links may direct to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Registration, publication & notification","","Other","Discretionary","Time-limited"
"NY CLS Sup Ct § 602.1","https://www.nycourts.gov/rules/","Obtain ruling that past convictions will not disqualify bar applicant on character & fitness grounds (relief)","0","(o)(1), (5)","","Links may direct to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Lawyers, judges & advocates","N/A (background check, general relief)","N/A - General Relief","Indefinite"
"NY CLS Soc Serv § 145-c","https://codes.findlaw.com/ny/social-services-law/sos-sect-145-c.html","Ineligible for public assistance","4","All","See also:
18 NYCRR § 359.9","Links may direct to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"NY CLS SCPA § 1704","https://codes.findlaw.com/ny/surrogates-court-procedure-act/scp-sect-1704.html","Background check for appointment as permanent guardian of child","1","(8)(a)(v)","","Links may direct to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Family & domestic rights","Child custody, visitation & parental rights","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"NY CLS Pub Health § 1399-ll","https://codes.findlaw.com/ny/public-health-law/pbh-sect-1399-ll.html","Impose civil penalty for misdemeanor cigarette shipment offense","1","(5)","","Links may direct to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Tobacco","Controlled substances offenses","Discretionary","Indefinite"
"NY CLS Pub A § 1204","https://codes.findlaw.com/ny/public-authorities-law/pba-sect-1204.html","Ineligible for appointment as patrolman of New York City Transit Authority police force (felony)","1","(16)","","Links may direct to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Public employment","Any felony","Mandatory/Automatic","Indefinite"
"NY CLS Pers P § 46-f","https://codes.findlaw.com/ny/personal-property-law/pep-sect-46-f.html","Void assignment of earnings for interest rate violation","1","All","Other triggering offenses:
Offenses related to personal property law","Links may direct to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Real estate & property","Other","Mandatory/Automatic","Indefinite"
"NY CLS Pers P § 414","https://www.nysenate.gov/legislation/laws/PEP/414","Forfeit service/additional charges imposed by seller for violations of the Retail Installment Sales Act","1","(1)-(2)","Other triggering offenses:
Willful violations of the Retail Instalment Sales Act","Links may direct to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Sales & service (general)","Other","Mandatory/Automatic","Indefinite"
"NY CLS Penal § 405.05","https://codes.findlaw.com/ny/penal-law/pen-sect-405-05.html","Destroy unlawfully possessed fireworks","1","All","Other triggering offenses:
Unlawful possession of fireworks

Additional offense details:
NY CLS Penal § 270.00
","Links may direct to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Firearms, weapons & explosives","Other","Mandatory/Automatic","Indefinite"
"NY CLS Men Hyg § 31.30","https://codes.findlaw.com/ny/mental-hygiene-law/mhy-sect-31-30.html","Background check for employment/to volunteer in a children's residential care facility","1","(a)(1)","","Links may direct to unofficial sources where direct linking to official sources is unavailable.","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Child care providers & youth programs","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
