Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"N.C. Gen. Stat. § 14-2.3","https://www.ncleg.net/gascripts/statutes/statutelookup.pl?statute=14-2.3","Forfeit gains acquired through felonious activity","1","(a)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Any felony","Mandatory/Automatic","Indefinite"
"N.C. Gen. Stat. § 18C-114","https://www.ncleg.net/gascripts/statutes/statutelookup.pl?statute=18C-114","Background check to serve as director of North Carolina State Lottery Commission","1","(a)(7)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Gaming, lottery & racing","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"N.C. Gen. Stat. § 163-258.27","https://www.ncleg.net/gascripts/statutes/statutelookup.pl?statute=163-258.27","Ineligible for military-overseas ballot","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Military, veterans & national defense","Any felony","Mandatory/Automatic","Indefinite"
"N.C. Gen. Stat. § 161-27","https://www.ncleg.net/gascripts/statutes/statutelookup.pl?statute=161-27","Remove register of deeds from office","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Trusts, estates & guardianship","Public corruption offenses","Mandatory/Automatic","Indefinite"
"N.C. Gen. Stat. § 1-610","https://www.ncleg.net/gascripts/statutes/statutelookup.pl?statute=1-610","Ineligible to serve as qui tam plaintiff","1","(f)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Civil litigation & administrative proceedings","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"N.C. Gen. Stat. § 15A-145.6","https://www.ncleg.net/gascripts/statutes/statutelookup.pl?statute=15A-145.6","Expunge certain prostitution offenses (relief)","0","(a) - ( c ), (f ), (h), (g3), (j)","0","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"N.C. Gen. Stat. § 15A-145.2","https://www.ncleg.net/gascripts/statutes/statutelookup.pl?statute=15A-145.2","Expunge records of underage first offenders of drug offenses (relief)","0","(a)-(c)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"N.C. Gen. Stat. § 14-415.26","https://www.ncleg.net/gascripts/statutes/statutelookup.pl?statute=14-415.26","Ineligible for concealed handgun certification as retired law enforcement officer","1","(a)(1)-(3)
(d)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"N.C. Gen. Stat. § 14-415.16","https://www.ncleg.net/gascripts/statutes/statutelookup.pl?statute=14-415.16","Background check for renewal of concealed handgun permit","1","(c)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"N.C. Gen. Stat. § 14-415.1","https://www.ncleg.net/gascripts/statutes/statutelookup.pl?statute=14-415.1","Ineligible to own/possess weapon","1","(a)-(b)
(d)-(e)","0","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Any felony","Mandatory/Automatic","Indefinite"
