Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"ORC Ann. 3123.88","http://codes.ohio.gov/orc/3123.88","Forfeit unclaimed funds held by state (child support arrearages)","1","(A)-(D)","Additional offense details:
ORC Ann. 2919.21 (A),(B),(G)","","2017 legislative session and all 2017 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","","Mandatory/Automatic","Indefinite"
"ORC Ann. 2909.15","http://codes.ohio.gov/orc/2909.15","Register as arson offender","1","(C)(1),(2)","","","2022 legislative session and all 2022 regulatory rulemaking","","Registration, publication & notification","","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
"OAC Ann. 3745-4-03","http://codes.ohio.gov/oac/3745-4","Ineligible for employment as level 2/level 3 qualified data collector (criminal trespass)","1","(B)(3)","Other triggering offense:
Criminal trespass","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Conservation, environmental sciences & water","Other","Mandatory/Automatic","Time-limited"
"OAC Ann. 109:6-1-02","http://codes.ohio.gov/oac/109%3A6-1","Background check for employment at waste treatment and disposal facility","1","(E)(3)-(5)","0","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Hazardous materials, pesticides, chemicals & waste","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Ohio Sup. R. Standard 4","http://www.supremecourt.ohio.gov/LegalResources/Rules/practice/rulesofpractice.pdf","Ineligible for jury service (Ohio Superior Court)","1","(E)","","","2022 legislative session and all 2022 regulatory rulemaking","","Political & civic participation","Jury service","Any felony","Mandatory/Automatic","Indefinite"
"ORC Ann. 3123.89","http://codes.ohio.gov/orc/3123.89","Withhold child support arrearages from lottery prize award","1","(A)
(B)(1)-(3)
(C)","Additional offense details:
ORC Ann. 2919.21 (A),(B),(G)","","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Gaming, lottery & racing","Child Support offenses","Mandatory/Automatic","Indefinite"
"ORC Ann. 3109.42","http://codes.ohio.gov/orc/3109.42","Deny custody order designating parent as residential parent/legal custodian (killing other parent)","1","All","See also:
ORC Ann. 3109.47 (A),(B)","","2022 legislative session and all 2022 regulatory rulemaking","","Family & domestic rights","Child custody, visitation & parental rights","Crimes of violence, including 'person offenses'","Discretionary (waiver)","Indefinite"
"ORC Ann. 2961.22","http://codes.ohio.gov/orc/2961.22","Certificate of achievement and employability (relief)","0","(A)(1),(2)
(B)(1),(2)
(C)(1)-(3)","Additional offense details:
ORC Ann. 2961.23 (A)

See also:
ORC Ann. 2961.21 (A),(B),(D)","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Limitations on imposition of collateral consequences","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"ORC Ann. 2953.73","http://codes.ohio.gov/orc/2953.73","Postconviction DNA testing (relief)","0","All","Additional offense details:
ORC Ann. 2953.74 (A)-(E)

See also:
ORC Ann. 2953.71 (F),(L)","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"ORC Ann. 2950.15","http://codes.ohio.gov/orc/2950.15","Deny motion to terminate sex offender registration requirements (child support arrearages)","1","(G)(3),(7)","Additional offense details:
ORC Ann. 2919.21 (A),(B),(G)","","2022 legislative session and all 2022 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Child Support offenses","Discretionary","Indefinite"
