Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"ORS § 468.962","https://www.oregonlegislature.gov/bills_laws/ors/ors468.html","Notify Department of Revenue of criminal conviction","1","All","Additional offense details:
ORS §§ 468.922 to 468.956

Other triggering offenses:
Environmental crimes
","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Other","Mandatory/Automatic","Indefinite"
"Or. Admin. R. 839-017-0280","https://secure.sos.state.or.us/oard/view.action?ruleNumber=839-017-0280","Ineligible to work for private employment agency","1","(1), (2)
(3)(j)","Additional offense details:
ORS § 658.205(2)","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","","Any felony","Mandatory/Automatic","Indefinite"
"ORS § 323.480","https://www.oregonlegislature.gov/bills_laws/ors/ors323.html","Impose civil penalty (violations of cigarette tax code)","1","All","Additional offense details:
ORS §§ 323.005 to 323.482 

Other triggering offenses:
Offenses related to cigarette taxes
","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Other","Discretionary","Indefinite"
"ORS § 650.380","https://www.oregonlegislature.gov/bills_laws/ors/ors650.html","Deny to be served as vehicle dealer's successor in interest","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Motor vehicle sales & service","Any felony","Discretionary","Indefinite"
"ORS § 471.405","https://www.oregonlegislature.gov/bills_laws/ors/ors471.html","Forfeit unlawfully purchased/imported alcoholic beverages","1","(5)","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Alcohol permits, licenses & sales","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"Or. Admin. R. 836-072-0001","https://secure.sos.state.or.us/oard/view.action?ruleNumber=836-072-0001","Background check for Adjuster/Insurance consultant/Insurance producer/Viatical settlement license","1","All","Relief:
OAR 836-072-0035

See also:
OAR 836-072-0010
OAR 836-072-0015
OAR 836-072-0020
OAR 836-072-0030
OAR 836-072-0040","See Or. Rev. Stat. 670.280 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Or. Admin. R. 801-030-0020","https://secure.sos.state.or.us/oard/view.action?ruleNumber=801-030-0020","Suspend accountant's license/certificate/permit to practice","1","3","Additional offense details:
ORS § 163.555(1), (5)","See Or. Rev. Stat. 670.280 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Accounting","Child Support offenses","Mandatory/Automatic","Conditional"
"Or. Admin. R. 603-052-1230","https://secure.sos.state.or.us/oard/view.action?ruleNumber=603-052-1230","Impose civil penalty for violation of Phytophthora ramorum quarantine","1","(1), (9)","Additional offense details:
ORS § 561.990(4)

Other triggering offenses:
Offenses related to quarantines","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Agriculture, livestock & food","Other","Discretionary","Indefinite"
"Or. Admin. R. 603-052-1020","https://secure.sos.state.or.us/oard/view.action?ruleNumber=603-052-1020","Impose civil penalty for violation of powdery mildew of hops quarantine","1","All","Additional offense details:
ORS § 561.990(4)

Other triggering offenses:
Offenses related to quarantines","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Agriculture, livestock & food","Other","Discretionary","Indefinite"
"Or. Admin. R. 333-540-0025","https://secure.sos.state.or.us/oard/view.action?ruleNumber=333-540-0025","Background check for registration in caregiver registry (self-disclosure)","1","(1)(g)
(3)(a)","See also:
OAR 333-540-0035
OAR 333-540-0045","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Health care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"ORS § 97.931","https://www.oregonlegislature.gov/bills_laws/ors/ors097.html","Background check for salesperson registration for endowment care cemeteries/preconstruction sales/prearrangement sales","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Funeral services","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"ORS § 90.304","https://www.oregonlegislature.gov/bills_laws/ors/ors090.html","Background check for tenant application","1","(2)","See also:
ORS § 90.295","","2023 legislative session and all 2023 regulatory rulemaking","","Housing & residency","Real estate & property","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"ORS § 411.119","https://www.oregonlegislature.gov/bills_laws/ors/ors411.html","Suspend supplemental nutrition assistance","1","All","Additional offense details:
ORS § 475.752(1)
","","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Controlled substances offenses","Discretionary","Indefinite"
"ORS § 346.300","https://www.oregonlegislature.gov/bills_laws/ors/ors346.html","Background check to serve as employee/volunteer for Commission for the Blind","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"ORS § 319.628","https://www.oregonlegislature.gov/bills_laws/ors/ors319.html","Deny fuel seller license","1","(1)(f)
(4)","Other triggering offenses:
Offenses related to the sale/use/distribution of use fuel","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Mining, drilling, oil, fuel, energy & resource extraction","Other","Discretionary","Indefinite"
