Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"58 Pa. Code § 93.13","https://www.pacode.com/secure/data/058//chapter93//s93.13.html","Deny approval to issue temporary boat registrations","1","(j)","Additional offense details:
30 Pa.C.S. § 923

Other triggering offenses:
Violations of Fish and Boat Code

See also:
58 Pa. Code § 51.4","Links may direct to unofficial sources where official sources are unavailable

See 18 Pa. Cons. Stat. § 9124 for general limitations on the denial, suspension, or revocation of occupational and professional licensure on the basis of conviction.","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Maritime & sea vessels","Other","Discretionary","Indefinite"
"55 Pa. Code § 141.21","https://www.pacode.com/secure/data/055//chapter141//s141.21.html","Ineligible for TANF/GA cash assistance payments","1","(u)","","Links may direct to unofficial sources where official sources are unavailable","2022 legislative session and all 2022 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"53 P.S. § 4737","https://codes.findlaw.com/pa/title-53-ps-municipal-and-quasimunicipal-corporations/pa-st-sect-4737.html","Revoke dance hall license (municipality)","1","All","Additional offense details:
53 P.S. § 4742

Other triggering offenses:
Violations of dance hall laws","Links may direct to unofficial sources where official sources are unavailable","2022 legislative session and all 2022 regulatory rulemaking","","Business licensure & participation","Entertainment, athletics, news & broadcasting","Other","Discretionary","Indefinite"
"43 P.S. § 802","https://codes.findlaw.com/pa/title-43-ps-labor/pa-st-sect-802.html","Ineligible for unemployment benefits (1 year for illegal receipt of benefits)","1","(g)","","Links may direct to unofficial sources where official sources are unavailable","2022 legislative session and all 2022 regulatory rulemaking","","Government benefits","Public service programs (government-sponsored)","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"40 P.S. § 991.1625","https://codes.findlaw.com/pa/title-40-ps-insurance/pa-st-sect-991-1625.html","Pay civil penalty (unlawful representation of unlicensed insurer by surplus lines licensee)","1","(a)
(b) 
(c)","Other triggering offense:
Representation of nonadmitted insurer","Links may direct to unofficial sources where official sources are unavailable","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Insurance sales & services","Other","Discretionary","Indefinite"
"75 Pa.C.S. § 3808","http://www.legis.state.pa.us/CFDOCS/LEGIS/LI/consCheck.cfm?txtType=HTM&ttl=75","Revoke ignition interlock restricted driver's license (driving vehicle without required ignition interlock system)","1","(a)(1),(2)
(b)(1)
(c)(2)","","Links may direct to unofficial sources where official sources are unavailable","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"75 Pa.C.S. § 3808","http://www.legis.state.pa.us/CFDOCS/LEGIS/LI/consCheck.cfm?txtType=HTM&ttl=75","Suspend motor vehicle operating privileges (1 year after second conviction for operating vehicle without required ignition interlock system)","1","(a)(1),(2)
(b)
(c)(2)","See also:
75 Pa.C.S. § 3805","Links may direct to unofficial sources where official sources are unavailable","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"75 Pa.C.S. § 1538","http://www.legis.state.pa.us/CFDOCS/LEGIS/LI/consCheck.cfm?txtType=HTM&ttl=75","Suspend motor vehicle operating privileges (juvenile excessive speeding conviction)","1","(e)(1),(2)","","Links may direct to unofficial sources where official sources are unavailable","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"72 P.S. § 1704","https://codes.findlaw.com/pa/title-72-ps-taxation-and-fiscal-affairs/pa-st-sect-1704.html","Ineligible to serve as corporate officer","1","(a)
(b)(1),(2)","Other triggering offenses:
Violations of reporting requirements","Links may direct to unofficial sources where official sources are unavailable","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Tax penalties & benefits","Other","Discretionary","Indefinite"
"63 P.S. § 856","https://codes.findlaw.com/pa/title-63-ps-professions-and-occupations-state-licensed/pa-st-sect-856.html","Deny/suspend/revoke motor vehicle physical damage appraiser license","1","5","See also:
31 Pa. Code § 62.2","Links may direct to unofficial sources where official sources are unavailable

See 18 Pa. Cons. Stat. § 9124 for general limitations on the denial, suspension, or revocation of occupational and professional licensure on the basis of conviction.","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Motor vehicle sales & service","Any felony","Discretionary","Indefinite"
