Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"R.I. Gen. Laws § 12-25-19","http://webserver.rilin.state.ri.us/Statutes/TITLE12/12-25/12-25-19.HTM","Ineligible for victim compensation award (violent crimes)","1","(d)(1)","See also:
R.I. Gen. Laws § 12-25-26
CRIR 37-000-003(1.08)","","2022 legislative session and all 2022 regulatory rulemaking","","Government benefits","","Crimes of violence, including 'person offenses'","Discretionary","Indefinite"
"R.I. Gen. Laws § 5-5-3","http://webserver.rilin.state.ri.us/Statutes/TITLE5/5-5/5-5-3.HTM","Ineligible for a private detective license","1","(2)","Background check:
R.I. Gen. Laws § 5-5-4","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Private security, investigation & locksmiths","Any felony","Mandatory/Automatic","Indefinite"
"R.I. Gen. Laws § 4-20-8","http://webserver.rilin.state.ri.us/Statutes/TITLE4/4-20/4-20-8.HTM","Ineligible to participate in rodeo activity (cruelty to animals)","1","All","Other triggering offenses:
Offenses related to animal cruelty while participating in any rodeo","","2022 legislative session and all 2022 regulatory rulemaking","","Political & civic participation","Entertainment, athletics, news & broadcasting","Other","Mandatory/Automatic","Indefinite"
"R.I. Gen. Laws § 4-1-2","http://webserver.rilin.state.ri.us/Statutes/TITLE4/4-1/4-1-2.HTM","Forfeit rights to animal (overwork/mistreatment/failure to feed animal)","1","All","Other triggering offenses:
Offenses related to overwork/mistreatment/failure to feed animal","","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Domestic animals","Other","Discretionary","Indefinite"
"R.I. Gen. Laws § 31-32-6","http://webserver.rilin.state.ri.us/Statutes/TITLE31/31-32/31-32-6.HTM","Ineligible for driver's license","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Conditional"
"R.I. Gen. Laws § 31-32-4","http://webserver.rilin.state.ri.us/Statutes/TITLE31/31-32/31-32-4.HTM","Suspend vehicle registration (discretionary)","1","(b)","","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Indefinite"
"R.I. Gen. Laws § 31-26-1","http://webserver.rilin.state.ri.us/Statutes/TITLE31/31-26/31-26-1.HTM","Revoke motor vehicle license (failure to stop following an accident causing injury)","1","(a), (b)","","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"R.I. Gen. Laws § 31-11-8","http://webserver.rilin.state.ri.us/Statutes/TITLE31/31-11/31-11-8.HTM","Suspend driver's license (order to stop by a uniformed police officer operating a marked police vehicle)","1","(b)","Additional offense details:
R.I. Gen. Laws § 31-27-4
","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"R.I. Gen. Laws § 31-10-6.2","http://webserver.rilin.state.ri.us/Statutes/TITLE31/31-10/31-10-6.2.HTM","Ineligible for limited provisional driver's license (nonresident)","1","(3)","","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"R.I. Gen. Laws § 14-1-40","http://webserver.rilin.state.ri.us/Statutes/TITLE14/14-1/14-1-40.HTM","Limit use of juvenile conviction to impose collateral consequence (relief)","0","All","","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Limitations on imposition of collateral consequences","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"R.I. Gen. Laws § 13-8.2-1","http://webserver.rilin.state.ri.us/Statutes/TITLE13/13-8.2/13-8.2-1.HTM","Issue certificate of recovery and re-entry (relief)","0","All","See also:
R.I. Gen. Laws § 13-8.2-2 (4), (8)
R.I. Gen. Laws § 13-8.2-4","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Limitations on imposition of collateral consequences","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"R.I. Gen. Laws § 11-47-5","http://webserver.rilin.state.ri.us/Statutes/TITLE11/11-47/11-47-5.HTM","Ineligible to purchase/own/carry/transport/possess firearm","2","All","Additional offense details:
R.I. Gen. Laws § 11-5-3
R.I. Gen. Laws § 12-29-2
R.I. Gen. Laws § 12-29-5
R.I. Gen. Laws § 11-45-1
R.I. Gen. Laws § 11-52-4.2

Background check:
R.I. Gen. Laws § 11-47-35
R.I. Gen. Laws § 11-47-35.2","","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Varies"
"R.I. Gen. Laws § 11-44-5","http://webserver.rilin.state.ri.us/Statutes/TITLE11/11-44/11-44-5.HTM","Deny/revoke/suspend hunting, trapping  or fishing license","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Time-limited"
"R.I. Gen. Laws § 10-1-5","http://webserver.rilin.state.ri.us/Statutes/TITLE10/10-1/10-1-5.HTM","Admit evidence of prior conviction of prostitution or lewdness to prove nuisance","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Judicial Rights","Judicial evidence & witnesses","Sex offenses","Mandatory/Automatic","Indefinite"
"R.I. Gen. Laws § 36-4-56","http://webserver.rilin.state.ri.us/Statutes/TITLE36/36-4/36-4-56.HTM","Remove from employment in classified state civil service (violations of laws governing merit system)","1","All","Other triggering offenses:
Violations of rules/regulations related to the merit system
Violations of rules/regulations established by the Division of Personnel Administration
","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Public employment","Other","Mandatory/Automatic","Indefinite"
"R.I. Gen. Laws § 31-22-13","http://webserver.rilin.state.ri.us/Statutes/TITLE31/31-22/31-22-13.HTM","Suspend driver's license and registration (abandoned vehicles)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Conditional"
"R.I. Gen. Laws § 31-10.3-31","http://webserver.rilin.state.ri.us/Statutes/TITLE31/31-10.3/31-10.3-31.HTM","Ineligible for commercial motor vehicle operator's license (railroad-highway grade crossing violations)","1","(l)(2)","","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Transportation & commercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"R.I. Gen. Laws § 28-6.14-1","http://webserver.rilin.state.ri.us/Statutes/TITLE28/28-6.14/28-6.14-1.HTM","Ineligible for employer to question conviction of a crime to applicant seeking employment (lack of federal/state law/regulation creating mandatory/presumptive disqulaification from employment based on criminal conviction)(relief)","0","(a)(1)","","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Limitations on imposition of collateral consequences","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"R.I. Gen. Laws § 28-44-24","http://webserver.rilin.state.ri.us/Statutes/TITLE28/28-44/28-44-24.HTM","Ineligible for unemployment benefits","1","(a)","","","2022 legislative session and all 2022 regulatory rulemaking","","Government benefits","Social Security, SSI, unemployment & disability benefits","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"R.I. Gen. Laws § 27-54.1-2","http://webserver.rilin.state.ri.us/Statutes/TITLE27/27-54.1/27-54.1-2.HTM","Ineligible to be employed in the insurance business","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Insurance sales & services","Any felony","Discretionary (waiver)","Indefinite"
"R.I. Gen. Laws § 23-17.8-10.1","http://webserver.rilin.state.ri.us/Statutes/TITLE23/23-17.8/23-17.8-10.1.HTM","Revoke health care license/certification","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Health care","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
"R.I. Gen. Laws § 17-9.2-3","http://webserver.rilin.state.ri.us/Statutes/TITLE17/17-9.2/17-9.2-3.HTM","Restore voting rights upon release from incarceration for felony offense (relief)","0","All","See also:
CRIR 35-000-016","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Civil rights & voting","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"R.I. Gen. Laws § 17-25.3-4","http://webserver.rilin.state.ri.us/Statutes/TITLE17/17-25.3/17-25.3-4.HTM","Impose civil penalty (violations related to election expenditures and electioneering communications)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Public office","Election-related offenses","Discretionary","Indefinite"
"R.I. Gen. Laws § 13-8-30","http://webserver.rilin.state.ri.us/Statutes/TITLE13/13-8/13-8-30.HTM","Community supervision for child molestation offenses","2","All","Additional offense details:
R.I. Gen. Laws § 11-37-8.1
R.I. Gen. Laws § 11-37-8.3

See also:
R.I. Gen. Laws § 11-37-8.2.1 (b)","","2022 legislative session and all 2022 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Sex offenses","Mandatory/Automatic","Indefinite"
"R.I. Gen. Laws § 12-1-17","http://webserver.rilin.state.ri.us/Statutes/TITLE12/12-1/12-1-17.HTM","Background check to serve as employee/staff/teacher/volunteer in religious organzation","1","All","See also:
R.I. Gen. Laws § 23-17-37
R.I. Gen. Laws § 11-37-1 through R.I. Gen. Laws § 11-37-8.4
R.I. Gen. Laws § 11-9-1 through R.I. Gen. Laws § 11-9-5.3","","2022 legislative session and all 2022 regulatory rulemaking","","Employment & volunteering","Teachers & instructors","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"R.I. Gen. Laws § 11-47-63","http://webserver.rilin.state.ri.us/Statutes/TITLE11/11-47/11-47-63.HTM","Allow possession of firearms (relief)","0","All","","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Firearms, weapons & explosives","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"R.I. Gen. Laws § 11-37.1-21","http://webserver.rilin.state.ri.us/Statutes/TITLE11/11-37.1/11-37.1-21.HTM","Notify law enforcement of presence/identity of sexual offenders at shelter/homeless shelter","1","(c), (d)","","","2022 legislative session and all 2022 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Sex offenses","Mandatory/Automatic","Indefinite"
"RI Dist. Ct. Constables Rule 2","","Background check for constable's license (self-disclosure)","1","(b)","","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Law enforcement, corrections & public safety","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"R.I. Gen. Laws § 7-11-212","http://webserver.rilin.state.ri.us/Statutes/TITLE7/7-11/7-11-212.HTM","Deny/suspend/revoke license of a securities broker dealer/sales representative/investment adviser/investment adviser representative","1","(b)(4)","See also:
230 RICR 050-05-3

 ","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Banking, lending, securities & finance","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"R.I. Gen. Laws § 31-11-3","http://webserver.rilin.state.ri.us/Statutes/TITLE31/31-11/31-11-3.HTM","Suspend/revoke driver's license (out of state convictions)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"R.I. Gen. Laws § 31-11-18.1","http://webserver.rilin.state.ri.us/Statutes/TITLE31/31-11/31-11-18.1.HTM","Deny/suspend/revoke driver license (driving without a license/license suspended for certain violations)","2","(a), (b)","","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Varies"
"R.I. Gen. Laws § 31-11-18","http://webserver.rilin.state.ri.us/Statutes/TITLE31/31-11/31-11-18.HTM","Revoke driver's license (driving with a suspended license - 3rd violation)","1","(b)","","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"R.I. Gen. Laws § 31-11-18","http://webserver.rilin.state.ri.us/Statutes/TITLE31/31-11/31-11-18.HTM","Suspend driver's license (additional time for driving with a suspended license)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"R.I. Gen. Laws § 31-10.3-31","http://webserver.rilin.state.ri.us/Statutes/TITLE31/31-10.3/31-10.3-31.HTM","Suspend commercial motor vehicle operator's license (1 year for reckless driving resulting in injury/death)","1","(d)","Additional offense details:
R.I. Gen. Laws § 31-27-1
R.I. Gen. Laws § 31-27-1.1
","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Transportation & commercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"R.I. Gen. Laws § 28-6.14-1","http://webserver.rilin.state.ri.us/Statutes/TITLE28/28-6.14/28-6.14-1.HTM","Ineligible for employer to question conviction of a crime to applicant seeking employment (lack of required standard fidelity bond/equivalent bond for employment)(relief)","0","(a)(2)","","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Limitations on imposition of collateral consequences","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"R.I. Gen. Laws § 27-9-7.1","http://webserver.rilin.state.ri.us/Statutes/TITLE27/27-9/27-9-7.1.HTM","Ineligible for certificate of completion of a motor vehicle accident prevention course","1","(a), (c)","","","2022 legislative session and all 2022 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"R.I. Gen. Laws § 20-7-12.1","http://webserver.rilin.state.ri.us/Statutes/TITLE20/20-7/20-7-12.1.HTM","Revoke lobster fishing license (unauthorized possession/transfer of pots)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Time-limited"
"R.I. Gen. Laws § 20-2-8","http://webserver.rilin.state.ri.us/Statutes/TITLE20/20-2/20-2-8.HTM","Ineligible for fish and wildlife license (false statement in application)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"R.I. Gen. Laws § 20-16-8","http://webserver.rilin.state.ri.us/Statutes/TITLE20/20-16/20-16-8.HTM","Revoke trapping license for fur-bearing animals","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Time-limited"
"R.I. Gen. Laws § 15-5-24.5","http://webserver.rilin.state.ri.us/Statutes/TITLE15/15-5/15-5-24.5.HTM","Ineligible for parental visitation with child (murder of other parent)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Family & domestic rights","Child custody, visitation & parental rights","Crimes of violence, including 'person offenses'","Discretionary (waiver)","Indefinite"
"R.I. Gen. Laws § 12-25.1-3","http://webserver.rilin.state.ri.us/Statutes/TITLE12/12-25.1/12-25.1-3.HTM","Forfeit contractual money and payments to criminal royalties fund","1","All","See also:
R.I. Gen. Laws § 12-25.1-2 (6)","","2022 legislative session and all 2022 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Business contracts (private) & dissolution","Any felony","Mandatory/Automatic","Indefinite"
"R.I. Gen. Laws § 11-37.1-9","http://webserver.rilin.state.ri.us/Statutes/TITLE11/11-37.1/11-37.1-9.HTM","Notify law enforcement of change of address (sex offender)","1","All","","","2022 legislative session and all 2022 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Sex offenses","Mandatory/Automatic","Time-limited"
"R.I. Gen. Laws § 11-34.1-5","http://webserver.rilin.state.ri.us/Statutes/TITLE11/11-34.1/11-34.1-5.HTM","Expunge record for prostitution conviction (relief)","0","All","","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"RI Sup. Ct. Art. III, Rule 12","https://www.courts.ri.gov/Courts/SupremeCourt/Supreme%20Court%20Rules/Supreme-Rules-Article3.pdf","Suspend attorney's license to practice","1","(a)-(c)","Relief:
Sup. Ct. Art. III, Rule 16","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Lawyers, judges & advocates","Any felony","Discretionary","Indefinite"
"R.I. Gen. Laws § 9-5-10.1","http://webserver.rilin.state.ri.us/Statutes/TITLE9/9-5/9-5-10.1.HTM","Background check for constable certification","1","(b)(1)","Background check:
R.I. Gen. Laws § 9-5-10.4","","2022 legislative session and all 2022 regulatory rulemaking","","Occupational & professional licensure & certification","Law enforcement, corrections & public safety","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
