Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"S.D. Codified Laws § 34-37-15","","Deny/suspend/revoke wholesale/retail fireworks license (second/subsequent convictions)","1","All","Other triggering offenses:
Violations of fireworks regulations 
(See S.D. Codified Laws Tit. 34, Ch. 34 )","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Firearms, weapons & explosives","Other","Discretionary","Indefinite"
"S.D. Codified Laws § 32-40-3","","Background check for transportation network company driver","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Transportation & commercial motor vehicles","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"S.D. Codified Laws § 32-35-48","http://sdlegislature.gov/statutes/Codified_laws/DisplayStatute.aspx?Statute=32-35-48&Type=Statute","Deny license/registration until proof of financial responsibility for the future","1","All","Relief:
S.D. Codified Laws § 32-35-95 (1)-(3)","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Conditional"
"S.D. Codified Laws § 32-12-56.2","","Suspend/revoke/disqualify driver license/driving privilege (mandatory/qualifying out-of-state convictions)","1","All","See also:
S.D. Codified Laws § 32-12-56","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Other","Mandatory/Automatic","Indefinite"
"S.D. Codified Laws § 32-12-49","","Suspend/revoke driving privilege/license for motor vehicle offense convictions within past four years","1","(1)
(2)
(4)
(5)","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Discretionary","Indefinite"
"S.D. Codified Laws § 32-12-12.3","http://sdlegislature.gov/statutes/Codified_laws/DisplayStatute.aspx?Statute=32-12-12.3&Type=Statute","Ineligible to upgrade from a restricted minor's vehicle/motorcycle permit to a vehicle/motorcycle operators license","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"S.D. Codified Laws § 31-28-23.1","http://sdlegislature.gov/statutes/Codified_laws/DisplayStatute.aspx?Statute=31-28-23.1&Type=Statute","Impose civil penalty (tampering with highway sign/control device)","1","All","Other triggering offenses:
Alteration/defacement of official signs/devices
(See S.D. Codified Laws § 31-28-23)","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Construction, improvement & repair, engineering, plumbing, HVAC, surveying, design & architecture","Other","Discretionary","Indefinite"
"S.D. Codified Laws § 24-14-8","","Exceptional pardon (relief)","0","All","Conviction self-disclosure notification requirement:
S.D. Codified Laws § 24-14-9 

Additional offense details:
S.D. Codified Laws § 24-14-11","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"S.D. Codified Laws § 23-7-56","","Background check for renewal of enhanced permit to carry concealed pistol","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"S.D. Codified Laws § 23-7-54","","Background check for temporary enhanced permit to carry concealed pistol","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"S.D. Codified Laws § 22-42-7","","Impose civil penalty (possession of marijuana with intent to distribute)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Marijuana (medical & recreational)","Controlled substances offenses","Discretionary","Indefinite"
"S.D. Codified Laws § 22-14-15.2","http://sdlegislature.gov/statutes/Codified_laws/DisplayStatute.aspx?Statute=22-14-15.2&Type=Statute","Ineligible to possess firearm (1 year for misdemeanor domestic violence convictions)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Time-limited"
"ARSD 67:42:10:10","","Notify Department of Social Service of felony convictions of day care employees","1","(9)","","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Child care providers & youth programs","Any felony","Mandatory/Automatic","Indefinite"
"ARSD 67:16:33:04","","Revoke agreement to provide government-funded health care","1","(7)","","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation","Medicaid, Medicare & other public health benefits","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"ARSD 61:18:05:01","","Suspend/revoke drivers' license for out-of-state convictions","1","All","Relief:
ARSD 61:18:05:02

Additional offense details:
S.D. Codified Laws § 32-12-49 (4),(5)","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"S.D. Codified Laws § 34-21-52","http://sdlegislature.gov/statutes/Codified_laws/DisplayStatute.aspx?Statute=34-21-52&Type=Statute","Notify appropriate board/commission of applicant convictions (officers/directors)","1","All","Additional offense details:
S.D. Codified Laws § 34-21-50
S.D. Codified Laws § 34-21-51

Other triggering offenses:
Violations of proper treatment of radioactive/hazardous waste","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Hazardous materials, pesticides, chemicals & waste","Other","Mandatory/Automatic","Indefinite"
"S.D. Codified Laws § 32-35-49","","Suspend/revoke operating privilege until proof of financial responsibility for the future maintained","1","All","Relief:
S.D. Codified Laws § 32-35-95 (1)-(3)","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Conditional"
"S.D. Codified Laws § 32-12-66","","Impose extended suspension/revocation period of driver license/driving privilege","1","All","Additional offense details:
S.D. Codified Laws § 32-12-65 (1),(2)","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"S.D. Codified Laws § 32-12-17.1","","Ineligible for motorcycle operator's license (6 months/traffic violations)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"S.D. Codified Laws § 26-7A-105","","Maintain juvenile's eligibility for public office/civil service/military service (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"S.D. Codified Laws § 25-4-2","","Grant divorce for cause","1","(6)","","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Civil litigation & administrative proceedings","Any felony","Discretionary","Indefinite"
"S.D. Codified Laws § 23-7-8.11","","Background check to renew concealed pistol permit","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"S.D. Codified Laws § 58-22-55","","Report felony conviction to director of the Division of Insurance","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Court personnel, general legal services & bail bonds","Any felony","Mandatory/Automatic","Indefinite"
"S.D. Codified Laws § 23-7-62","http://sdlegislature.gov/statutes/Codified_laws/DisplayStatute.aspx?Statute=23-7-62&Type=Statute","Background check to renew gold card permit to carry concealed pistol","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"S.D. Codified Laws § 55-11-8","","Ineligible for registration to sell prearranged funeral trust contracts","1","(3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Funeral services","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"S.D. Codified Laws § 23-5-12.1","","Background check to be foster/adoptive parent","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"S.D. Codified Laws § 22-14-15.1","","Ineligible to possess firearm (5 years for specific controlled substances felonies)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Controlled substances offenses","Mandatory/Automatic","Time-limited"
"S.D. Codified Laws § 41-1-5.2","http://sdlegislature.gov/statutes/Codified_laws/DisplayStatute.aspx?Statute=41-1-5.2&Type=Statute","Impose civil liability for unlawful killing/taking of animals","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Wildlife, fish & game","Recreational license offenses","Discretionary","Indefinite"
"S.D. Codified Laws § 12-4-18","http://sdlegislature.gov/statutes/Codified_laws/DisplayStatute.aspx?Statute=12-4-18&Type=Statute","Ineligible to vote","1","All","See also:_x000D_
S.D. Codified Laws § 12-18-10_x000D_
S.D. Const. Article VII, § 2_x000D_
ARSD 5:02:03:13_x000D_
ARSD 5:02:05:02.01","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Civil rights & voting","Any felony","Mandatory/Automatic","Indefinite"
"ARSD 67:42:07:09","","Background check to serve as employee/volunteer at group care center for minors","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Adult care, nursing homes & residential care facilities","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"ARSD 67:10:09:09","","Ineligible for Temporary Assistance to Needy Families (TANF)","1","(1)(a)-(c)
(2)(a)-(c)","Additional offense details:
ARSD 67:10:09:01 (1) 
ARSD 67:10:09:07 (1)-(4)","","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Varies"
"ARSD 67:10:01:05","","Ineligible for Temporary Assistance to Needy Families (TANF) (conviction of misrepresenting residence)","1","(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"ARSD 20:04:01:40","http://sdlegislature.gov/rules/DisplayRule.aspx?Rule=20:04:01:40","Exclude individual from pari-mutuel wagering facilities","1","(5)","Other triggering offenses:
Violations of racing/gaming laws","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Gaming, lottery & racing","Other","Discretionary","Indefinite"
"S.D. Codified Laws § 35-8A-6","http://sdlegislature.gov/statutes/Codified_laws/DisplayStatute.aspx?Statute=35-8A-6&Type=Statute","Terminate/refuse to renew/continue beer distribution contract (conviction of wholesaler/owner)","1","(3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","Any felony","Discretionary","Indefinite"
"S.D. Codified Laws § 35-10-11","","Forfeit illegally used/possessed alcoholic beverage","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Alcohol permits, licenses & sales","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"S.D. Codified Laws § 32-35-101","","Disclose abstract of driver's operating record","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"S.D. Codified Laws § 32-25-22","http://sdlegislature.gov/statutes/Codified_laws/DisplayStatute.aspx?Statute=32-25-22&Type=Statute","Ineligible for compensation license plates (fourth enumerated speed limit violation)","1","All","See also:
S.D. Codified Laws § 32-9-7","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"S.D. Codified Laws § 25-7A-56.9","http://sdlegislature.gov/statutes/Codified_laws/DisplayStatute.aspx?Statute=25-7A-56.9&Type=Statute","Impose lien/levy/withholding order on obligator's financial accounts for past-due child support","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Child custody, visitation & parental rights","Child Support offenses","Discretionary","Conditional"
"S.D. Codified Laws § 25-6-9.1","","Background check for child adoption","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"S.D. Codified Laws § 25-4-45.6","","Ineligible for custody over minor child (convictions for death of parent)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Child custody, visitation & parental rights","Crimes of violence, including 'person offenses'","Discretionary (waiver)","Indefinite"
"S.D. Codified Laws § 25-4-45.5","","Ineligible for custody over minor child (convictions for domestic abuse)","1","(1)-(3)","See also:
S.D. Codified Laws § 25-10-1","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Child custody, visitation & parental rights","Crimes of violence, including 'person offenses'","Discretionary (waiver)","Indefinite"
"S.D. Codified Laws § 23A-27-53","","Deferred sentencing (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Deferred adjudication & diversion","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"S.D. Codified Laws § 23A-27-13","http://sdlegislature.gov/statutes/Codified_laws/DisplayStatute.aspx?Statute=23A-27-13&Type=Statute","Ineligible for suspended imposition of sentence (second felony conviction)","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Dismissal, set-aside, vacatur & offense reduction","Any felony","Mandatory/Automatic","Indefinite"
"S.D. Codified Laws § 23-7-8","http://sdlegislature.gov/statutes/Codified_laws/DisplayStatute.aspx?Statute=23-7-8&Type=Statute","Ineligible for permit to carry concealed pistol","1","All","Background check:
S.D. Codified Laws § 23-7-7","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Indefinite"
