Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"1 TAC § 55.101","http://texreg.sos.state.tx.us/public/readtac$ext.ViewTAC?tac_view=4&ti=1&pt=3&ch=55&rl=Y","Withhold federal income tax refund (child support arrearages)","1","(a)(1),(2)
(b)
(c)
(d)
(e)
(f)(1),(2)","See also:
Tex. Penal Code § 25.05 (a)-(e)","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Tax penalties & benefits","Child Support offenses","Mandatory/Automatic","Indefinite"
"Tex. Transp. Code § 522.064","https://statutes.capitol.texas.gov/Docs/TN/htm/TN.522.htm","Background check for employment as commercial motor vehicle driver","1","(a)(4)","Additional offense details:
Tex. Transp. Code § 522.003 (25)","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Transportation & commercial motor vehicles","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Tex. Transp. Code § 521.223","https://statutes.capitol.texas.gov/Docs/TN/htm/TN.521.htm","Suspend hardship driver's license","1","(f)","Additional offense details:
Tex. Transp. Code § 521.292 (a),(b)

See also:
Tex. Transp. Code § 521.293 ","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"Tex. Gov't Code § 411.151","https://statutes.capitol.texas.gov/Docs/GV/htm/GV.411.htm","Expunge DNA record (relief)","0","(a)(1),(2)
(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Tex. Gov't Code § 411.073","https://statutes.capitol.texas.gov/Docs/GV/htm/GV.411.htm","Seal record (relief)","0","(a)(1),(2)
(b)(1),(2)
(c)
(d)","See also:
Tex. Gov't Code § 411.074 (a),(b)","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Tex. Code Crim. Proc. Art. 42A.408","https://statutes.capitol.texas.gov/Docs/CR/htm/CR..htm","Issue ignition interlock device (relief)","0","(d)(1)
(e)","","","2022 legislative session and all 2022 regulatory rulemaking","","General Relief Provision","Driving & noncommercial motor vehicles","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Tex. Bus. & Com. Code § 57.154","https://statutes.capitol.texas.gov/Docs/BC/htm/BC.57.htm","Terminate agricultural/construction/industrial/mining/forestry/landscaping/outdoor power equipment dealer agreement","1","(a)(10)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Agriculture, livestock & food","Any felony","Discretionary","Indefinite"
"Tex. Hum. Res. Code § 242.010","https://statutes.capitol.texas.gov/Docs/HR/htm/HR.242.htm","Background check for employment with/to provide services to Texas Juvenile Justice Department","1","(b)(1)-(4)
(d)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Law enforcement, corrections & public safety","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Tex. Gov't Code § 129.003","https://statutes.capitol.texas.gov/Docs/GV/htm/GV.129.htm#129.003","Background check for participation in public safety employees treatment court program","1","(a)(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Law enforcement, corrections & public safety","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Tex. Fam. Code § 58.255","https://statutes.capitol.texas.gov/Docs/FA/htm/FA.58.htm","Seal juvenile record (conduct indicating need for supervision)","0","(a)(1)-(4)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
