Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"10 V.S.A. § 4451","http://legislature.vermont.gov/statutes/section/10/108/04451","Suspend wildlife license/privileges (conviction of Interstate Wildlife Violator Compact in party state)","1","Article III(c),(d)","0","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Indefinite"
"10 V.S.A. § 4454","http://legislature.vermont.gov/statutes/section/10/108/04454","Suspend hunting/fishing/trapping license/privileges (out of state conviction of Interstate Wildlife Violator Compact)","1","(a), (d)(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Discretionary","Indefinite"
"10 V.S.A. § 4514","http://legislature.vermont.gov/statutes/section/10/109/04514","Civil penalty for illegally taking fish/game","1","(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Indefinite"
"10A V.S.A. § 116","http://legislature.vermont.gov/statutes/section/10APPENDIX/002/00116","Suspend Connecticut River basin salmon fishing license","1","(e)","Implementing regulation: 
CVR 12-010-059","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Wildlife, fish & game","Recreational license offenses","Mandatory/Automatic","Time-limited"
"12 V.S.A. § 5138","http://legislature.vermont.gov/statutes/section/12/178/05138","Expunge criminal record for violation of order against stalking/sexual assault","0","(b)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"12 V.S.A. § 64","http://legislature.vermont.gov/statutes/section/12/003/00064","Ineligible to be grand/petit juror","1","All","","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Jury service","Any felony","Mandatory/Automatic","Indefinite"
"13 V.S.A. § 2143","http://legislature.vermont.gov/statutes/section/13/051/02143","Ineligible to organize/execute games of chance for non-profit organization","1","(a), (e)","","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Gaming, lottery & racing","Any felony","Mandatory/Automatic","Time-limited"
"13 V.S.A. § 398","http://legislature.vermont.gov/statutes/section/13/008/00398","Ineligible to compete in animal pulling contest/competitive event","1","All","Implementing regulation: 
CVR 20-022-017","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Gaming, lottery & racing","Controlled substances offenses","Mandatory/Automatic","Time-limited"
"13 V.S.A. § 5569","","Set aside conviction/remove name from criminal registry","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Sex offender registration, residency & proximity","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"13 V.S.A. § 7041","http://legislature.vermont.gov/statutes/section/13/221/07041","Deferred sentencing","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Deferred adjudication & diversion","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
