Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"Va. Code Ann. § 19.2-386.31","https://law.lis.virginia.gov/search_cov.aspx?query="19.2-386.31"","Forfeit property used in child pornography crimes","1","All","Additional offense details:
Va. Code Ann. § 18.2-374.1 
Va. Code Ann. § 18.2-374.1:1
Va. Code Ann. § 18.2-374.3","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","","Sex offenses","Discretionary","Indefinite"
"13 VAC 6-20-170","https://law.lis.virginia.gov/admincode/title13/agency6/chapter20/section170/","Deny/suspend/revoke manufactured housing license","1","(B)(5)","Authorizing statute:
Va. Code Ann. § 36-85.18 
Va. Code Ann. § 36-85.36
","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Real estate & property","Any felony","Discretionary","Indefinite"
"12 VAC 5-481-451","https://law.lis.virginia.gov/admincode/title12/agency5/chapter481/section451/","Background check for certain employment with radioactive material licensee","1","(B)(1)(b)
(C)(1)","Authorizing statute:
Va. Code Ann. § 32.1-229","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Hazardous materials, pesticides, chemicals & waste","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"11 VAC 10-20-180","https://law.lis.virginia.gov/admincode/title11/agency10/chapter20/section180/","Background check for horse racing/pari-mutuel wagering license","1","(B)(1)(a)","Authorizing statute:
Va. Code Ann. § 59.1-369

Background check:
See also Va. Code Ann. § 59.1-371","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Va. Code Ann. § 9.1-915","https://law.lis.virginia.gov/search_cov.aspx?query="9.1-915"","Expunge records from sex offender registry (relief)","0","All","See also:
19 VAC 30-170-30","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Va. Code Ann. § 63.2-1808.1","https://law.lis.virginia.gov/search_cov.aspx?query="63.2-1808.1"","Background check to serve as employee/volunteer of life-sharing community","1","(D)(5)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Adult care, nursing homes & residential care facilities","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"Va. Code Ann. § 59.1-373","https://law.lis.virginia.gov/search_cov.aspx?query="59.1-373"","Appeal from denial/suspension/revocation of horse racing/pari-mutuel wagering license/permit (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Gaming, lottery & racing","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Va. Code Ann. § 57-57","https://law.lis.virginia.gov/search_cov.aspx?query="57-57"","Ineligible to solicit contributions for charitable organization","1","(H)(1)","Background check:
Va. Code Ann. § 57-49","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Fundraising, charities & nonprofits","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Va. Code Ann. § 55-525.21","https://law.lis.virginia.gov/search_cov.aspx?query="55-525.21"","Ineligible for employment by real property settlement agent","1","(B)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Real estate & property","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"Va. Code Ann. § 54.1-204","https://law.lis.virginia.gov/search_cov.aspx?query="54.1-204"","Limit consideration of criminal conviction in occupational/professional licensing determinations (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Limitations on imposition of collateral consequences","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Va. Code Ann. § 46.2-499","https://law.lis.virginia.gov/search_cov.aspx?query="46.2-499"","Attend driver improvement program (accumulation of driver demerit points)","1","All","Additional offense details:
Va. Code Ann. § 46.2-492

See also:
Va. Code Ann. § 46.2-499","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"Va. Code Ann. § 46.2-334.01","https://law.lis.virginia.gov/search_cov.aspx?query="46.2-334.01"","Suspend driver's license (certain subsequent convictions of a minor)","1","(A)","Additional offense details:
Va. Code Ann. § 46.2-489 et seq.
Va. Code Ann. § 46.2-492(A)
Va. Code Ann. § 46.2-1091 et seq.
Va. Code Ann. § 46.2-1095 et seq.","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"Va. Code Ann. § 4.1-226","https://law.lis.virginia.gov/search_cov.aspx?query="4.1-226"","Suspend/revoke/fine brewery license (illegal possession of gambling device)","1","1","Additional offense details:
Va. Code Ann. § 18.2-331
See also:
Va. Code Ann. § 4.1-227(D)
Other triggering offenses:
Offenses related to illegal possession of gambling device","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Alcohol permits, licenses & sales","Other","Discretionary","Indefinite"
"Va. Code Ann. § 20-91","https://law.lis.virginia.gov/search_cov.aspx?query="20-91"","Establish grounds for divorce","1","(A)(3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Civil litigation & administrative proceedings","Any felony","Discretionary","Indefinite"
"Va. Code Ann. § 33.2-241","https://law.lis.virginia.gov/search_cov.aspx?query="33.2-241"","Impose civil liability for damage sustained by improper connections over highways for intersecting commercial establishment entrances","1","All","Other triggering offenses:
Offenses related to improper connections over highways for intersecting commercial establishment entrances","","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Transportation & commercial motor vehicles","Other","Mandatory/Automatic","Indefinite"
"Va. Code Ann. § 19.2-392.2","https://law.lis.virginia.gov/search_cov.aspx?query="19.2-392.2"","Expunge criminal history record (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"Va. Code Ann. § 19.2-152.10","https://law.lis.virginia.gov/search_cov.aspx?query="19.2-152.10"","Issue protective order to prevent acts of domestic violence (crimes of violence)","1","(A)","See also:
Va. Code Ann. § 19.2-152.9(A)","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights|Judicial Rights","","Crimes of violence, including 'person offenses'","Discretionary","Indefinite"
"Va. Code Ann. § 3.2-6546","https://law.lis.virginia.gov/search_cov.aspx?query="3.2-6546"","Ineligible to adopt domestic animals","1","(D)(2), (4)","Other triggering offenses:
Offenses related to animal cruelty/neglect/abandonment","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Domestic animals","Other","Mandatory/Automatic","Indefinite"
"Va. Code Ann. § 18.2-36.1","https://law.lis.virginia.gov/search_cov.aspx?query="18.2-36.1"","Revoke driverâ€™s license (DUI)","1","(C)","Additional offense details:
Va. Code Ann. § 46.2-391(B)
","","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"Va. Code Ann. § 18.2-308.1:5","https://law.lis.virginia.gov/search_cov.aspx?query="18.2-308.1:5"","Ineligible to possess firearm (mandator/5 years for second controlled substance conviction within 3 years)","1","All","Additional offense details:
Va. Code Ann. § 18.2-250 
Va. Code Ann. § 18.2-250.1
","","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Controlled substances offenses","Mandatory/Automatic","Time-limited"
"Va. Code Ann. § 18.2-271.1","https://law.lis.virginia.gov/search_cov.aspx?query="18.2-271.1"","Restricted driver's license (relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Driving & noncommercial motor vehicles","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"6 VAC 20-172-30","https://law.lis.virginia.gov/admincode/title6/agency20/chapter172/section30/","Background check for private security services business license (self-disclosure)","1","All","See also:
6 VAC 20-172-70","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Private security, investigation & locksmiths","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
